Date,AC FAR EAST ex JAPAN SMALL CAP
1994-05-31,798.1901719647877
1994-06-30,773.4933081586372
1994-07-29,796.3604629034631
1994-08-31,863.02211497862
1994-09-30,895.5488555744678
1994-10-31,887.549530139399
1994-11-30,807.9328525050079
1994-12-30,786.8960098161641
1995-01-31,696.6860182251924
1995-02-28,742.3519597336342
1995-03-31,734.6624875716682
1995-04-28,708.8996784351694
1995-05-31,765.2336412862244
1995-06-30,778.7813124576342
1995-07-31,816.654635322209
1995-08-31,799.1161364125682
1995-09-29,791.3770052977186
1995-10-31,753.0048628249236
1995-11-30,739.53247598436
1995-12-29,762.9732210432637
1996-01-31,825.3847735028005
1996-02-29,832.6910870920867
1996-03-29,847.8095128238988
1996-04-30,905.923133658399
1996-05-31,879.5368988625511
1996-06-28,879.2838033106241
1996-07-31,834.9405862724153
1996-08-30,864.1778843292301
1996-09-30,888.1644194113388
1996-10-31,889.152243868505
1996-11-29,916.8051832459786
1996-12-31,902.6533409039886
1997-01-01,903.3532365065901
1997-01-02,901.9076926707775
1997-01-03,906.5373395761889
1997-01-06,913.5120473998553
1997-01-07,914.1617564733314
1997-01-08,919.8960495033691
1997-01-09,919.606221888787
1997-01-10,924.2019417487363
1997-01-13,930.9162929794308
1997-01-14,928.7912122235399
1997-01-15,933.2660349193034
1997-01-16,938.6963083272282
1997-01-17,944.0543200370217
1997-01-20,952.822467266931
1997-01-21,948.3475879864203
1997-01-22,949.0185869834405
1997-01-23,943.4331333427382
1997-01-24,942.5518413225722
1997-01-27,942.7358602575518
1997-01-28,942.0802529333197
1997-01-29,938.1645679990446
1997-01-30,942.4562602374651
1997-01-31,945.0455105268808
1997-02-03,943.0514969965315
1997-02-04,944.2347026556926
1997-02-05,951.1437451282989
1997-02-06,951.5318565650011
1997-02-07,951.5201165613796
1997-02-10,955.2165464160684
1997-02-11,956.3020791472346
1997-02-12,962.7863084160981
1997-02-13,966.5283089968138
1997-02-14,966.0803666015042
1997-02-17,974.6570427246443
1997-02-18,969.5246809820761
1997-02-19,979.8430492496977
1997-02-20,989.0898025846541
1997-02-21,996.2660085674555
1997-02-24,1000.6591068487406
1997-02-25,1005.8728012992981
1997-02-26,1002.4115539969633
1997-02-27,998.266847862837
1997-02-28,1005.6177284591485
1997-03-03,1003.5688448452455
1997-03-04,998.672559879451
1997-03-05,1002.706496916462
1997-03-06,1000.4953703766969
1997-03-07,1004.1239533609637
1997-03-10,1002.9431126963685
1997-03-11,1009.6724718961841
1997-03-12,1004.5631445599369
1997-03-13,1001.2169217981595
1997-03-14,993.9173910512112
1997-03-17,997.833084715071
1997-03-18,996.0545345884576
1997-03-19,992.4480254269448
1997-03-20,985.9185746083926
1997-03-21,974.3681647443801
1997-03-24,969.051511349235
1997-03-25,973.5709075972333
1997-03-26,984.0795141348973
1997-03-27,981.3048320807932
1997-03-28,982.5596299847567
1997-03-31,974.5406407965992
1997-04-01,966.8495575871706
1997-04-02,961.5424416252529
1997-04-03,951.9097836391312
1997-04-04,947.6117325816878
1997-04-07,946.9340412274815
1997-04-08,954.7601971095753
1997-04-09,957.9041293064655
1997-04-10,949.1686600957308
1997-04-11,948.1708842134983
1997-04-14,932.9041912404936
1997-04-15,921.2530256575868
1997-04-16,926.3765860456009
1997-04-17,932.162307006094
1997-04-18,931.0336792017794
1997-04-21,940.6357225108974
1997-04-22,931.8518772325328
1997-04-23,934.8621283355886
1997-04-24,929.8350480929636
1997-04-25,932.8717098928119
1997-04-28,925.2645689071661
1997-04-29,919.1198680708453
1997-04-30,925.2163521197535
1997-05-01,927.7892798376315
1997-05-02,924.3029091437934
1997-05-05,929.2434675072934
1997-05-06,928.5022645399829
1997-05-07,927.5303505426032
1997-05-08,926.132286098759
1997-05-09,924.3677958687233
1997-05-12,913.4667171828152
1997-05-13,909.8495419316031
1997-05-14,905.3736917512604
1997-05-15,897.1330919284682
1997-05-16,903.1680616135906
1997-05-19,911.4110177275293
1997-05-20,916.1675307733569
1997-05-21,916.645775785388
1997-05-22,923.6899676441931
1997-05-23,929.5254783350987
1997-05-26,930.9803589638736
1997-05-27,929.8358682259237
1997-05-28,929.8456167595965
1997-05-29,924.1518085359396
1997-05-30,927.4519819735302
