Date,ACWI FM ex USA SMALL CAP
2010-11-30,1000.0
2010-12-01,1015.0789658104467
2010-12-02,1035.701941625317
2010-12-03,1048.3559636701505
2010-12-06,1052.2949312574672
2010-12-07,1058.7446716658924
2010-12-08,1049.5004826290644
2010-12-09,1049.7423700477625
2010-12-10,1051.8529042025639
2010-12-13,1066.0440611567133
2010-12-14,1071.0771022549523
2010-12-15,1067.4765164680607
2010-12-16,1059.3915395298577
2010-12-17,1060.5077477253567
2010-12-20,1058.9286337886133
2010-12-21,1068.004914320415
2010-12-22,1069.0190061599503
2010-12-23,1071.6246943594676
2010-12-24,1071.600703903504
2010-12-27,1070.30941599398
2010-12-28,1073.8874652783472
2010-12-29,1083.1446938692268
2010-12-30,1088.1765045714349
2010-12-31,1098.4507459776034
2011-01-03,1100.3959090173275
2011-01-04,1102.9841173336156
2011-01-05,1091.8372374554058
2011-01-06,1089.7126609650466
2011-01-07,1086.7999430802756
2011-01-10,1080.2685488821694
2011-01-11,1088.5860939711094
2011-01-12,1102.0508305270027
2011-01-13,1110.770220071463
2011-01-14,1108.3838698478232
2011-01-17,1105.9624056002276
2011-01-18,1113.0295495715588
2011-01-19,1115.2595338506087
2011-01-20,1092.7193791567315
2011-01-21,1095.2634926085054
2011-01-24,1098.2727232624477
2011-01-25,1096.8488065232827
2011-01-26,1104.9162388076022
2011-01-27,1105.6155757474908
2011-01-28,1097.1389639383347
2011-01-31,1094.3841295514471
2011-02-01,1110.4931221352153
2011-02-02,1114.2955540031912
2011-02-03,1109.6079890116207
2011-02-04,1111.519267516555
2011-02-07,1119.038170344686
2011-02-08,1123.6580837260617
2011-02-09,1116.3806647371123
2011-02-10,1103.838940989165
2011-02-11,1101.2036993057297
2011-02-14,1108.7674777794402
2011-02-15,1109.1868283892434
2011-02-16,1110.9174970754182
2011-02-17,1115.905500324573
2011-02-18,1121.0292770376877
2011-02-21,1115.078616349368
2011-02-22,1100.5073096403037
2011-02-23,1093.4649702596016
2011-02-24,1082.6783729320528
2011-02-25,1096.081209672235
2011-02-28,1106.7534136511545
2011-03-01,1112.4055878431152
2011-03-02,1106.5300126555908
2011-03-03,1112.422762955084
2011-03-04,1119.446351426832
2011-03-07,1116.3485720150936
2011-03-08,1110.6117047756777
2011-03-09,1113.2174216374465
2011-03-10,1091.8206743905066
2011-03-11,1085.0548897312915
2011-03-14,1065.9905797289416
2011-03-15,1025.4987350686988
2011-03-16,1035.606098866182
2011-03-17,1048.3307154277015
2011-03-18,1064.992704202004
2011-03-21,1081.7352301873318
2011-03-22,1093.5667380048126
2011-03-23,1091.4482194768832
2011-03-24,1101.3646663456054
2011-03-25,1102.9496834575589
2011-03-28,1099.9849872509974
2011-03-29,1099.2578634940062
2011-03-30,1111.590541306329
2011-03-31,1116.7428960603233
2011-04-01,1119.3721505060746
2011-04-04,1128.7381625373264
2011-04-05,1126.3543236786657
2011-04-06,1131.6774376261603
2011-04-07,1128.0145855833418
2011-04-08,1139.9770415151668
2011-04-11,1137.9132596914371
2011-04-12,1120.939562749101
2011-04-13,1129.5509555977715
2011-04-14,1133.2532499874155
2011-04-15,1131.7129889763823
2011-04-18,1114.7654491985536
2011-04-19,1120.1806012492957
2011-04-20,1142.2007781417813
2011-04-21,1154.1409671342642
2011-04-22,1154.758935210981
2011-04-25,1151.9592327561693
2011-04-26,1153.9186637444056
2011-04-27,1153.012008462195
2011-04-28,1168.12987060531
2011-04-29,1170.6029849247288
2011-05-02,1175.0700082526405
2011-05-03,1163.119865199367
2011-05-04,1155.4344028044627
2011-05-05,1143.8503927830682
2011-05-06,1144.8858987250426
2011-05-09,1138.6587688112345
2011-05-10,1148.0481686369599
2011-05-11,1146.5174310557713
2011-05-12,1131.1443781617495
2011-05-13,1129.0083458496877
2011-05-16,1121.843304996419
2011-05-17,1111.7363525526982
2011-05-18,1120.6250821645199
2011-05-19,1121.498746831299
2011-05-20,1119.6194796051147
2011-05-23,1096.8851364375025
2011-05-24,1101.5298562341839
2011-05-25,1098.9987873779075
2011-05-26,1107.7224563090074
2011-05-27,1121.0648737345427
2011-05-30,1124.5202008562171
2011-05-31,1137.1188571830805
2011-06-01,1138.303164906637
2011-06-02,1127.1198832763048
2011-06-03,1127.4847260218041
2011-06-06,1123.7209410945477
2011-06-07,1127.2090644723971
2011-06-08,1113.387554410511
2011-06-09,1113.0471704744568
2011-06-10,1100.3825744949977
2011-06-13,1096.0155128321348
2011-06-14,1107.5579969493624
2011-06-15,1096.3190643403839
2011-06-16,1074.4030717594878
