Date,AC ASIA PACIFIC SMALL CAP
1994-05-31,790.7483941001655
1994-06-30,845.5259582120914
1994-07-29,828.6362268125373
1994-08-31,830.5089949307235
1994-09-30,808.3093472265066
1994-10-31,815.1512713347582
1994-11-30,750.6554660298484
1994-12-30,761.1916240353739
1995-01-31,719.256811453462
1995-02-28,686.1289202893067
1995-03-31,713.5455534778384
1995-04-28,720.0975556378442
1995-05-31,681.0319732240541
1995-06-30,656.3443072052553
1995-07-31,698.1190356682358
1995-08-31,685.9110451012706
1995-09-29,676.3163092687969
1995-10-31,649.5897552635428
1995-11-30,669.2334828257289
1995-12-29,705.1064008255897
1996-01-31,722.4001573958982
1996-02-29,719.0820163018442
1996-03-29,734.3292896393255
1996-04-30,802.3515295773416
1996-05-31,775.3176169442966
1996-06-28,774.3932693877967
1996-07-31,731.4617660257035
1996-08-30,720.6758082406099
1996-09-30,718.6199870435984
1996-10-31,688.7593821539865
1996-11-29,680.6339562937173
1996-12-31,633.374741228837
1997-01-01,633.5171470494861
1997-01-02,634.7999795360375
1997-01-03,633.9933892876505
1997-01-06,637.6104770691481
1997-01-07,636.2926675233869
1997-01-08,630.1120559023325
1997-01-09,620.6499957041035
1997-01-10,614.0057910408318
1997-01-13,618.9728200630019
1997-01-14,618.700056096942
1997-01-15,619.3479633207339
1997-01-16,625.5054658993275
1997-01-17,625.0726964773568
1997-01-20,620.2477406593429
1997-01-21,616.1043119072101
1997-01-22,616.6151236253893
1997-01-23,611.9834946631976
1997-01-24,610.3705532364846
1997-01-27,605.7174698158693
1997-01-28,600.4413338778174
1997-01-29,598.8644380648644
1997-01-30,597.6392733681777
1997-01-31,602.6187918594454
1997-02-03,602.0918862651885
1997-02-04,603.7970550692628
1997-02-05,598.2022412533522
1997-02-06,595.6629406737738
1997-02-07,589.5443491542409
1997-02-10,595.4927360091597
1997-02-11,595.2898165375431
1997-02-12,593.7306340434787
1997-02-13,594.0915721430652
1997-02-14,594.8019107601261
1997-02-17,597.6833245989036
1997-02-18,596.4880338136444
1997-02-19,597.1203586588707
1997-02-20,605.7416168345595
1997-02-21,608.6694637846615
1997-02-24,613.165280015008
1997-02-25,614.4017590614864
1997-02-26,613.0833088058779
1997-02-27,614.3469013826348
1997-02-28,614.5527579489503
1997-03-03,612.4544614643623
1997-03-04,608.6671229065695
1997-03-05,607.557599651467
1997-03-06,604.1049230314796
1997-03-07,603.2525881527606
1997-03-10,602.3180512033972
1997-03-11,602.8187347744101
1997-03-12,598.1396093318789
1997-03-13,594.8061600445492
1997-03-14,589.4074195013798
1997-03-17,590.3621954656486
1997-03-18,593.8901695419611
1997-03-19,591.064700474863
1997-03-20,588.0909493699838
1997-03-21,589.6711865130253
1997-03-24,586.2036527483646
1997-03-25,586.1325427030827
1997-03-26,588.1467403653148
1997-03-27,586.6294648272793
1997-03-28,586.0940962847149
1997-03-31,582.7892920726322
1997-04-01,578.791986922424
1997-04-02,579.4989625491639
1997-04-03,575.7068269155088
1997-04-04,568.480289000016
1997-04-07,559.0071471677518
1997-04-08,556.5555728580556
1997-04-09,552.1798644869044
1997-04-10,546.3022685558819
1997-04-11,545.3728813785242
1997-04-14,539.5261919109715
1997-04-15,538.3984294815132
1997-04-16,543.2603822626984
1997-04-17,548.7975125589998
1997-04-18,556.6823447621657
1997-04-21,566.940244973549
1997-04-22,566.6243346731075
1997-04-23,569.0424762991547
1997-04-24,567.3489453129584
1997-04-25,567.3380785185337
1997-04-28,563.7117985130606
1997-04-29,562.1088716262778
1997-04-30,567.673119291605
1997-05-01,572.6463091275259
1997-05-02,572.8021716055879
1997-05-05,573.40322507249
1997-05-06,583.0236306100102
1997-05-07,584.3767599653327
1997-05-08,585.9129876632624
1997-05-09,590.4188051988931
1997-05-12,599.2353590922772
1997-05-13,599.7693388188518
1997-05-14,601.2727447558442
1997-05-15,605.9534707528455
1997-05-16,613.2498545521278
1997-05-19,613.7821267190126
1997-05-20,622.1314006821482
1997-05-21,618.9868061830488
1997-05-22,614.0477334692581
1997-05-23,617.0711303675009
1997-05-26,614.73026864729
1997-05-27,612.8350544198113
1997-05-28,619.1115606295782
1997-05-29,617.1726798038369
1997-05-30,617.2232947105234
1997-06-02,618.8157443710817
1997-06-03,620.945776113425
1997-06-04,620.9300791121079
1997-06-05,623.4077420592255
1997-06-06,624.1730540045055
1997-06-09,632.9793442929638
1997-06-10,634.4695902472596
1997-06-11,637.0810116308502
1997-06-12,628.1276553443477
1997-06-13,625.7403565867656
1997-06-16,632.0460326238835
1997-06-17,632.746310940869
1997-06-18,633.215287458304
1997-06-19,630.7121948795555
1997-06-20,629.6534325022632
1997-06-23,625.8950561217974
1997-06-24,625.2269545386989
1997-06-25,631.2148898799055
1997-06-26,631.958904991491
1997-06-27,628.2043017903354
1997-06-30,630.306355026638
1997-07-01,627.0323120137701
1997-07-02,628.9603681375218
1997-07-03,630.6352701256408
1997-07-04,627.1370426525805
1997-07-07,627.0139400314001
1997-07-08,624.8783058708012
1997-07-09,620.8638441625028
1997-07-10,619.9120387393879
1997-07-11,617.9289082828566
1997-07-14,615.9216836282642
