Date,ACWI FM ex JAPAN SMALL CAP
2010-11-30,1000.0
2010-12-01,1019.600315097885
2010-12-02,1036.6680814668566
2010-12-03,1046.307502677272
2010-12-06,1049.4102396291692
2010-12-07,1054.9107775871573
2010-12-08,1050.132599001638
2010-12-09,1052.3585406058628
2010-12-10,1059.7219847275278
2010-12-13,1063.7467382002671
2010-12-14,1064.9869790314729
2010-12-15,1059.8104582962264
2010-12-16,1061.4000800118906
2010-12-17,1064.0432998829588
2010-12-20,1064.8797197073063
2010-12-21,1075.283426961238
2010-12-22,1077.341093727446
2010-12-23,1077.0423626495453
2010-12-24,1077.3803303473935
2010-12-27,1077.793497535006
2010-12-28,1077.3883928737025
2010-12-29,1083.0590929663867
2010-12-30,1086.2102087178473
2010-12-31,1087.7757818459215
2011-01-03,1098.9371255392443
2011-01-04,1092.0379408102187
2011-01-05,1092.463276412382
2011-01-06,1088.7395728131614
2011-01-07,1085.0325516208914
2011-01-10,1083.5540814442224
2011-01-11,1090.7248283951874
2011-01-12,1102.9841190580812
2011-01-13,1105.8576769039994
2011-01-14,1109.1257388588497
2011-01-17,1107.6128444994993
2011-01-18,1113.2298739478438
2011-01-19,1100.7243358555554
2011-01-20,1084.311468494812
2011-01-21,1085.1363921925977
2011-01-24,1090.776013802396
2011-01-25,1088.7391185805016
2011-01-26,1101.456453821201
2011-01-27,1105.0566153366974
2011-01-28,1087.596402263574
2011-01-31,1091.2024753532726
2011-02-01,1110.2517069856199
2011-02-02,1109.931586725532
2011-02-03,1109.885214271449
2011-02-04,1112.6451605811162
2011-02-07,1122.0571024747842
2011-02-08,1127.2521650188303
2011-02-09,1121.287070541192
2011-02-10,1117.5755309099184
2011-02-11,1122.6365543981583
2011-02-14,1129.0479997471848
2011-02-15,1125.4221731021325
2011-02-16,1132.3022487914855
2011-02-17,1137.459101489053
2011-02-18,1140.247958399942
2011-02-21,1136.695254344097
2011-02-22,1114.0144365793517
2011-02-23,1101.2086384213624
2011-02-24,1097.745042985614
2011-02-25,1116.8663437212472
2011-02-28,1123.0777423220652
2011-03-01,1114.3387406645318
2011-03-02,1115.7581441649547
2011-03-03,1131.4303771198088
2011-03-04,1131.924890723135
2011-03-07,1122.3749390004348
2011-03-08,1127.6330202618071
2011-03-09,1126.6233080722075
2011-03-10,1102.9041097505312
2011-03-11,1102.740350582703
2011-03-14,1097.403059341573
2011-03-15,1079.1192487699498
2011-03-16,1071.4491393370574
2011-03-17,1079.203704370876
2011-03-18,1092.3221655844077
2011-03-21,1114.215896339268
2011-03-22,1112.7872859049303
2011-03-23,1113.154862934823
2011-03-24,1124.1620450582263
2011-03-25,1129.779680363444
2011-03-28,1126.4921243835963
2011-03-29,1131.555979509945
2011-03-30,1144.210395899819
2011-03-31,1148.494028998797
2011-04-01,1156.1280145310768
2011-04-04,1162.879729200105
2011-04-05,1166.94532152144
2011-04-06,1171.952674366607
2011-04-07,1166.7444981354
2011-04-08,1167.008449198552
2011-04-11,1160.0113442370136
2011-04-12,1143.565775881823
2011-04-13,1149.8766446576178
2011-04-14,1151.5132466321575
2011-04-15,1156.3796664538054
