Date,ZHONG HUA SMALL CAP
2007-05-31,1000.0
2007-06-01,1002.1727842981464
2007-06-04,990.1527662374276
2007-06-05,997.0183286167232
2007-06-06,999.4954358156047
2007-06-07,1001.3836255195406
2007-06-08,996.3336940278336
2007-06-11,1003.8398837729947
2007-06-12,1008.1136327323887
2007-06-13,1015.8067928255443
2007-06-14,1019.9276400866981
2007-06-15,1024.8680072001982
2007-06-18,1030.0003846035736
2007-06-19,1031.2226123726714
2007-06-20,1038.2819606432236
2007-06-21,1040.7105214211638
2007-06-22,1040.6308164428583
2007-06-25,1031.2600645973766
2007-06-26,1034.8713028290324
2007-06-27,1027.4162016670346
2007-06-28,1026.7494035982118
2007-06-29,1028.703387995506
2007-07-02,1027.3476659755902
2007-07-03,1047.7630650469719
2007-07-04,1048.8482582538522
2007-07-05,1054.323590413263
2007-07-06,1062.7169172872805
2007-07-09,1085.042481281608
2007-07-10,1082.0824550455604
2007-07-11,1073.6826369101825
2007-07-12,1083.4666355506822
2007-07-13,1093.8649031277619
2007-07-16,1092.6195912515814
2007-07-17,1104.8024423349627
2007-07-18,1095.480130178726
2007-07-19,1098.5033878160482
2007-07-20,1114.0296615645202
2007-07-23,1124.4881390108453
2007-07-24,1136.1933453713423
2007-07-25,1139.9532261769125
2007-07-26,1136.8396467915418
2007-07-27,1100.299188821383
2007-07-30,1102.0644550686402
2007-07-31,1125.486425942274
2007-08-01,1084.9583457114056
2007-08-02,1074.6383116325476
2007-08-03,1080.7776649312505
2007-08-06,1044.3715184314874
2007-08-07,1028.5411800590284
2007-08-08,1048.4762377512523
2007-08-09,1066.6864891529567
2007-08-10,1031.6289963617457
2007-08-13,1023.8301609518468
2007-08-14,1030.0373170664639
2007-08-15,1002.0828075235751
2007-08-16,950.7892814381146
2007-08-17,913.4410856479852
2007-08-20,967.2688615119719
2007-08-21,978.2369053318532
2007-08-22,993.3885678422496
2007-08-23,1026.1156584521689
2007-08-24,1037.3030876989628
2007-08-27,1073.8269343271634
2007-08-28,1053.6187170059661
2007-08-29,1033.5086651188349
2007-08-30,1056.5710492690907
2007-08-31,1080.7896262636664
2007-09-03,1090.3340224479755
2007-09-04,1089.2919668048862
2007-09-05,1087.7472188228608
