Date,AC ASIA PACIFIC ex JAPAN SMALL CAP
1994-05-31,481.2334375751641
1994-06-30,468.9712148265178
1994-07-29,482.2863749917932
1994-08-31,516.3775958227654
1994-09-30,525.3557366291202
1994-10-31,519.6571492958718
1994-11-30,479.60851484961137
1994-12-30,469.90709027138723
1995-01-31,422.5169524419262
1995-02-28,439.07085830112135
1995-03-31,433.9136506821097
1995-04-28,426.2749921451463
1995-05-31,447.09755793799616
1995-06-30,449.16724405367574
1995-07-31,473.5549442242573
1995-08-31,467.91889906827134
1995-09-29,466.48899803318506
1995-10-31,448.7870437174984
1995-11-30,438.8218934722167
1995-12-29,454.1908346600863
1996-01-31,482.4675754032205
1996-02-29,494.19456439704015
1996-03-29,500.9473606829074
1996-04-30,531.2350856652263
1996-05-31,521.2348649743815
1996-06-28,519.6922591816144
1996-07-31,492.553018162168
1996-08-30,513.712287883459
1996-09-30,522.2703728287406
1996-10-31,525.6636745358254
1996-11-29,542.1669528745413
1996-12-31,535.4953999513368
1997-01-01,535.7964327115272
1997-01-02,535.9055951630862
1997-01-03,537.6998583857085
1997-01-06,540.6901821247524
1997-01-07,540.1735942886424
1997-01-08,541.5606226823717
1997-01-09,541.3215037034538
1997-01-10,544.2236419913328
1997-01-13,547.1429977643115
1997-01-14,546.7139460389316
1997-01-15,549.7934721590074
1997-01-16,551.5620572871693
1997-01-17,553.4216882900434
1997-01-20,556.6763009796394
1997-01-21,553.2912105623108
1997-01-22,553.5735364285105
1997-01-23,550.2325167735413
1997-01-24,548.9896880427867
1997-01-27,549.3735329929189
1997-01-28,547.9022090319389
1997-01-29,546.6185513928942
1997-01-30,548.2258524555418
1997-01-31,548.6904489187419
1997-02-03,547.9778283510323
1997-02-04,547.7409397239677
1997-02-05,551.3232018242003
1997-02-06,552.2538103376626
1997-02-07,552.4244090287435
1997-02-10,554.0302218810263
1997-02-11,554.9378178324088
1997-02-12,557.5513927501324
1997-02-13,561.8229418623488
1997-02-14,561.580500366976
1997-02-17,566.1873111532233
1997-02-18,563.7052071077976
1997-02-19,568.0507660294867
1997-02-20,572.253272137264
1997-02-21,575.8328285077357
1997-02-24,577.3882211349503
1997-02-25,579.8279339759308
1997-02-26,578.3738372080717
1997-02-27,576.5896202295719
1997-02-28,580.7812481312727
1997-03-03,582.3811595720365
1997-03-04,580.8304677785278
1997-03-05,581.6166135874289
1997-03-06,581.0272419043145
1997-03-07,583.0607067902936
1997-03-10,582.1972019722982
1997-03-11,584.8884294240468
1997-03-12,582.8372500370308
1997-03-13,580.7256346248172
1997-03-14,576.7001101839312
1997-03-17,578.270245117487
1997-03-18,575.6519339832824
1997-03-19,572.4152574359211
1997-03-20,569.8908848658554
1997-03-21,564.5736457259299
1997-03-24,562.3633447660346
1997-03-25,564.1996142931256
1997-03-26,569.0695570895825
1997-03-27,568.5504790750177
1997-03-28,569.2263338396912
1997-03-31,564.0668672200806
1997-04-01,558.6957260374344
1997-04-02,557.0456698855339
1997-04-03,552.1920226725214
1997-04-04,549.3927675530832
1997-04-07,548.5507959386235
1997-04-08,552.5828214069313
1997-04-09,555.3364581427652
1997-04-10,551.5042068100047
1997-04-11,551.4569571363577
1997-04-14,542.8530354879481
1997-04-15,537.9415286512366
1997-04-16,540.0119303510814
1997-04-17,543.4482403951558
1997-04-18,543.5074713805694
1997-04-21,548.604705650138
