Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09-27,3186.442889566882
2013-09-30,3195.5649118648525
2013-10-01,3200.7596063537135
2013-10-30,3228.0911682588576
2013-10-31,3211.017524323991
2013-11-01,3198.29601188325
2013-11-27,3251.4362353888437
2013-11-28,3267.1246342182853
2013-11-29,3285.7151811976046
2013-12-02,3217.284777638791
2013-12-30,3237.1732095874736
2013-12-31,3251.3965697020794
2014-01-01,3251.9930683854523
2014-01-02,3260.9637599260745
2014-01-03,3243.7510367871755
2014-01-06,3194.6657842000172
2014-01-07,3206.944691064744
2014-01-08,3222.611206587039
2014-01-09,3197.7755987912233
2014-01-10,3175.9132237850063
2014-01-13,3181.281566270767
2014-01-14,3202.8011130693517
2014-01-15,3214.792026351086
2014-01-16,3219.0916661124684
2014-01-17,3204.531963535305
2014-01-20,3193.622139543914
2014-01-21,3216.2604916768614
2014-01-22,3248.48619653619
2014-01-23,3247.333890617203
2014-01-24,3252.1974615967147
2014-01-27,3214.7309962227423
2014-01-28,3219.2323492235123
2014-01-29,3246.4688912969086
2014-01-30,3234.9706532874234
2014-01-31,3236.8823281372747
2014-02-03,3232.2933526324923
2014-02-04,3219.7538276651067
2014-02-05,3215.3936670574267
2014-02-06,3226.5696543655986
2014-02-07,3269.9089932470733
2014-02-10,3321.2796587030034
2014-02-11,3336.1745812351946
2014-02-12,3369.02072893999
2014-02-13,3341.702475062227
2014-02-14,3374.976884576263
2014-02-17,3418.537052591806
2014-02-18,3418.6340829368523
2014-02-19,3424.7935872376024
2014-02-20,3389.5833557507776
2014-02-21,3390.531002494406
2014-02-24,3383.889046669458
2014-02-25,3322.0846245545417
2014-02-26,3347.1386775946457
2014-02-27,3337.293115389005
2014-02-28,3350.809764697145
2014-03-03,3377.6822523081964
2014-03-04,3389.026772624499
2014-03-05,3403.3469459293133
2014-03-06,3425.879716904756
2014-03-07,3420.43954143853
2014-03-10,3347.88373434601
2014-03-11,3359.34499861262
2014-03-12,3335.6121023867886
2014-03-13,3357.5845141232708
2014-03-14,3335.158102212886
2014-03-17,3362.9831783220707
2014-03-18,3378.4822774830595
2014-03-19,3381.4747734586936
2014-03-20,3314.0849689772285
2014-03-21,3345.7117557363713
2014-03-24,3366.79669783479
2014-03-25,3356.7292350071034
2014-03-26,3368.143315381542
2014-03-27,3335.411488804173
2014-03-28,3312.2932436669967
2014-03-31,3312.296215037844
2014-04-01,3356.6310834217156
2014-04-02,3369.7008927089346
2014-04-03,3368.3757006092396
2014-04-04,3385.174438681433
2014-04-07,3372.3185140522282
2014-04-08,3388.9236313557535
2014-04-09,3418.7067038502537
2014-04-10,3424.1731085608517
2014-04-11,3407.4494894601676
2014-04-14,3406.3607356830817
2014-04-15,3397.1130294252134
2014-04-16,3409.5781963185823
2014-04-17,3418.1465534590693
2014-04-18,3425.026173275273
2014-04-21,3397.6060222814185
2014-04-22,3389.0629512469404
2014-04-23,3382.339644617974
2014-04-24,3362.18221488521
2014-04-25,3309.486697428614
2014-04-28,3256.142271914133
2014-04-29,3279.5095154495234
2014-04-30,3280.177100936387
2014-05-01,3280.573869876985
2014-05-02,3290.870520104845
2014-05-05,3311.237485527284
2014-05-06,3326.156677517613
2014-05-07,3290.470335410039
2014-05-08,3285.5543996224255
2014-05-09,3268.9636263228713
2014-05-12,3304.995677404472
2014-05-13,3313.654308603036
2014-05-14,3322.3978010409373
2014-05-15,3297.167846364173
2014-05-16,3290.8240389294688
2014-05-19,3290.3016605354364
2014-05-20,3292.1259511855014
2014-05-21,3308.232444291491
2014-05-22,3325.3210436445756
2014-05-23,3347.816738911853
2014-05-26,3363.7998931572142
2014-05-27,3357.1462041847003
2014-05-28,3378.8462309784773
2014-05-29,3366.207098469265
2014-05-30,3369.6140723059625
2014-06-02,3367.074309967024
2014-06-03,3363.70690152204
2014-06-04,3352.4545547365415
2014-06-05,3371.7897055595827
2014-06-06,3374.895209642602
2014-06-09,3378.8435178158616
2014-06-10,3402.596672780967
2014-06-11,3414.6359985348645
2014-06-12,3419.143320332367
2014-06-13,3431.3050992226117
2014-06-16,3434.0581890702238
2014-06-17,3416.756282455291
2014-06-18,3401.2272041540523
2014-06-19,3367.468275917156
2014-06-20,3379.6580280818725
2014-06-23,3376.3244439621876
2014-06-24,3394.994015630865
2014-06-25,3385.7973286779675
2014-06-26,3421.9486224867214
2014-06-27,3441.14455778573
2014-06-30,3471.157032987617
2014-07-01,3487.4559045495153
2014-07-02,3506.6271257261005
2014-07-03,3529.2531059256903
2014-07-04,3537.09605702377
2014-07-07,3537.811138946015
2014-07-08,3544.359681659396
2014-07-09,3516.5496864821935
2014-07-10,3528.262119584754
2014-07-11,3527.7482055872597
2014-07-14,3557.4546644236634
2014-07-15,3560.534333890015
2014-07-16,3545.8356114799503
2014-07-17,3540.7215000661254
