Date,EM LATAM ex BR IMI VALUE WEIGHTED
1996-05-31,1000.0
1996-06-28,992.9536949373464
1996-07-31,938.8504687704918
1996-08-30,958.2164541169681
1996-09-30,976.7259676362318
1996-10-31,933.0407932387001
1996-11-29,948.4222542068738
1996-12-31,959.5501488630147
1997-01-01,959.5529093477112
1997-01-02,956.7488072564987
1997-01-03,966.4021009799482
1997-01-06,984.0422775641523
1997-01-07,992.7491382265241
1997-01-08,1005.91614753748
1997-01-09,1008.513820167947
1997-01-10,1014.749972302517
1997-01-13,1018.2713590535711
1997-01-14,1037.5515630781977
1997-01-15,1052.3522061851302
1997-01-16,1045.4362051161527
1997-01-17,1054.4528303486495
1997-01-20,1056.3412204693648
1997-01-21,1050.344483956955
1997-01-22,1042.0041649517243
1997-01-23,1044.1112809813371
1997-01-24,1032.1499124491766
1997-01-27,1024.5835116369065
1997-01-28,1028.7917248444394
1997-01-29,1024.4010857757
1997-01-30,1039.9226403127923
1997-01-31,1045.9211774211676
1997-02-03,1048.9461122744772
1997-02-04,1053.5877189344892
1997-02-05,1054.0585514411157
1997-02-06,1051.8672353695733
1997-02-07,1057.2222877499676
1997-02-10,1059.9340254569706
1997-02-11,1068.7262466890147
1997-02-12,1085.325858033511
1997-02-13,1086.5576468054692
1997-02-14,1090.5463016117228
1997-02-17,1092.4890330082171
1997-02-18,1091.4506984905938
1997-02-19,1099.546303629236
1997-02-20,1096.9869786641536
1997-02-21,1107.4082782030177
1997-02-24,1115.6357298141722
1997-02-25,1125.739975894317
1997-02-26,1113.0965783816448
1997-02-27,1091.0619765330975
1997-02-28,1089.233931125632
1997-03-03,1076.911562815044
1997-03-04,1073.9719860109694
1997-03-05,1073.5134433790456
1997-03-06,1076.2958446966081
1997-03-07,1085.4519720419128
1997-03-10,1094.8179022115507
1997-03-11,1089.6359613337147
1997-03-12,1082.1046824366542
1997-03-13,1073.8697060123745
1997-03-14,1076.8674741064349
1997-03-17,1070.4366896198835
1997-03-18,1073.8026387108002
1997-03-19,1079.4747450173013
1997-03-20,1075.4762622490273
1997-03-21,1077.1492188987518
1997-03-24,1082.533880987655
1997-03-25,1084.0487223963887
1997-03-26,1085.0675632921352
1997-03-27,1085.682685278033
1997-03-28,1085.5970733551303
1997-03-31,1068.5361422493102
1997-04-01,1062.396240324433
1997-04-02,1064.8506617039545
1997-04-03,1066.1725619824504
1997-04-04,1069.3242597004069
1997-04-07,1079.5765274078215
1997-04-08,1078.7743974253374
1997-04-09,1081.9330213966853
1997-04-10,1082.3646895512536
1997-04-11,1070.4243411056125
1997-04-14,1069.693724784432
1997-04-15,1075.3885169588787
1997-04-16,1085.6392719201363
1997-04-17,1081.9910286169124
1997-04-18,1080.6515992990292
1997-04-21,1074.8880527560855
1997-04-22,1086.1076210557148
1997-04-23,1091.627722731139
1997-04-24,1087.3012815012012
1997-04-25,1086.6707514702296
1997-04-28,1077.986710531064
