Date,EM IMI VALUE WEIGHTED
1994-11-30,196.7295964729
1994-12-30,189.7856260937
1995-01-31,173.5010659074
1995-02-28,166.2206082423
1995-03-31,161.3104178853
1995-04-28,169.3419037578
1995-05-31,180.1215015493
1995-06-30,178.321970181
1995-07-31,183.1428782202
1995-08-31,180.8496858862
1995-09-29,182.0455807244
1995-10-31,175.1133306926
1995-11-30,170.7066457657
1995-12-29,176.0202083275
1996-01-31,192.1299232241
1996-02-29,189.2853144646
1996-03-29,188.8743224078
1996-04-30,194.1027098498
1996-05-31,193.4941564894
1996-06-28,195.5378724477
1996-07-31,184.3183722048
1996-08-30,187.8653585013
1996-09-30,188.2401280363
1996-10-31,185.4857305968
1996-11-29,187.4533946003
1996-12-31,187.9956018266
1997-01-01,187.9912015605
1997-01-02,188.0739514482
1997-01-03,188.8943979588
1997-01-06,190.0475304978
1997-01-07,192.0700939444
1997-01-08,194.2496556899
1997-01-09,195.2229186343
1997-01-10,195.9782865275
1997-01-13,196.6155608823
1997-01-14,198.592686006
1997-01-15,200.8495972069
1997-01-16,200.9251406897
1997-01-17,201.8618061288
1997-01-20,202.8319173634
1997-01-21,202.3875648539
1997-01-22,202.2132494994
1997-01-23,202.713725843
1997-01-24,202.2623874355
1997-01-27,202.663740831
1997-01-28,202.7162158675
1997-01-29,201.5185307517
1997-01-30,202.5154595108
1997-01-31,203.1971613744
1997-02-03,204.3301539641
1997-02-04,204.7590035379
1997-02-05,206.0752389938
1997-02-06,207.5549881684
1997-02-07,208.8077214394
1997-02-10,209.6883664436
1997-02-11,210.0632341829
1997-02-12,212.6962685013
1997-02-13,212.6478083272
1997-02-14,212.5514196969
1997-02-17,213.3391738965
1997-02-18,213.5952562853
1997-02-19,214.0766384799
1997-02-20,214.0281930274
1997-02-21,214.0553487839
1997-02-24,214.9574243871
1997-02-25,216.7112417103
1997-02-26,215.3505236598
1997-02-27,212.9740961504
1997-02-28,213.6986540718
1997-03-03,213.2341117244
1997-03-04,212.7875920445
1997-03-05,212.5421555076
1997-03-06,212.7479517237
1997-03-07,213.558687045
1997-03-10,214.6863882582
1997-03-11,215.0629624331
1997-03-12,213.6828975975
1997-03-13,213.2017623948
1997-03-14,212.5596359363
1997-03-17,212.3655906752
1997-03-18,211.8187208047
1997-03-19,210.9346735085
1997-03-20,211.2797232007
1997-03-21,210.1174287315
1997-03-24,209.743785209
1997-03-25,210.4794790882
1997-03-26,210.9134565947
1997-03-27,210.9636763878
1997-03-28,211.0362263995
1997-03-31,208.8012227779
1997-04-01,207.9027742262
1997-04-02,208.8033311035
1997-04-03,208.5422040415
1997-04-04,209.9924386372
1997-04-07,211.0712569373
1997-04-08,210.9285104453
1997-04-09,211.8185237778
1997-04-10,210.4396104
