Date,EM LATIN AMERICA IMI VALUE WEIGHTED
1994-11-30,1131.34251134
1994-12-30,1075.24341039
1995-01-31,1010.12673004
1995-02-28,867.24431026
1995-03-31,788.47924752
1995-04-28,898.86495255
1995-05-31,931.69160777
1995-06-30,897.72054792
1995-07-31,927.273002
1995-08-31,942.87877815
1995-09-29,959.41267778
1995-10-31,881.48471468
1995-11-30,867.56804781
1995-12-29,874.09757951
1996-01-31,984.82798904
1996-02-29,946.24140514
1996-03-29,933.00443502
1996-04-30,953.35400951
1996-05-31,1000.0
1996-06-28,1023.70770517
1996-07-31,993.26222544
1996-08-30,1011.14070491
1996-09-30,1016.55907447
1996-10-31,1030.25809183
1996-11-29,1051.16994165
1996-12-31,1089.4932737
1997-01-01,1089.39671206
1997-01-02,1084.23797096
1997-01-03,1091.20815568
1997-01-06,1106.58582415
1997-01-07,1122.05157735
1997-01-08,1133.94144986
1997-01-09,1135.86902225
1997-01-10,1139.78920167
1997-01-13,1138.70408271
1997-01-14,1163.28162248
1997-01-15,1172.81448874
1997-01-16,1173.08588501
1997-01-17,1188.53927467
1997-01-20,1193.82823739
1997-01-21,1199.85562361
1997-01-22,1192.71533906
1997-01-23,1199.90322271
1997-01-24,1185.02378797
1997-01-27,1180.80228322
1997-01-28,1187.3956517
1997-01-29,1176.74975511
1997-01-30,1185.8008511
1997-01-31,1204.75793521
1997-02-03,1220.26581366
1997-02-04,1221.89880439
1997-02-05,1228.83337735
1997-02-06,1238.79772372
1997-02-07,1256.16979273
1997-02-10,1256.9292444
1997-02-11,1260.30394068
1997-02-12,1297.60361254
1997-02-13,1294.00714578
1997-02-14,1295.89865204
1997-02-17,1300.04646162
1997-02-18,1307.50599915
1997-02-19,1300.95615927
1997-02-20,1293.15816262
1997-02-21,1294.50959853
1997-02-24,1307.30701979
1997-02-25,1324.07373937
1997-02-26,1310.78708761
1997-02-27,1290.47656319
1997-02-28,1292.39820159
1997-03-03,1286.10777308
1997-03-04,1285.68590731
1997-03-05,1288.00433063
1997-03-06,1292.47357684
1997-03-07,1303.32380621
1997-03-10,1323.38513457
1997-03-11,1324.79670915
1997-03-12,1303.25031856
1997-03-13,1297.98285549
1997-03-14,1309.22668562
1997-03-17,1293.95254378
1997-03-18,1285.20116413
1997-03-19,1280.80681836
1997-03-20,1289.5153523
1997-03-21,1287.90147933
1997-03-24,1291.15962613
1997-03-25,1294.50424679
1997-03-26,1290.32853759
1997-03-27,1290.58843804
1997-03-28,1290.41633753
1997-03-31,1266.53038359
1997-04-01,1265.49615734
1997-04-02,1267.83881114
