Date,CANADA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9999999999999
1999-01-04,1005.8064727267798
1999-01-05,1019.7905976541517
1999-01-06,1045.3405990556416
1999-01-07,1057.0506595913087
1999-01-08,1076.0170111597624
1999-01-11,1087.0292653638166
1999-01-12,1073.8360835397086
1999-01-13,1031.168894401071
1999-01-14,1030.8783970595439
1999-01-15,1051.984084133403
1999-01-18,1055.9191421158473
1999-01-19,1049.5444105293457
1999-01-20,1050.1393569239424
1999-01-21,1047.7149499535703
1999-01-22,1042.011423775485
1999-01-25,1043.0738371647428
1999-01-26,1035.8383902687121
1999-01-27,1031.7156987931899
1999-01-28,1039.304106504126
1999-01-29,1055.5887348674944
1999-02-01,1068.6692169738037
1999-02-02,1053.1958232244892
1999-02-03,1052.816769812338
1999-02-04,1066.3268979603422
1999-02-05,1067.4615674922675
1999-02-08,1066.9748745188751
1999-02-09,1040.8584504111775
1999-02-10,1036.1069175402565
1999-02-11,1048.8190550994464
1999-02-12,1044.1913716636711
1999-02-15,1046.9127175746469
1999-02-16,1038.137539035441
1999-02-17,1022.8230618834295
1999-02-18,1033.138048746645
1999-02-19,1047.802976784112
1999-02-22,1056.2154430525077
1999-02-23,1050.3185803751828
1999-02-24,1043.3613361867885
1999-02-25,1027.9709049402406
1999-02-26,1030.8972614475633
1999-03-01,1026.726462681158
1999-03-02,1022.8508036538474
1999-03-03,1015.1779663371046
1999-03-04,1034.0328422052798
1999-03-05,1051.440555015591
1999-03-08,1060.232025653755
1999-03-09,1057.2505019657526
1999-03-10,1056.9063120330384
1999-03-11,1072.1006142310334
1999-03-12,1061.6046902398814
1999-03-15,1062.8632639447512
1999-03-16,1067.7587813171679
1999-03-17,1064.5745659555694
1999-03-18,1075.528617965564
1999-03-19,1083.0191139632575
1999-03-22,1090.1484993405243
1999-03-23,1075.0158996445177
1999-03-24,1078.2822563804427
1999-03-25,1083.455068202776
1999-03-26,1097.858100216432
1999-03-29,1106.3338523264285
1999-03-30,1096.394532673956
1999-03-31,1097.3898387834536
1999-04-01,1100.201771685072
1999-04-02,1107.9019557014753
1999-04-05,1120.8242674150263
1999-04-06,1105.979678448483
1999-04-07,1100.8660585425357
1999-04-08,1101.758802884245
1999-04-09,1102.2940798191469
1999-04-12,1104.263161692644
1999-04-13,1115.0805311115155
1999-04-14,1115.6964019958696
1999-04-15,1140.265583699898
1999-04-16,1164.3554162704354
1999-04-19,1183.3980353062655
1999-04-20,1166.624000189121
1999-04-21,1179.0986362671506
1999-04-22,1187.903443526043
1999-04-23,1192.7541864442683
1999-04-26,1191.9538358535906
1999-04-27,1190.6253540427206
1999-04-28,1210.7084534255935
1999-04-29,1234.5167573023582
1999-04-30,1246.2415296377342
1999-05-03,1242.3247908109363
1999-05-04,1241.7080923860613
1999-05-05,1236.9577607631343
1999-05-06,1222.8180339968599
1999-05-07,1210.0297671987635
1999-05-10,1209.0278164234248
1999-05-11,1198.367715924508
1999-05-12,1206.6283146747335
1999-05-13,1216.8447057624026
1999-05-14,1196.1507067832995
1999-05-17,1205.4745143667053
1999-05-18,1199.7544597471256
1999-05-19,1190.1972850200518
1999-05-20,1191.4239295397406
1999-05-21,1205.511378778812
1999-05-24,1206.4559355744154
1999-05-25,1187.6799746596864
1999-05-26,1195.7043373211668
1999-05-27,1198.592756934499
1999-05-28,1206.2816184838773
1999-05-31,1206.2152486963078
1999-06-01,1192.5894818553363
1999-06-02,1206.2059793763754
1999-06-03,1213.1465779090615
1999-06-04,1230.5064914769675
1999-06-07,1236.347534520107
1999-06-08,1213.1852774260349
1999-06-09,1209.1238906803003
1999-06-10,1208.8143224983685
1999-06-11,1209.954383449669
1999-06-14,1214.3762150099728
1999-06-15,1213.1948772446112
1999-06-16,1227.4430711506502
1999-06-17,1227.109944046222
1999-06-18,1224.7793011857257
1999-06-21,1229.0914030570807
1999-06-22,1230.5387456239773
1999-06-23,1229.6795418170664
1999-06-24,1224.9664318421026
1999-06-25,1221.67260761797
1999-06-28,1231.657861030804
1999-06-29,1231.5733674610453
1999-06-30,1235.721760517031
1999-07-01,1253.1638564395098
1999-07-02,1269.377585373399
1999-07-05,1279.0416528170765
1999-07-06,1271.9620865595728
1999-07-07,1269.747311804366
1999-07-08,1278.76926172553
1999-07-09,1281.0645950905275
1999-07-12,1277.8417911452138
1999-07-13,1266.5020141633067
1999-07-14,1274.7604022947762
1999-07-15,1276.7742601786888
1999-07-16,1282.044976618712
1999-07-19,1278.8034946117239
1999-07-20,1238.3437921794105
1999-07-21,1216.0626596429706
1999-07-22,1214.8888396803275
1999-07-23,1214.7880036001884
1999-07-26,1180.758129556189
1999-07-27,1182.8335873642889
1999-07-28,1194.5400088293704
1999-07-29,1179.5526292504767
1999-07-30,1190.1851032183383
1999-08-02,1188.6733420488583
1999-08-03,1194.1434534362297
1999-08-04,1181.1964066599467
1999-08-05,1172.8288635535855
1999-08-06,1168.3503186417627
1999-08-09,1175.7288686746826
1999-08-10,1166.9871955839578
1999-08-11,1191.8837679414921
1999-08-12,1202.4893723774144
1999-08-13,1221.1280233064438
1999-08-16,1216.4255310059427
1999-08-17,1231.7601991196261
1999-08-18,1226.9620382885487
1999-08-19,1226.189375930761
1999-08-20,1218.3714087968792
1999-08-23,1225.8715297609208
1999-08-24,1224.300557914938
1999-08-25,1229.8782103847263
1999-08-26,1223.1331466634679
1999-08-27,1226.537817986032
1999-08-30,1226.1489958617467
1999-08-31,1206.5598836906513
1999-09-01,1207.4198120564008
1999-09-02,1184.3048291448558
1999-09-03,1206.55061476232
1999-09-06,1210.0635284200737
1999-09-07,1206.8980738811053
1999-09-08,1211.452939907654
1999-09-09,1229.4947542845102
1999-09-10,1249.458194022823
1999-09-13,1259.0986589666645
1999-09-14,1252.4305935834448
1999-09-15,1250.0891468750012
1999-09-16,1238.8521675584682
1999-09-17,1243.7778072590525
1999-09-20,1239.06419152104
1999-09-21,1226.800820421331
1999-09-22,1219.734054106352
1999-09-23,1219.966933771326
1999-09-24,1208.0582612076912
1999-09-27,1235.8678878327494
1999-09-28,1229.968641263684
1999-09-29,1216.931627840649
1999-09-30,1210.6456271908983
1999-10-01,1204.8412178299545
1999-10-04,1208.5111160053389
1999-10-05,1204.4989915275066
1999-10-06,1196.239637276191
1999-10-07,1194.5470494809938
1999-10-08,1203.8802499173166
1999-10-11,1202.9373907490703
1999-10-12,1191.3910110151676
1999-10-13,1178.3207256984663
1999-10-14,1167.3957422486305
1999-10-15,1138.2370370215367
1999-10-18,1129.0004864962582
1999-10-19,1134.3304543428333
1999-10-20,1140.3317209067927
1999-10-21,1134.7613795573552
1999-10-22,1160.8817957896415
1999-10-25,1162.4744410433248
1999-10-26,1171.0626794179766
1999-10-27,1169.4081373778163
1999-10-28,1171.2533385089598
1999-10-29,1180.2028191072218
1999-11-01,1180.4968982591092
1999-11-02,1181.5490035547743
1999-11-03,1182.8872090528573
1999-11-04,1190.860186503846
1999-11-05,1198.8278648348983
1999-11-08,1192.9928900359812
1999-11-09,1186.1751545811164
1999-11-10,1193.6633586793437
1999-11-11,1204.5245986173936
1999-11-12,1223.7571297702268
1999-11-15,1225.8486639627931
1999-11-16,1222.9847176104015
1999-11-17,1223.1074453157566
1999-11-18,1236.4492637288354
1999-11-19,1236.0581325181931
1999-11-22,1232.7856946682125
1999-11-23,1235.4382389352138
1999-11-24,1248.43842714882
1999-11-25,1256.360945726427
1999-11-26,1274.2596238471222
1999-11-29,1269.7220002555807
1999-11-30,1255.031921497571
1999-12-01,1256.2783421487538
1999-12-02,1261.498095346235
1999-12-03,1272.5715057761754
1999-12-06,1246.87006767383
1999-12-07,1249.6355470349529
1999-12-08,1242.2623149051149
1999-12-09,1254.849686063075
1999-12-10,1265.2525104311455
1999-12-13,1273.537050057225
1999-12-14,1272.8507684945823
1999-12-15,1280.4205802765846
1999-12-16,1280.1335436837228
1999-12-17,1297.7807530827658
1999-12-20,1297.4011709372026
1999-12-21,1296.2068832958553
1999-12-22,1304.0382682851523
1999-12-23,1311.5905980385799
1999-12-24,1322.384929833099
1999-12-27,1337.8418099975752
1999-12-28,1353.8450297621537
1999-12-29,1368.5799431890403
1999-12-30,1375.2819920879263
1999-12-31,1383.2782569520432
2000-01-03,1372.502829722783
2000-01-04,1320.2625681712977
2000-01-05,1317.6741873097078
2000-01-06,1326.3492599859912
2000-01-07,1349.8423955282183
2000-01-10,1376.502422508586
2000-01-11,1354.3122147222723
2000-01-12,1361.7773145659764
