Date,NIHONKABU IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,976.5318473546923
1999-01-05,974.2816429729309
1999-01-06,983.643226003632
1999-01-07,1006.8045895091147
1999-01-08,1006.8856048526035
1999-01-11,1032.0616474654375
1999-01-12,1003.9564784471656
1999-01-13,972.601634262358
1999-01-14,985.7370492592389
1999-01-15,990.6334588497915
1999-01-18,990.9301336607365
1999-01-19,1000.558397944559
1999-01-20,1017.0313031780187
1999-01-21,1028.7069022326145
1999-01-22,1011.8388687502467
1999-01-25,1022.840198409167
1999-01-26,1033.1676787700376
1999-01-27,1031.3513009591209
1999-01-28,1026.5851863867797
1999-01-29,1039.7420648032778
1999-02-01,1055.4391639928906
1999-02-02,1071.1633179280946
1999-02-03,1061.3892471460358
1999-02-04,1064.3131212122378
1999-02-05,1048.4515990743544
1999-02-08,1046.0800537318846
1999-02-09,1029.4526917899789
1999-02-10,1027.4861082465407
1999-02-11,1031.6507273644086
1999-02-12,1034.1299596628526
1999-02-15,1033.41590159048
1999-02-16,1024.2780222317815
1999-02-17,1005.9581657329636
1999-02-18,997.9846090239098
1999-02-19,1000.2234535420173
1999-02-22,1020.5634625986781
1999-02-23,1028.1693958547958
1999-02-24,1024.358056702424
1999-02-25,1034.6366695784964
1999-02-26,1052.2649269848523
1999-03-01,1043.4815517239392
1999-03-02,1023.5554034735138
1999-03-03,1023.7864502612746
1999-03-04,1014.9557253295561
1999-03-05,1058.3922671297878
1999-03-08,1053.397188340819
1999-03-09,1066.9837265644492
1999-03-10,1093.8347747139132
1999-03-11,1112.1540779623897
1999-03-12,1112.0749232059868
1999-03-15,1140.7426722357266
1999-03-16,1183.3468261816413
1999-03-17,1176.7196949239662
1999-03-18,1154.1099263797641
1999-03-19,1199.4630559333903
1999-03-22,1193.569591883974
1999-03-23,1186.1512523137687
1999-03-24,1170.1834722050737
1999-03-25,1195.7718796226186
1999-03-26,1198.3324211081758
1999-03-29,1207.536619308112
1999-03-30,1189.2256335699083
1999-03-31,1214.3488854954091
1999-04-01,1223.6996902525311
1999-04-02,1224.0798549909512
1999-04-05,1233.3981914902743
1999-04-06,1249.892076831491
1999-04-07,1256.201539138554
1999-04-08,1276.6415542883046
1999-04-09,1289.7611995932982
1999-04-12,1277.364353056845
1999-04-13,1298.8871543958096
1999-04-14,1313.3363730779292
1999-04-15,1317.7986626892837
1999-04-16,1338.6232929071016
1999-04-19,1346.0664817094437
1999-04-20,1332.1093518160278
1999-04-21,1303.6820814092546
1999-04-22,1307.0287489410139
1999-04-23,1321.1656222995607
1999-04-26,1342.8075608874744
1999-04-27,1327.2880425249098
1999-04-28,1339.1750872607788
1999-04-29,1344.8243520923786
1999-04-30,1339.9942868501046
1999-05-03,1333.0285004524142
1999-05-04,1319.037244203352
1999-05-05,1309.0916304056998
1999-05-06,1337.1009137098904
1999-05-07,1332.3051017612852
1999-05-10,1348.3811674768588
1999-05-11,1340.7008871402963
1999-05-12,1357.5783424116523
1999-05-13,1345.4108548865795
1999-05-14,1330.4064607748026
1999-05-17,1290.710815219392
1999-05-18,1286.2096721340279
1999-05-19,1253.9523336569523
1999-05-20,1259.9541149844902
1999-05-21,1273.453781451908
1999-05-24,1273.4951705380736
1999-05-25,1268.672087075222
1999-05-26,1289.6383947476572
1999-05-27,1293.3226073354924
1999-05-28,1286.6413185399017
1999-05-31,1286.430548725834
1999-06-01,1311.731716625819
1999-06-02,1332.0707362969572
1999-06-03,1317.5491547860918
1999-06-04,1323.33382872548
1999-06-07,1346.2792292918796
1999-06-08,1346.3663597431662
1999-06-09,1365.2864282410985
1999-06-10,1388.3456941467716
1999-06-11,1398.9224194558888
1999-06-14,1387.1904179824785
1999-06-15,1388.0634836137642
1999-06-16,1411.1108021522944
1999-06-17,1433.7010309577522
1999-06-18,1411.4595075778127
1999-06-21,1425.8621948002576
1999-06-22,1434.8390849611812
1999-06-23,1422.3416920165853
1999-06-24,1409.360648294359
1999-06-25,1392.785273432866
1999-06-28,1416.8513333309388
1999-06-29,1430.2308193568
1999-06-30,1425.1457830855768
1999-07-01,1458.7337885818088
1999-07-02,1465.3896908657143
1999-07-05,1463.678586764763
1999-07-06,1463.353446440325
1999-07-07,1467.0666574620157
1999-07-08,1460.7253483786433
1999-07-09,1460.209454155808
1999-07-12,1483.2884696067306
1999-07-13,1486.531986802981
1999-07-14,1500.4198940538054
1999-07-15,1504.706299926777
1999-07-16,1492.3363139651542
1999-07-19,1531.827333380423
1999-07-20,1495.2808750363513
1999-07-21,1489.719276029531
1999-07-22,1466.8155299131831
1999-07-23,1465.8528966217832
1999-07-26,1440.9006159870687
1999-07-27,1434.730937874725
1999-07-28,1443.6670287725228
1999-07-29,1452.2693027051528
1999-07-30,1459.4978643936672
1999-08-02,1458.732483279161
1999-08-03,1453.8254090937794
