Date,AUSTRALIA IMI EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1004.3884789622773
1999-01-05,1006.575710924301
1999-01-06,1031.2428070205897
1999-01-07,1054.1031598167262
1999-01-08,1062.0645142830924
1999-01-11,1080.1020836340315
1999-01-12,1085.1593984291087
1999-01-13,1048.630490984166
1999-01-14,1047.3918306828223
1999-01-15,1060.4434720682486
1999-01-18,1067.322288142347
1999-01-19,1079.453707253106
1999-01-20,1087.6716180142664
1999-01-21,1083.6209415474693
1999-01-22,1072.6559484952693
1999-01-25,1065.42668611482
1999-01-26,1062.009315343787
1999-01-27,1073.3912520910008
1999-01-28,1078.019136061239
1999-01-29,1094.1729642472449
1999-02-01,1109.9736829733595
1999-02-02,1114.5089814481712
1999-02-03,1123.3252926577602
1999-02-04,1144.8098438231095
1999-02-05,1154.435645769357
1999-02-08,1157.564760573603
1999-02-09,1146.4175024370975
1999-02-10,1131.0802311708144
1999-02-11,1143.4460640751586
1999-02-12,1144.0926231725514
1999-02-15,1146.61884981987
1999-02-16,1136.6887398564124
1999-02-17,1128.0951125490142
1999-02-18,1138.437255174208
1999-02-19,1168.1854343643558
1999-02-22,1181.1540164243213
1999-02-23,1186.0918244785034
1999-02-24,1176.4350756788147
1999-02-25,1144.9469474951934
1999-02-26,1143.9436080079138
1999-03-01,1146.575434184386
1999-03-02,1150.1286020860045
1999-03-03,1160.1818736777313
1999-03-04,1164.4416135352903
1999-03-05,1176.11776128809
1999-03-08,1183.2495572329913
1999-03-09,1191.7496448673685
1999-03-10,1182.7594353646211
1999-03-11,1198.906201248072
1999-03-12,1195.6990959825046
1999-03-15,1193.2880331160457
1999-03-16,1181.3749399686053
1999-03-17,1170.460274366749
1999-03-18,1181.082420354071
1999-03-19,1190.9075534812268
1999-03-22,1199.8424086451087
1999-03-23,1210.7541243997166
1999-03-24,1200.7299373579567
1999-03-25,1201.261284411601
1999-03-26,1218.5798049635573
1999-03-29,1223.451746160403
1999-03-30,1209.9653913103552
1999-03-31,1208.883198830022
1999-04-01,1216.0360375298196
1999-04-02,1212.6233870273802
1999-04-05,1216.953494819991
1999-04-06,1208.9990067763893
1999-04-07,1203.3236089981085
1999-04-08,1197.0038285892317
1999-04-09,1217.6875645984053
1999-04-12,1210.6688667635608
1999-04-13,1229.243555438473
1999-04-14,1235.0597553451723
1999-04-15,1244.5896343101242
1999-04-16,1276.8457125464624
1999-04-19,1307.5461794191117
1999-04-20,1289.2366295862948
1999-04-21,1287.2372994232817
1999-04-22,1305.7987048271027
1999-04-23,1304.7259701640603
1999-04-26,1304.9889398827981
1999-04-27,1300.043049693513
1999-04-28,1304.6440308168042
1999-04-29,1322.6452723258826
1999-04-30,1338.376338406581
1999-05-03,1340.3802046215444
1999-05-04,1336.9710507826626
1999-05-05,1318.3895601653228
1999-05-06,1328.6602990738227
1999-05-07,1320.8555215903964
1999-05-10,1310.6906383190167
1999-05-11,1319.866827017796
1999-05-12,1322.9686847196651
1999-05-13,1328.430341968124
1999-05-14,1325.8731760821154
1999-05-17,1312.0708601890617
1999-05-18,1331.8384979899397
1999-05-19,1312.1170255104923
1999-05-20,1303.833079183036
1999-05-21,1310.7436357500521
1999-05-24,1307.0824278885798
1999-05-25,1290.7850728731173
1999-05-26,1284.4333992672848
1999-05-27,1280.4963528505994
1999-05-28,1283.2667969057572
1999-05-31,1282.0055860124578
1999-06-01,1265.6105258294242
1999-06-02,1268.9302432414263
1999-06-03,1280.6249937562397
1999-06-04,1295.5082913924998
1999-06-07,1307.4499970997997
1999-06-08,1302.2423867810262
1999-06-09,1308.924911537291
1999-06-10,1303.3773097563758
1999-06-11,1307.1887654022917
1999-06-14,1311.383199745685
1999-06-15,1298.7860858859333
1999-06-16,1309.3449287523142
1999-06-17,1315.6055806841896
1999-06-18,1302.0966638853472
1999-06-21,1303.9640800426894
1999-06-22,1315.262654555116
1999-06-23,1321.973392703812
1999-06-24,1313.2152230285885
1999-06-25,1303.065280224119
1999-06-28,1311.4235108866026
1999-06-29,1311.5254275202253
1999-06-30,1328.6950920038544
1999-07-01,1360.9173128255895
1999-07-02,1379.5104644073417
1999-07-05,1382.4596807137787
1999-07-06,1381.4402633382865
1999-07-07,1373.9622728137683
1999-07-08,1389.4176775731903
1999-07-09,1388.3324784792815
1999-07-12,1394.6860565160903
1999-07-13,1381.3233343424454
1999-07-14,1381.232275638348
1999-07-15,1386.4163615134091
1999-07-16,1377.0218279459068
1999-07-19,1373.8446018483241
1999-07-20,1344.8577172838984
1999-07-21,1320.255606658374
1999-07-22,1324.541757521582
1999-07-23,1332.774740087457
1999-07-26,1301.7059639064917
1999-07-27,1299.7273057055554
1999-07-28,1312.4203075730745
1999-07-29,1307.3643167170862
1999-07-30,1307.3216595800557
1999-08-02,1296.8122661352904
