Date,AUSTRALIA IMI QUALITY
2001-05-31,1000.0
2001-06-01,1006.886535328515
2001-06-04,1014.6963989057904
2001-06-05,1016.1725344495246
2001-06-06,1023.6200490526672
2001-06-07,1034.8716016895135
2001-06-08,1050.6362440082894
2001-06-11,1056.7500618328697
2001-06-12,1035.68950285657
2001-06-13,1029.687330830686
2001-06-14,1029.9759645845418
2001-06-15,1022.470777903288
2001-06-18,1012.3432822639165
2001-06-19,1012.6691835017886
2001-06-20,1019.3050033956572
2001-06-21,1016.0271843932309
2001-06-22,1016.795793744606
2001-06-25,1009.7960085004461
2001-06-26,1013.0307809572703
2001-06-27,1005.2234915943543
2001-06-28,1008.5334237217191
2001-06-29,1023.2434293385788
2001-07-02,1018.80512539734
2001-07-03,1033.5912925334735
2001-07-04,1033.2795166533692
2001-07-05,1030.7672216586195
2001-07-06,990.981751156941
2001-07-09,985.2253108906343
2001-07-10,990.193442482368
2001-07-11,983.0822291636484
2001-07-12,997.5452351357983
2001-07-13,1003.2647636767284
2001-07-16,1005.3449317760846
2001-07-17,993.8841790660764
2001-07-18,980.0241886176589
2001-07-19,969.8487628066165
2001-07-20,959.0990669248096
2001-07-23,962.2481846014124
2001-07-24,942.8707848912154
2001-07-25,930.178762574256
2001-07-26,934.6672446894316
2001-07-27,941.5413248062565
2001-07-30,940.8987488431732
2001-07-31,946.1113674942792
2001-08-01,969.8971078287152
2001-08-02,978.7358297527578
2001-08-03,968.1451212190133
2001-08-06,977.8171028753445
2001-08-07,979.0817843814486
2001-08-08,978.3262577019232
2001-08-09,958.4236777416272
2001-08-10,945.7042064426453
2001-08-13,943.8739758020502
2001-08-14,939.6373202487281
2001-08-15,949.4734181922528
2001-08-16,936.029895411351
2001-08-17,941.0871171455352
2001-08-20,925.2988475249883
2001-08-21,934.4306900407804
2001-08-22,937.273248459373
2001-08-23,940.1027620360597
2001-08-24,947.4508612039217
2001-08-27,958.3457417552831
2001-08-28,969.1882987673582
2001-08-29,963.4308555791888
2001-08-30,962.8194486751061
2001-08-31,938.2612787678461
2001-09-03,949.4099663185115
2001-09-04,960.1580047354935
2001-09-05,965.1885778490642
2001-09-06,970.6231041266582
2001-09-07,950.7904463771584
2001-09-10,937.0603313632301
2001-09-11,941.0249435794005
2001-09-12,909.3735638219617
2001-09-13,910.1499109205892
2001-09-14,895.6441859088113
2001-09-17,848.9219431930087
2001-09-18,848.0603904335309
2001-09-19,847.6950829853573
2001-09-20,834.6022887082194
2001-09-21,811.4616444659464
2001-09-24,812.588698661083
2001-09-25,818.8432680223889
2001-09-26,821.5026998622147
2001-09-27,826.9890481539243
2001-09-28,866.4877601100434
2001-10-01,865.9358361492182
2001-10-02,872.5771717376301
2001-10-03,870.5930889757725
2001-10-04,878.4084961320176
2001-10-05,904.1432856857137
2001-10-08,898.8326346086342
2001-10-09,899.144329500751
2001-10-10,893.4842948682164
2001-10-11,911.8271163065582
2001-10-12,918.5786300500281
2001-10-15,933.8100232800023
2001-10-16,938.8450782532416
2001-10-17,942.6660960785275
2001-10-18,927.6827910060898
2001-10-19,924.4455057828911
2001-10-22,928.3545294508763
2001-10-23,940.7178899307862
2001-10-24,936.9560402749452
2001-10-25,930.8728651408525
2001-10-26,930.9800563881053
2001-10-29,924.0684167909751
2001-10-30,924.7245243412139
2001-10-31,920.5473188956514
2001-11-01,926.1776659040903
2001-11-02,924.9744006953025
