Date,EUROPE IMI VALUE
1998-12-31,453.67366366221046
1999-01-01,453.6702706969609
1999-01-04,463.68840055928644
1999-01-05,467.47501951660377
1999-01-06,478.5805951020555
1999-01-07,473.0545751140286
1999-01-08,475.4460337350166
1999-01-11,470.1792333246093
1999-01-12,465.1094113633713
1999-01-13,449.13423331022085
1999-01-14,450.17463565558563
1999-01-15,456.3890507862276
1999-01-18,465.2757437822571
1999-01-19,463.9636373865073
1999-01-20,467.61888475574943
1999-01-21,463.7504803858324
1999-01-22,453.0352052152358
1999-01-25,453.65043033645844
1999-01-26,453.80235747180416
1999-01-27,455.78055152388066
1999-01-28,460.71755030952284
1999-01-29,464.75735387784124
1999-02-01,472.1608267265664
1999-02-02,470.79482230746
1999-02-03,466.7207284521964
1999-02-04,468.8344902670443
1999-02-05,469.0100598964098
1999-02-08,468.15930691114187
1999-02-09,459.85498568308066
1999-02-10,456.2008355328475
1999-02-11,461.8563397424829
1999-02-12,465.62679464435473
1999-02-15,468.2053422653794
1999-02-16,471.392377091338
1999-02-17,466.5959545102754
1999-02-18,466.5097767800401
1999-02-19,469.0637417385653
1999-02-22,472.5426457006106
1999-02-23,477.2955763221251
1999-02-24,480.3713188185506
1999-02-25,474.9603561359969
1999-02-26,476.5005034230619
1999-03-01,472.0815839638637
1999-03-02,474.0300425911452
1999-03-03,472.2898589007654
1999-03-04,477.0123683197073
1999-03-05,485.53379953719366
1999-03-08,483.10028146292655
1999-03-09,484.0983854049283
1999-03-10,484.6924341851107
1999-03-11,494.15568284686697
1999-03-12,494.3869494761888
1999-03-15,491.8879177294236
1999-03-16,494.08664143960453
1999-03-17,491.2416540279427
1999-03-18,490.46240530566
1999-03-19,496.6389584077403
1999-03-22,495.4627109257301
1999-03-23,489.22098618963633
1999-03-24,485.04913934896416
1999-03-25,491.28278355183386
1999-03-26,491.33745384804564
1999-03-29,497.388985021191
1999-03-30,494.6833504403297
1999-03-31,496.3379096921415
1999-04-01,494.9586037740813
1999-04-02,495.46656149495277
1999-04-05,496.2296568051951
1999-04-06,499.9212782088344
1999-04-07,504.10495434480333
1999-04-08,505.7338283002432
1999-04-09,509.8867898427335
1999-04-12,507.61238897814206
1999-04-13,512.2555062644342
1999-04-14,512.4002768537238
1999-04-15,514.7769814631739
1999-04-16,518.2938242568579
1999-04-19,526.748619326976
1999-04-20,515.1589351354482
1999-04-21,515.922609092585
1999-04-22,520.2086950621883
1999-04-23,520.6886407516449
1999-04-26,524.5966527145661
1999-04-27,532.2227949030104
1999-04-28,532.3090534078062
1999-04-29,531.914998841368
1999-04-30,535.5051751610938
1999-05-03,537.8775199681363
1999-05-04,539.2371869570047
1999-05-05,530.3858621781156
1999-05-06,530.5567515777084
1999-05-07,528.30759866141
1999-05-10,527.4488880391011
1999-05-11,529.0488473728277
1999-05-12,526.2844549944762
1999-05-13,530.6188439254657
1999-05-14,521.7594300702901
1999-05-17,513.7870094012512
1999-05-18,516.9606589434551
1999-05-19,521.7823803357542
1999-05-20,525.8241056065123
1999-05-21,525.8119357296353
1999-05-24,525.0121077053226
1999-05-25,519.1555893832427
1999-05-26,520.8584134013369
1999-05-27,516.5112555650143
1999-05-28,518.1278976585727
1999-05-31,521.0039487596911
1999-06-01,521.0529428947324
1999-06-02,525.6196439756028
1999-06-03,529.0059923890644
1999-06-04,533.269598569425
1999-06-07,536.9236940172841
1999-06-08,533.6650804373412
1999-06-09,534.370870318822
1999-06-10,531.0219836675695
1999-06-11,536.4979244520711
1999-06-14,534.663592854784
1999-06-15,535.4566071497543
1999-06-16,540.4300171608296
1999-06-17,541.4740281388682
1999-06-18,542.4221285603335
1999-06-21,547.0806403444944
1999-06-22,544.3005633487966
1999-06-23,539.9747437820687
1999-06-24,535.7619656262383
