Date,EUROPE ex SWITZERLAND IMI VALUE
2007-05-31,1000.0
2007-06-01,1009.8509977399656
2007-06-04,1006.9228686709424
2007-06-05,1002.0598948579401
2007-06-06,987.5568715575665
2007-06-07,978.0010889590707
2007-06-08,977.9922475466554
2007-06-11,985.4952050230808
2007-06-12,979.176574188002
2007-06-13,982.0369866533623
2007-06-14,996.7581160907616
2007-06-15,1008.5452031540389
2007-06-18,1005.7601817563883
2007-06-19,1003.6720237799786
2007-06-20,1007.5184237978776
2007-06-21,997.4382326103021
2007-06-22,993.7932534353637
2007-06-25,992.6035293757127
2007-06-26,986.3703703170733
2007-06-27,980.3440983342808
2007-06-28,990.4970463326696
2007-06-29,995.6243049745078
2007-07-02,991.0376802610243
2007-07-03,999.8430182776439
2007-07-04,1004.0039542692107
2007-07-05,996.6824028027586
2007-07-06,1004.2320038960635
2007-07-09,1007.0589141938564
2007-07-10,994.952590096739
2007-07-11,988.4243536440651
2007-07-12,1000.2013295376124
2007-07-13,1005.3069175104745
2007-07-16,1007.0627475589948
2007-07-17,1003.2167842551781
2007-07-18,991.9932770418473
2007-07-19,999.6934882774833
2007-07-20,988.5648466682508
2007-07-23,994.9900092810407
2007-07-24,978.4363584614616
2007-07-25,970.0860299843998
2007-07-26,943.8361877264113
2007-07-27,938.6892745990135
2007-07-30,935.1164613277751
2007-07-31,956.1631085667955
2007-08-01,940.1328624022005
2007-08-02,948.3071484088513
2007-08-03,935.0252707848938
2007-08-06,925.1587350417041
2007-08-07,940.5027708574016
2007-08-08,958.3660814394976
2007-08-09,938.4811140520242
2007-08-10,908.3908807710382
2007-08-13,931.2599542558628
2007-08-14,919.9943063433452
2007-08-15,917.8322534904437
2007-08-16,887.7174963265189
2007-08-17,910.6510399975302
2007-08-20,914.52273522792
2007-08-21,912.9952792052851
2007-08-22,927.1605949800916
2007-08-23,928.8441082841593
2007-08-24,930.2098870567805
2007-08-27,931.3987415649572
2007-08-28,912.9353115007534
2007-08-29,918.6333817450966
2007-08-30,928.250854641869
2007-08-31,940.1116135241073
2007-09-03,943.6556385883101
2007-09-04,950.2461569664051
2007-09-05,933.272365383347
2007-09-06,935.1415014162849
2007-09-07,914.052610929236
2007-09-10,907.0851960268353
2007-09-11,921.2333696983799
2007-09-12,922.8117481569038
2007-09-13,929.1192427675538
2007-09-14,918.0936726623256
2007-09-17,902.1818222840452
2007-09-18,915.150276636773
2007-09-19,939.4880624032933
2007-09-20,932.4072486822588
2007-09-21,936.2966353783094
2007-09-24,932.8431773069342
2007-09-25,921.5407527397283
2007-09-26,928.2534099158868
2007-09-27,937.5115800857777
