Date,WORLD ex ISRAEL IMI VALUE
2010-05-26,1000.0
2010-05-27,1027.264074128757
2010-05-28,1017.0717174520272
2010-05-31,1021.5148177041225
2010-06-01,1008.3071211847916
2010-06-02,1024.3472712264404
2010-06-03,1033.5069245214938
2010-06-04,1016.792999473853
2010-06-07,1007.8365313881368
2010-06-08,1011.1632818176226
2010-06-09,1006.0399654099884
2010-06-10,1025.7809718501667
2010-06-11,1033.149359253774
2010-06-14,1026.7944355390778
2010-06-15,1040.725244877544
2010-06-16,1041.4329018670394
2010-06-17,1040.1984661608599
2010-06-18,1040.9298162864193
2010-06-21,1044.7617197284487
2010-06-22,1038.3160150581407
2010-06-23,1032.7346862991565
2010-06-24,1013.48530651438
2010-06-25,1015.0544358874301
2010-06-28,1014.1201230828644
2010-06-29,995.0391621550281
2010-06-30,983.9159634239686
2010-07-01,962.4520366096447
2010-07-02,951.5039963655718
2010-07-05,954.056116567824
2010-07-06,960.9177999468536
2010-07-07,982.3406604479147
2010-07-08,991.2279848259361
2010-07-09,1001.5361812846127
2010-07-12,1004.0847774337209
2010-07-13,1014.955060880711
2010-07-14,1011.6032792002962
2010-07-15,998.0802517822527
2010-07-16,972.328190827348
2010-07-19,970.5929665387655
2010-07-20,979.8031463823495
2010-07-21,979.8077248345231
2010-07-22,993.5146526315996
2010-07-23,1006.8683037280545
2010-07-26,1011.4246306542836
2010-07-27,1011.647401111691
2010-07-28,1007.1151818617345
2010-07-29,1002.5184358010827
2010-07-30,1003.2223983894628
2010-08-02,1016.2259938002576
2010-08-03,1013.481755824753
2010-08-04,1019.5806152947569
2010-08-05,1019.0920077906065
2010-08-06,1007.4216925677051
2010-08-09,1016.721747029521
2010-08-10,1017.0521076725375
2010-08-11,1001.646610342131
2010-08-12,999.5739080384519
2010-08-13,1003.4308929837684
2010-08-16,998.6219111088812
2010-08-17,1007.707966468642
2010-08-18,1009.6849421186029
2010-08-19,995.1002215921053
2010-08-20,996.7049106478414
2010-08-23,999.7572162052836
2010-08-24,985.4721046405482
2010-08-25,985.4374405013089
2010-08-26,979.4892722802007
2010-08-27,993.4882240540811
2010-08-30,989.3936541654169
2010-08-31,986.7653375358061
2010-09-01,1006.2983151076357
2010-09-02,1012.0519341008198
2010-09-03,1021.0192988540297
2010-09-06,1024.376552911563
2010-09-07,1023.3298551502218
2010-09-08,1026.6462454586394
2010-09-09,1035.807608649873
2010-09-10,1038.6483775447107
2010-09-13,1042.005250538601
2010-09-14,1035.0828734406807
2010-09-15,1030.6803147577853
2010-09-16,1022.1915994030138
2010-09-17,1024.3353964517582
2010-09-20,1035.6891053366262
2010-09-21,1029.4719533912407
2010-09-22,1007.2563795992909
2010-09-23,1004.5206251264102
2010-09-24,1011.4520807328215
2010-09-27,1009.3583247983391
2010-09-28,1007.8099347188315
2010-09-29,1003.2462604340465
2010-09-30,996.1226357061076
2010-10-01,994.7537542498862
2010-10-04,991.4057765200714
2010-10-05,1000.6658548125795
2010-10-06,1002.9027228914787
2010-10-07,1000.8158933243425
2010-10-08,1003.4909628758776
2010-10-11,1006.7140927260307
2010-10-12,1008.310867738652
2010-10-13,1010.2290010181758
2010-10-14,1003.5505340865514
2010-10-15,1002.8548884870315
