Date,EAFE ex ISRAEL IMI VALUE
2010-05-26,1000.0
2010-05-27,1023.3906494385639
2010-05-28,1023.1493717610098
2010-05-31,1025.7343111041944
2010-06-01,1022.4627772481919
2010-06-02,1017.4885122952196
2010-06-03,1034.9805031056267
2010-06-04,1026.4326406285006
2010-06-07,1011.6178643768822
2010-06-08,1005.4071737377448
2010-06-09,1010.4518785430932
2010-06-10,1022.9690981018996
2010-06-11,1033.31470500875
2010-06-14,1038.9964313756325
2010-06-15,1044.4444145600582
2010-06-16,1048.573960305333
2010-06-17,1049.345801574907
2010-06-18,1051.198998269573
2010-06-21,1064.0411965308313
2010-06-22,1061.0438178442473
2010-06-23,1051.361854325672
2010-06-24,1036.7527553486639
2010-06-25,1029.2377265342488
2010-06-28,1034.3730150969043
2010-06-29,1014.898668352464
2010-06-30,1008.9553656432497
2010-07-01,987.0226113275362
2010-07-02,983.1801800532913
2010-07-05,983.5309093631794
2010-07-06,1003.1007292330202
2010-07-07,1013.2478149721666
2010-07-08,1025.2591213416972
2010-07-09,1031.6968202587213
2010-07-12,1035.1599989542283
2010-07-13,1046.3072827083454
2010-07-14,1049.552699710373
2010-07-15,1033.943038699652
2010-07-16,1018.3015259432274
2010-07-19,1010.3889921848673
2010-07-20,1011.196345075117
2010-07-21,1019.3021422290651
2010-07-22,1031.2720729637504
2010-07-23,1042.0673767726028
2010-07-26,1045.8068986018818
2010-07-27,1050.4934919132586
2010-07-28,1053.163432550734
2010-07-29,1051.760617575859
2010-07-30,1048.0772108121982
2010-08-02,1066.8656308533227
2010-08-03,1070.5301065634787
2010-08-04,1069.7026378422909
2010-08-05,1072.6645789365884
2010-08-06,1065.2238648902733
2010-08-09,1074.438219362145
2010-08-10,1069.2076316138832
2010-08-11,1053.0482948050383
2010-08-12,1047.6883882208645
2010-08-13,1051.536708299082
2010-08-16,1049.115672206566
2010-08-17,1057.1665255335076
2010-08-18,1058.2750485245358
2010-08-19,1049.6673120702012
2010-08-20,1041.344234958197
2010-08-23,1049.1202334441646
2010-08-24,1036.105640553263
2010-08-25,1025.751733426809
2010-08-26,1030.133001462795
2010-08-27,1037.738478202176
2010-08-30,1043.1061503346598
2010-08-31,1036.8163071810116
2010-09-01,1055.4273296527335
2010-09-02,1059.169667100746
2010-09-03,1066.45481832776
2010-09-06,1075.0491259945493
2010-09-07,1075.783622597912
2010-09-08,1076.6678420286353
2010-09-09,1087.8283833486241
2010-09-10,1087.2896603048232
2010-09-13,1093.6104476556477
2010-09-14,1091.4477858834068
2010-09-15,1084.451298985881
2010-09-16,1074.8603260437521
2010-09-17,1075.1545364179071
2010-09-20,1084.5019212597629
2010-09-21,1080.9471238206024
2010-09-22,1065.0226455932693
2010-09-23,1065.7459824408306
2010-09-24,1068.0055809916435
2010-09-27,1070.2275135070763
2010-09-28,1066.9433272046215
2010-09-29,1063.6885726120993
2010-09-30,1053.4683294285023
2010-10-01,1051.558534461644
2010-10-04,1046.6675139838733
2010-10-05,1056.7836723469902
2010-10-06,1065.5261643646904
2010-10-07,1068.2088872287607
2010-10-08,1067.4271129425094
2010-10-11,1070.8699365379175
2010-10-12,1063.3461231187111
2010-10-13,1071.295763647489
2010-10-14,1073.774310105301
2010-10-15,1072.0546770415087
2010-10-18,1078.0061823384967
2010-10-19,1077.9917856955467
2010-10-20,1074.8646665844974
2010-10-21,1074.5615599683183
2010-10-22,1076.032422645321
2010-10-25,1078.8728477169304
2010-10-26,1077.5101739295458
2010-10-27,1070.533480329403
2010-10-28,1073.2351762827834
2010-10-29,1074.8137547694091
2010-11-01,1075.0975609097914
2010-11-02,1075.9300252654102
2010-11-03,1071.4436126075614
2010-11-04,1083.9432941592463
2010-11-05,1092.6693834960734
2010-11-08,1097.924047445899
2010-11-09,1102.2948812501145
2010-11-10,1098.780562403035
2010-11-11,1099.8946823705517
2010-11-12,1093.4649767432973
2010-11-15,1100.8430837409398
2010-11-16,1082.3369099901502
2010-11-17,1087.0661880947564
2010-11-18,1099.4006510688157
2010-11-19,1094.3823776076895
2010-11-22,1090.3291574046614
2010-11-23,1081.5556102306891
2010-11-24,1084.8946870081659
2010-11-25,1087.716443339889
2010-11-26,1083.898196131004
2010-11-29,1077.199126383249
2010-11-30,1075.1000122192988
2010-12-01,1090.8737836847363
2010-12-02,1105.4450774529182
2010-12-03,1102.8743179037522
2010-12-06,1106.7727982862236
2010-12-07,1110.9460882838155
2010-12-08,1116.5151882525101
2010-12-09,1127.1183652928396
2010-12-10,1125.2773767468375
2010-12-13,1127.4034629140008
2010-12-14,1133.0306117528046
2010-12-15,1129.465396430151
2010-12-16,1133.6408052908016
2010-12-17,1131.0002610028605
2010-12-20,1137.029190807754
2010-12-21,1146.7323812350323
2010-12-22,1149.3230536119493
2010-12-23,1153.374784267179
2010-12-24,1149.4908489697007
2010-12-27,1142.813222385602
2010-12-28,1147.9329481575855
2010-12-29,1154.2212779057966
2010-12-30,1139.008903169345
2010-12-31,1134.818122006475
2011-01-03,1141.2353340027628
2011-01-04,1152.2803232425617
2011-01-05,1154.1746786278634
2011-01-06,1164.7552809591066
2011-01-07,1165.2653967285985
2011-01-10,1159.3003367186934
2011-01-11,1165.1504997328595
2011-01-12,1177.2950321818396
2011-01-13,1174.9551212970791
2011-01-14,1171.900633762726
2011-01-17,1174.5171660363337
2011-01-18,1181.0254340824183
2011-01-19,1175.193714630311
2011-01-20,1163.861016254581
2011-01-21,1162.949176290178
2011-01-24,1166.1451620348087
2011-01-25,1163.6324030713545
2011-01-26,1165.9668966150887
2011-01-27,1167.1023734326227
2011-01-28,1163.4375067230553
2011-01-31,1157.6598604883366
2011-02-01,1171.941841571841
2011-02-02,1176.8867461781836
2011-02-03,1181.2416034887863
2011-02-04,1188.5599836271163
2011-02-07,1196.7404219096065
2011-02-08,1195.7844369655525
2011-02-09,1190.3313604074128
2011-02-10,1188.7863156417768
2011-02-11,1188.8716667117826
2011-02-14,1197.9231389053045
2011-02-15,1198.6781092508786
2011-02-16,1206.4182120586822
2011-02-17,1211.6212704806676
2011-02-18,1211.7433335898622
2011-02-21,1198.9805070368573
2011-02-22,1184.8817645811403
2011-02-23,1173.901983135635
2011-02-24,1166.3502595333507
2011-02-25,1179.8904798699878
2011-02-28,1187.1004391417866
2011-03-01,1184.5740282479017
2011-03-02,1171.5789192327597
2011-03-03,1169.8343232421198
2011-03-04,1168.942391346526
2011-03-07,1161.9908937228372
2011-03-08,1165.545680704826
2011-03-09,1164.4822936943415
2011-03-10,1152.8756287439069
2011-03-11,1143.3353452247045
2011-03-14,1112.1633124004213
2011-03-15,1069.2225839489374
2011-03-16,1074.6307950405521
2011-03-17,1086.844918311545
2011-03-18,1085.690976446112
2011-03-21,1100.6232000430382
2011-03-22,1113.0297532484124
2011-03-23,1116.2215315459764
2011-03-24,1121.0160242820202
2011-03-25,1125.1953837940562
2011-03-28,1124.7368161756408
2011-03-29,1122.5014192855213
2011-03-30,1129.053747778013
2011-03-31,1120.8207565400542
2011-04-01,1129.062489233199
2011-04-04,1128.15646538885
2011-04-05,1124.7917646443582
2011-04-06,1121.2943630464638
2011-04-07,1124.1238573607932
2011-04-08,1128.8003563163618
2011-04-11,1127.2291860678454
2011-04-12,1110.7508228820354
2011-04-13,1117.5115087319662
2011-04-14,1115.8309218560175
2011-04-15,1115.1423798698534
2011-04-18,1106.952360660189
2011-04-19,1101.873472712653
2011-04-20,1115.2896652485667
