Date,FAR EAST IMI VALUE
1998-12-31,483.54689721714266
1999-01-01,483.5472838175742
1999-01-04,472.72321049103476
1999-01-05,471.7589837101465
1999-01-06,476.79442550629057
1999-01-07,489.4856796584256
1999-01-08,489.14100581854495
1999-01-11,499.2609756786362
1999-01-12,487.8955594084342
1999-01-13,473.4405411332887
1999-01-14,478.0373348430106
1999-01-15,481.32160190615406
1999-01-18,481.1638111434069
1999-01-19,482.0618668273607
1999-01-20,489.13310818561524
1999-01-21,492.894703085411
1999-01-22,485.3301383660874
1999-01-25,486.19241481723293
1999-01-26,489.13367915219214
1999-01-27,489.9167681840629
1999-01-28,487.43495481863846
1999-01-29,495.1190982673458
1999-02-01,499.66279620849474
1999-02-02,505.09844222990034
1999-02-03,499.47267150915013
1999-02-04,500.05934100649716
1999-02-05,493.88785621764544
1999-02-08,494.49972795932496
1999-02-09,486.254428020674
1999-02-10,483.6727126732664
1999-02-11,486.69689786142
1999-02-12,491.0410769595603
1999-02-15,491.0100118833826
1999-02-16,486.1989898442775
1999-02-17,478.39471448805523
1999-02-18,475.36066444378
1999-02-19,477.0001012358815
1999-02-22,485.54161773584065
1999-02-23,488.34557458139886
1999-02-24,488.1306775641184
1999-02-25,491.6896917592454
1999-02-26,499.1367497491372
1999-03-01,495.6708602006751
1999-03-02,486.2352112440912
1999-03-03,486.237022697838
1999-03-04,484.05618761100436
1999-03-05,502.8281416795179
1999-03-08,502.8729014505989
1999-03-09,510.2471878913544
1999-03-10,523.4606336806454
1999-03-11,532.2747149047216
1999-03-12,531.6641678587279
1999-03-15,542.8790012798012
1999-03-16,557.0914201445968
1999-03-17,556.8953057538123
1999-03-18,549.7086246901152
1999-03-19,570.6670053150758
1999-03-22,568.9517716699312
1999-03-23,566.9536474389037
1999-03-24,554.857803722735
1999-03-25,565.9009342488189
1999-03-26,568.746273923209
1999-03-29,570.9999163581392
1999-03-30,565.1987267954052
1999-03-31,573.865497465043
1999-04-01,580.6533046030119
1999-04-02,578.1150543091993
1999-04-05,578.3772633031955
1999-04-06,587.1796810787667
1999-04-07,588.1594815915151
1999-04-08,596.5229396209671
1999-04-09,599.4673498028635
1999-04-12,590.1225430829205
1999-04-13,598.4025149648055
1999-04-14,608.5522308364662
1999-04-15,612.8873944194195
1999-04-16,624.9489130379533
1999-04-19,630.077881945691
1999-04-20,622.6668565359479
1999-04-21,612.5177136357811
1999-04-22,615.633602035533
1999-04-23,621.6260723811492
1999-04-26,630.6197370578095
1999-04-27,626.6688338799056
1999-04-28,629.4063500341418
1999-04-29,631.5875960903821
1999-04-30,629.4739938206726
1999-05-03,627.110698471084
1999-05-04,622.6522413753726
1999-05-05,619.2760808773357
1999-05-06,632.4337618833971
1999-05-07,626.2284812702516
1999-05-10,627.4960235068875
1999-05-11,622.4943390546348
1999-05-12,628.0409109708663
1999-05-13,623.4259855462525
1999-05-14,614.3351289680181
1999-05-17,599.9364319481207
1999-05-18,599.1778369270122
1999-05-19,585.3958920621131
1999-05-20,588.13197337879
1999-05-21,595.4605860429809
1999-05-24,597.081964654503
1999-05-25,595.9186506152128
1999-05-26,605.4408128882351
1999-05-27,606.147710247875
1999-05-28,606.0058540659113
1999-05-31,606.0505763698729
1999-06-01,618.295866107564
1999-06-02,629.7200515258216
1999-06-03,621.7679154265805
1999-06-04,622.5468448222549
1999-06-07,633.220105449665
