Date,EUROPE ex EMU IMI VALUE
2007-05-31,1000.0
2007-06-01,1010.9694406122392
2007-06-04,1010.2215226877233
2007-06-05,1005.4348831213583
2007-06-06,994.9214739322462
2007-06-07,985.9231387154783
2007-06-08,987.2792728970084
2007-06-11,992.5393700903445
2007-06-12,987.0225113872445
2007-06-13,989.8561667110146
2007-06-14,1002.3930632046894
2007-06-15,1013.7965452781804
2007-06-18,1009.4762788267316
2007-06-19,1005.390391520028
2007-06-20,1009.6544405694455
2007-06-21,1000.4270654188897
2007-06-22,995.9716578411709
2007-06-25,996.5597288633885
2007-06-26,991.2380890697727
2007-06-27,985.49586253948
2007-06-28,994.5938870225847
2007-06-29,998.5369783862885
2007-07-02,992.1952668770671
2007-07-03,1002.2014068399494
2007-07-04,1006.8056046522878
2007-07-05,1000.1484569847426
2007-07-06,1006.709756711665
2007-07-09,1010.3505382283411
2007-07-10,997.5592213306747
2007-07-11,991.3789472488298
2007-07-12,1000.6833850060468
2007-07-13,1005.6767495382836
2007-07-16,1006.5950024581266
2007-07-17,1004.0579367467743
2007-07-18,995.0753002518927
2007-07-19,1000.6127414608787
2007-07-20,992.1881792666561
2007-07-23,997.2191823043704
2007-07-24,980.9736254485666
2007-07-25,973.9531828463927
2007-07-26,944.3525685978118
2007-07-27,939.7504813582973
2007-07-30,935.9404992480512
2007-07-31,959.2772175697638
2007-08-01,947.1438990826274
2007-08-02,952.8942747929317
2007-08-03,938.9480208764795
2007-08-06,927.9703904959632
2007-08-07,943.6526352573761
2007-08-08,963.924975959942
2007-08-09,945.2542344835117
2007-08-10,910.657442517271
2007-08-13,934.9137094807669
2007-08-14,921.0380436609823
2007-08-15,920.4270820908135
2007-08-16,888.2980146329847
2007-08-17,916.0753826984514
2007-08-20,918.4797265413832
2007-08-21,915.1862483478513
2007-08-22,929.9344238265055
2007-08-23,931.8044088048264
2007-08-24,931.811835867881
2007-08-27,933.0307597734494
2007-08-28,912.1878871210389
2007-08-29,918.7432931276812
2007-08-30,928.512493343639
2007-08-31,941.2998262815696
2007-09-03,946.4151898421616
2007-09-04,954.8230032976563
2007-09-05,940.2775700416023
2007-09-06,939.9764526516312
2007-09-07,919.4498125145088
2007-09-10,912.0153236128518
2007-09-11,927.5828239216911
2007-09-12,928.8490291289759
2007-09-13,933.8536088877266
2007-09-14,917.029369605305
2007-09-17,896.2175681435621
2007-09-18,907.4139667682136
2007-09-19,929.7825422576952
2007-09-20,921.400698368832
2007-09-21,924.9527202463638
2007-09-24,920.3706731065386
2007-09-25,905.6035681047987
2007-09-26,910.8798947284757
2007-09-27,921.5517985982758
2007-09-28,919.4451246788389
2007-10-01,925.8273343007629
2007-10-02,933.6053170318572
2007-10-03,938.7978766532356
2007-10-04,943.7931557775388
2007-10-05,948.1609762639252
2007-10-08,944.9614357456844
2007-10-09,951.2390845364105
2007-10-10,950.9464633929082
2007-10-11,955.9609089568816
