Date,EAFE ex UK IMI VALUE
1998-12-31,442.49348285967875
1999-01-01,442.4905602311988
1999-01-04,450.13643469352104
1999-01-05,452.7334246572169
1999-01-06,459.9643966846974
1999-01-07,460.5811575316992
1999-01-08,461.1704415945997
1999-01-11,460.948563289069
1999-01-12,454.17289829594904
1999-01-13,438.24310953805735
1999-01-14,440.6445834659612
1999-01-15,444.1465363194964
1999-01-18,449.4181358009635
1999-01-19,450.27054777493225
1999-01-20,455.12070842560587
1999-01-21,454.25821110458725
1999-01-22,444.8729059413971
1999-01-25,444.7550490696268
1999-01-26,445.80299999991405
1999-01-27,448.0188840844369
1999-01-28,451.0492705118749
1999-01-29,455.90659488245177
1999-02-01,461.13210781738445
1999-02-02,460.31788312009195
1999-02-03,456.70264992477087
1999-02-04,457.9749331587225
1999-02-05,457.2544673161573
1999-02-08,456.7606470527917
1999-02-09,448.10602755916284
1999-02-10,444.99848755904105
1999-02-11,449.1269556364322
1999-02-12,452.2138511291835
1999-02-15,452.54815717870844
1999-02-16,450.54522947748717
1999-02-17,444.82606917875165
1999-02-18,444.6176634290067
1999-02-19,447.5855483078361
1999-02-22,453.18333233244215
1999-02-23,457.2392996084482
1999-02-24,457.29395066497017
1999-02-25,455.20302136061275
1999-02-26,457.5246098977035
1999-03-01,453.21200972486315
1999-03-02,450.79024362688807
1999-03-03,448.7020429800348
1999-03-04,450.541701677951
1999-03-05,461.84530558731154
1999-03-08,460.88349921088644
1999-03-09,463.4066116206974
1999-03-10,467.4917943064054
1999-03-11,474.0513899906376
1999-03-12,475.37512247724146
1999-03-15,480.0179702412385
1999-03-16,485.8301460729115
1999-03-17,484.9599509944961
1999-03-18,482.0547198312036
1999-03-19,492.57871778684466
1999-03-22,491.02106340019634
1999-03-23,486.0995451985004
1999-03-24,478.47539209224357
1999-03-25,486.36349626049054
1999-03-26,485.71149591490115
1999-03-29,489.393395456898
1999-03-30,486.5072564251747
1999-03-31,491.0917910973015
1999-04-01,493.82801117888505
1999-04-02,493.14402906276297
1999-04-05,493.2634313553137
1999-04-06,499.64089610412043
1999-04-07,501.3444748418874
1999-04-08,504.35752223749654
1999-04-09,507.1219186186397
1999-04-12,503.36126515727096
1999-04-13,508.0719292708667
1999-04-14,511.649945540724
1999-04-15,512.679038516803
1999-04-16,518.5713856395146
1999-04-19,524.0527534125833
1999-04-20,515.9915690024878
1999-04-21,514.2784688162251
1999-04-22,516.8634574759474
1999-04-23,518.665990041564
1999-04-26,522.7882247997774
1999-04-27,526.7022360725272
1999-04-28,526.7233697804255
1999-04-29,528.4823370727237
1999-04-30,529.2662274837708
1999-05-03,530.3535646310432
1999-05-04,529.5488100510076
1999-05-05,523.6914790702511
1999-05-06,528.2135862114624
1999-05-07,525.2197873678629
1999-05-10,526.3219134597214
1999-05-11,525.4305903450091
1999-05-12,525.3013145269654
1999-05-13,524.8634609403249
1999-05-14,518.9644045058378
1999-05-17,509.0429711307623
1999-05-18,511.11331709339396
1999-05-19,509.1335305446105
1999-05-20,511.96369927531003
1999-05-21,514.382498791959
1999-05-24,514.9352485506029
1999-05-25,511.02666685984093
1999-05-26,513.7816405445082
1999-05-27,510.59896614955943
1999-05-28,511.2490610177165
1999-05-31,513.2908307636769
1999-06-01,516.352016327365
1999-06-02,521.2086347308491
1999-06-03,521.0576420351267
1999-06-04,523.4435337973309
1999-06-07,529.6003486139172
1999-06-08,529.5906769056689
1999-06-09,532.8212420845929
1999-06-10,533.0836511220524
1999-06-11,537.7851396989755
