Date,WORLD ex USA IMI VALUE
1998-12-31,440.0053466668565
1999-01-01,440.00324082073155
1999-01-04,444.3440883858399
1999-01-05,446.9162669076584
1999-01-06,456.4333495045414
1999-01-07,456.2187271636088
1999-01-08,458.14595949693546
1999-01-11,457.29345849312244
1999-01-12,450.99702491906805
1999-01-13,435.9202604450297
1999-01-14,437.4735511288681
1999-01-15,442.9935861797277
1999-01-18,448.93735451911147
1999-01-19,448.32261659470527
1999-01-20,452.5555413436525
1999-01-21,450.61242266590284
1999-01-22,441.55952751760134
1999-01-25,442.11857288870044
1999-01-26,442.9164441260764
1999-01-27,444.49270577789736
1999-01-28,447.36903327168153
1999-01-29,452.4305882657932
1999-02-01,458.83748940251826
1999-02-02,458.7635604394237
1999-02-03,455.072765429525
1999-02-04,456.9966399808177
1999-02-05,455.9862984392859
1999-02-08,455.46540752494593
1999-02-09,447.4937665323506
1999-02-10,444.0771210942129
1999-02-11,448.94348012327896
1999-02-12,452.3255737570087
1999-02-15,454.0818366268331
1999-02-16,454.6852655998437
1999-02-17,449.37736431460087
1999-02-18,448.8689426101952
1999-02-19,451.66713094423744
1999-02-22,456.41384010348463
1999-02-23,460.07531698340665
1999-02-24,461.6899137140779
1999-02-25,458.2975761982472
1999-02-26,461.02460124283175
1999-03-01,457.31633288269
1999-03-02,456.14566422998274
1999-03-03,454.9692842984746
1999-03-04,458.0626812109651
1999-03-05,468.61381621909095
1999-03-08,467.3342973851003
1999-03-09,469.63898542187127
1999-03-10,473.01016722685887
1999-03-11,481.6935762746164
1999-03-12,481.4178385321615
1999-03-15,482.5263429667725
1999-03-16,487.19534753938143
1999-03-17,485.0147055174723
1999-03-18,483.0177845054421
1999-03-19,492.2472191254405
1999-03-22,491.4355817652298
1999-03-23,486.8853267119497
1999-03-24,481.4521519496614
1999-03-25,488.32633643851864
1999-03-26,489.6174010583332
1999-03-29,493.97548795151516
1999-03-30,490.4394993000144
1999-03-31,493.3545606156832
1999-04-01,494.3656491218255
1999-04-02,494.2125533217807
1999-04-05,495.2945267653305
1999-04-06,499.62786226836903
1999-04-07,502.6366256913371
1999-04-08,505.9980468415069
1999-04-09,509.4431873391418
1999-04-12,506.0081255491444
1999-04-13,511.40333035035474
1999-04-14,514.0160783258415
1999-04-15,517.0862570237778
1999-04-16,522.8066357480092
1999-04-19,529.823553477272
1999-04-20,520.0803434911588
1999-04-21,518.5401991944321
1999-04-22,522.6962630768655
1999-04-23,524.2649727591146
1999-04-26,528.8403432343471
1999-04-27,532.9150083503139
1999-04-28,533.8046841707113
1999-04-29,534.5852787057992
1999-04-30,536.5318349916713
1999-05-03,537.6990312257423
1999-05-04,537.4570522498939
1999-05-05,530.2713324064675
1999-05-06,533.1970967779362
1999-05-07,529.6883712136414
1999-05-10,529.2844605730272
1999-05-11,529.6387087989006
1999-05-12,529.1158983964414
1999-05-13,531.2893722599474
1999-05-14,522.5335149211138
1999-05-17,513.7434018624317
1999-05-18,516.0347543765342
1999-05-19,515.7625546464255
1999-05-20,518.8048661819546
1999-05-21,520.8161150722469
1999-05-24,520.5956466891744
