Date,PACIFIC ex JAPAN IMI VALUE
1998-12-31,305.61592224455603
1999-01-01,305.6169354889632
1999-01-04,304.29574328512285
1999-01-05,305.1384288158712
1999-01-06,314.94138371859464
1999-01-07,324.64849009798155
1999-01-08,327.0314822209921
1999-01-11,330.41046494823695
1999-01-12,330.4473638034342
1999-01-13,316.8419828424214
1999-01-14,312.91763956658076
1999-01-15,317.8505983171705
1999-01-18,321.8054639329679
1999-01-19,322.8563876232841
1999-01-20,324.5757188928836
1999-01-21,318.3388932142424
1999-01-22,311.9995726530964
1999-01-25,305.19387112057046
1999-01-26,305.21106743785066
1999-01-27,310.63272020062425
1999-01-28,309.1613655132568
1999-01-29,312.5320646060308
1999-02-01,316.56742537958604
1999-02-02,315.45120130511333
1999-02-03,315.85500035135226
1999-02-04,319.519781023238
1999-02-05,318.38240970936164
1999-02-08,317.4196003841769
1999-02-09,313.8803797290801
1999-02-10,308.03133757520845
1999-02-11,313.2187493290565
1999-02-12,316.594943341311
1999-02-15,316.91525039117545
1999-02-16,314.83049192713355
1999-02-17,313.34790040969733
1999-02-18,312.884630641616
1999-02-19,318.55641789885175
1999-02-22,322.26136033114847
1999-02-23,325.31483022945247
1999-02-24,326.71382543941365
1999-02-25,320.3584348591923
1999-02-26,321.3741460530975
1999-03-01,324.43731851817756
1999-03-02,323.0991955210644
1999-03-03,324.0051779208552
1999-03-04,326.4308584557519
1999-03-05,331.16566806583734
1999-03-08,334.72227451020035
1999-03-09,337.08973335617407
1999-03-10,338.18472446738974
1999-03-11,341.67043622747263
1999-03-12,341.54393345644496
1999-03-15,343.1562451455864
1999-03-16,342.44173327944145
1999-03-17,338.6713226754399
1999-03-18,337.8833859120733
1999-03-19,344.31418863908374
1999-03-22,348.3512525316318
1999-03-23,350.6653712586148
1999-03-24,346.71863409135915
1999-03-25,349.9995423970889
1999-03-26,354.45604470511523
1999-03-29,352.06670981490345
1999-03-30,352.4972551997722
1999-03-31,351.13552402936944
1999-04-01,354.1441359840055
1999-04-02,353.8613316861356
1999-04-05,356.89355184675236
1999-04-06,356.96197994288417
1999-04-07,359.2754039896673
1999-04-08,359.3517156665319
1999-04-09,366.6797122586228
1999-04-12,365.25750357923187
1999-04-13,372.77358649272526
1999-04-14,375.91904017843297
1999-04-15,382.0135719020296
1999-04-16,396.53134344209167
1999-04-19,408.1623239513979
1999-04-20,397.26892869840543
1999-04-21,400.9375626172178
1999-04-22,413.08337804835816
1999-04-23,411.46501294653297
1999-04-26,415.0137951534273
1999-04-27,418.4642323587093
1999-04-28,414.1093069513113
1999-04-29,416.8863171129858
1999-04-30,422.9745548230005
1999-05-03,423.28963773530484
1999-05-04,426.99852402996726
1999-05-05,424.12755475265527
1999-05-06,422.8801719291036
1999-05-07,409.0189794976481
1999-05-10,408.5196949498318
1999-05-11,410.56145200782623
1999-05-12,413.33617613976037
1999-05-13,416.40740151352867
1999-05-14,412.69807692376054
1999-05-17,406.372326779584
1999-05-18,409.6675323471695
1999-05-19,403.49478373575374
1999-05-20,402.80034582202944
1999-05-21,405.32972336713283
1999-05-24,404.13852725743453
1999-05-25,397.0132829393929
1999-05-26,399.64225288810275
1999-05-27,398.88299926336674
1999-05-28,396.66972041441335
1999-05-31,397.1073135310315
1999-06-01,397.6803500306034
1999-06-02,403.1125385052489
1999-06-03,405.2163412327945
1999-06-04,408.01072630429167
1999-06-07,415.6533029781619
1999-06-08,413.63749465857825
1999-06-09,415.28649650261093
1999-06-10,412.65279010531896
1999-06-11,413.7985871759045
1999-06-14,415.5935388660842
1999-06-15,411.68327847527064
1999-06-16,419.15736909612264
1999-06-17,423.896029783644
1999-06-18,420.61643173389905
1999-06-21,428.2988420962894
1999-06-22,432.3227573672239
1999-06-23,434.20375007316727
1999-06-24,429.1043204481633
1999-06-25,424.8061847200731
1999-06-28,430.3530459072829
1999-06-29,430.17524415779377
1999-06-30,428.3034729292852
1999-07-01,437.21533444882874
1999-07-02,444.71514751146157
1999-07-05,448.0244012614767
1999-07-06,444.60396143550355
1999-07-07,439.5957843702257
1999-07-08,442.43747522171856
1999-07-09,440.13143499814703
1999-07-12,441.9524265950033
1999-07-13,438.7793348218892
1999-07-14,433.3379442074408
1999-07-15,435.0119758021029
1999-07-16,431.00512554921835
1999-07-19,430.8149747678409
1999-07-20,423.9771236457886
1999-07-21,417.3705079463031
1999-07-22,415.1932706080995
1999-07-23,410.9567695841257
1999-07-26,398.79327812523553
1999-07-27,401.8808110200395
1999-07-28,406.49386352799473
1999-07-29,404.43524339687616
1999-07-30,403.62937545524716
1999-08-02,404.2696592109374
1999-08-03,408.77470394975995
1999-08-04,404.65867865077274
1999-08-05,399.77696847036674
1999-08-06,398.79177025213687
1999-08-09,398.28209588704874
1999-08-10,389.94727318300374
1999-08-11,386.1657408163592
1999-08-12,390.91501151383807
1999-08-13,392.5796000623083
1999-08-16,399.5560400828792
1999-08-17,396.49450230283685
1999-08-18,402.4102132642334
1999-08-19,400.80345755873475
1999-08-20,402.2063465216862
1999-08-23,407.95041456487206
1999-08-24,410.02101221558587
1999-08-25,409.31229975149574
1999-08-26,412.6150478715565
1999-08-27,408.75045631111044
1999-08-30,409.5984777868644
1999-08-31,400.95062548161314
1999-09-01,403.9109512851722
1999-09-02,399.3274721561472
1999-09-03,399.0628892390712
1999-09-06,403.0123624138303
1999-09-07,403.36340771831766
1999-09-08,402.1345705761378
1999-09-09,412.79683482251664
1999-09-10,415.14335338802596
1999-09-13,419.15591442604375
1999-09-14,416.8843417956814
1999-09-15,409.57926419607116
1999-09-16,405.82467498724316
1999-09-17,409.2333221339512
1999-09-20,405.5420881793927
1999-09-21,403.58877180145066
1999-09-22,399.78775088398686
1999-09-23,404.22210197038885
1999-09-24,398.6947833703364
1999-09-27,398.0522530749994
1999-09-28,397.1641526491228
1999-09-29,392.0550517887809
1999-09-30,389.4428477920425
1999-10-01,391.94810052054885
