Date,WORLD ex EUROPE IMI VALUE
1998-12-31,557.4080495094111
1999-01-01,557.408130169189
1999-01-04,552.8074907723438
1999-01-05,556.7450954179968
1999-01-06,570.0920002579945
1999-01-07,575.3375679569181
1999-01-08,584.2622682220181
1999-01-11,582.7190313823787
1999-01-12,572.4748587862343
1999-01-13,558.7973714897347
1999-01-14,551.4297749914967
1999-01-15,564.9853513304976
1999-01-18,564.8811970490291
1999-01-19,565.7427932145932
1999-01-20,568.5664965743364
1999-01-21,563.2597192136162
1999-01-22,559.7452327310807
1999-01-25,561.4363096979007
1999-01-26,563.3422163575499
1999-01-27,560.1828132582843
1999-01-28,568.0733246259126
1999-01-29,575.530996353725
1999-02-01,576.8570114728261
1999-02-02,572.1988616203677
1999-02-03,575.4136407456862
1999-02-04,572.9660224193406
1999-02-05,570.8902324565638
1999-02-08,572.6188819334146
1999-02-09,563.263888499226
1999-02-10,561.20712888825
1999-02-11,568.4648165617247
1999-02-12,563.7886612425327
1999-02-15,565.4381714284449
1999-02-16,568.9119143066944
1999-02-17,561.5711860255484
1999-02-18,565.7139885616809
1999-02-19,571.8182904607833
1999-02-22,586.3216271102735
1999-02-23,586.541808127891
1999-02-24,582.887457023153
1999-02-25,576.9414192087222
1999-02-26,580.8148677613889
1999-03-01,582.1449299277244
1999-03-02,579.2630817776602
1999-03-03,578.9613082677155
1999-03-04,588.223775071398
1999-03-05,600.2390069962498
1999-03-08,598.5348661553148
1999-03-09,598.6943113261304
1999-03-10,603.2559567528125
1999-03-11,614.2351341857941
1999-03-12,608.4058148457532
1999-03-15,613.0386908860357
1999-03-16,615.3683190207637
1999-03-17,609.0994316406875
1999-03-18,614.4630180887965
1999-03-19,616.1293497384003
1999-03-22,616.1387250984426
1999-03-23,605.4570752659955
1999-03-24,603.4957601425722
1999-03-25,613.2515425947005
1999-03-26,618.6650124670689
1999-03-29,625.6347882189494
1999-03-30,616.3719290630862
1999-03-31,613.766986027888
1999-04-01,615.7946585392875
1999-04-02,616.3723519071943
1999-04-05,625.8411489209516
1999-04-06,624.0860772312029
1999-04-07,627.4779697560552
1999-04-08,633.4620697100114
1999-04-09,638.0473159841814
1999-04-12,639.7114026458732
1999-04-13,643.9412786033545
1999-04-14,644.4165327962253
1999-04-15,653.1051606548875
1999-04-16,661.995997427607
1999-04-19,669.0273807617795
1999-04-20,666.2974433916211
1999-04-21,672.786172849198
1999-04-22,675.943542047457
1999-04-23,673.6516623049519
1999-04-26,674.4396934887342
1999-04-27,676.5913914356021
1999-04-28,681.8906679668808
1999-04-29,687.5410156705823
1999-04-30,682.9403712209225
1999-05-03,693.023440275032
1999-05-04,684.2813554017165
1999-05-05,682.8115336389703
1999-05-06,677.547728361885
1999-05-07,680.229182280418
1999-05-10,678.5902868724303
1999-05-11,684.7861760093352
1999-05-12,689.1795342470364
1999-05-13,694.4712751561896
1999-05-14,678.1303960439488
1999-05-17,674.0465141892264
1999-05-18,671.5031285860675
1999-05-19,672.651967111569
1999-05-20,675.1032895645584
1999-05-21,680.3960389105652
1999-05-24,672.471985912285
1999-05-25,663.2282802493621
1999-05-26,677.5305184649386
1999-05-27,669.0241574142598
1999-05-28,675.4202811321106
1999-05-31,676.9474726687707
1999-06-01,675.7654952827919
1999-06-02,683.3048742729375
1999-06-03,683.8491738986381
1999-06-04,692.0053819184828
1999-06-07,699.66188965659
1999-06-08,688.8812849869098
1999-06-09,688.642191899362
1999-06-10,683.5594620142424
1999-06-11,682.7213435348167
1999-06-14,686.394769266451
1999-06-15,689.5498209297484
1999-06-16,702.5352727640881
1999-06-17,706.6570072524432
1999-06-18,701.9088858441195
1999-06-21,705.7477253937025
1999-06-22,703.86337635433
1999-06-23,699.2514307660841
1999-06-24,689.3945145437684
1999-06-25,682.293357121578
1999-06-28,694.1302019653103
1999-06-29,702.865902874049
1999-06-30,709.8424609799112
1999-07-01,719.0961514576535
1999-07-02,724.4170808619672
1999-07-05,725.0105120007855
1999-07-06,723.0053404735361
1999-07-07,724.0144487147713
1999-07-08,724.4993940764855
1999-07-09,726.0328789182782
1999-07-12,729.8611477968889
1999-07-13,724.9994844534073
1999-07-14,724.9697131493631
1999-07-15,727.3662427014408
1999-07-16,730.4896152109908
1999-07-19,733.712103064438
1999-07-20,710.5182019022732
1999-07-21,704.6385186888391
