Date,ZHONG HUA IMI WITH PARTIAL A SHARES
2008-11-25,1000.0
2008-11-26,1031.5468187095466
2008-11-28,1074.4288839401022
2008-12-31,1171.6111797307597
2009-01-30,1112.5701676012004
2009-02-27,1075.6450555360288
2009-03-31,1191.4196707146045
2009-04-30,1349.8101474993682
2009-05-29,1600.164976797456
2009-06-30,1641.9582386822867
2009-07-31,1843.0051653868454
2009-08-31,1706.1224762610375
2009-09-30,1802.8771454972712
2009-10-30,1904.5868425863298
2009-11-30,1945.1390763896304
2009-12-31,1971.1231315592956
2010-01-29,1819.3430203906491
2010-02-26,1872.9049802982388
2010-03-31,1980.2235235148955
2010-04-30,1961.4687652159757
2010-05-31,1835.2027840753105
2010-06-30,1860.7439055357047
2010-07-30,1957.9469147244665
2010-08-31,1929.7871200416
2010-09-30,2136.5927825626645
2010-10-29,2216.2935939838267
2010-11-30,2202.2376803760794
2010-12-31,2200.1711128384404
2011-01-31,2198.58142884722
2011-02-28,2146.5735837535053
2011-03-31,2226.8500938009693
2011-04-29,2272.2087495209134
2011-05-31,2271.1243065709405
2011-06-30,2184.79577604534
2011-07-29,2183.010308573702
2011-08-31,1993.9801161264033
2011-09-30,1654.548502103604
2011-10-31,1888.3518028725853
2011-11-30,1738.6504176093508
2011-12-30,1765.89636815464
2012-01-31,1938.0045435248956
2012-02-29,2088.8435029799116
2012-03-30,1959.2527594897672
2012-04-30,2008.6002596801304
2012-05-31,1809.8937188536156
2012-06-29,1848.5935742430397
2012-07-31,1875.8966867350641
2012-08-31,1846.7644947809245
2012-09-28,1971.42327292002
2012-10-31,2054.070627744538
2012-11-30,2101.18644583646
2012-12-31,2188.6997997664234
2013-01-31,2299.114353635008
2013-02-28,2245.053248852559
2013-03-29,2168.177244497213
2013-04-30,2202.0970199675266
2013-05-31,2197.923597579528
2013-06-28,2044.4536501856128
2013-07-31,2120.8730993387308
2013-08-30,2154.1039874476633
2013-09-30,2267.5213606665898
2013-10-31,2321.7553279803974
2013-11-29,2405.3251983010578
2013-12-31,2359.310282945115
2014-01-01,2359.310282945115
2014-01-02,2361.596839406917
2014-01-03,2318.0966648807635
2014-01-06,2297.5055809820833
2014-01-07,2295.8262185590293
2014-01-08,2318.39846612254
2014-01-09,2296.8538787527327
2014-01-10,2298.6816673085605
2014-01-13,2302.024124617914
2014-01-14,2294.423411383596
2014-01-15,2304.8340118612055
2014-01-16,2308.509308991633
2014-01-17,2320.5999027646517
2014-01-20,2297.6244990395476
2014-01-21,2309.2818597673972
2014-01-22,2318.511516978057
2014-01-23,2288.9256027223373
2014-01-24,2257.617904245491
2014-01-27,2209.6125702805643
2014-01-28,2211.9135693826174
2014-01-29,2233.486740894861
