Date,JAPAN IMI VALUE
1994-05-31,713.3889058820353
1994-06-30,757.5907991777865
1994-07-29,730.5587085621383
1994-08-31,730.707777723563
1994-09-30,712.4446361523425
1994-10-31,730.0577961215777
1994-11-30,687.0702752282992
1994-12-30,697.4508421805509
1995-01-31,656.7321625775459
1995-02-28,621.0922248546638
1995-03-31,682.5620198315019
1995-04-28,706.9012067295336
1995-05-31,661.2512479170873
1995-06-30,636.3161706104028
1995-07-31,679.018381440444
1995-08-31,657.6287582660611
1995-09-29,659.7894441412143
1995-10-31,627.7544600224794
1995-11-30,657.1164359892581
1995-12-29,688.482977491576
1996-01-31,684.4513465812782
1996-02-29,676.9595236234061
1996-03-29,695.7854103156017
1996-04-30,746.6140452928778
1996-05-31,710.1022608794182
1996-06-28,717.5974357542175
1996-07-31,687.9133422271633
1996-08-30,658.5510724714558
1996-09-30,675.0447554999475
1996-10-31,631.9614895711696
1996-11-29,640.0382738291148
1996-12-31,595.0659172529478
1997-01-01,595.0659172529478
1997-01-02,596.994693077053
1997-01-03,594.4001808567093
1997-01-06,601.1756631103228
1997-01-07,593.5808130484861
1997-01-08,583.2421526629093
1997-01-09,566.5702391541649
1997-01-10,546.2387916889872
1997-01-13,559.9416883466993
1997-01-14,558.7900470952872
1997-01-15,557.5020177896507
1997-01-16,563.3227811599621
1997-01-17,558.6703377099959
1997-01-20,544.7954875912941
1997-01-21,541.9571777685795
1997-01-22,547.7798155581461
1997-01-23,542.7826699420926
1997-01-24,539.7919551402027
1997-01-27,529.2319994781897
1997-01-28,528.931639187135
1997-01-29,531.65674264321
1997-01-30,525.804210944147
1997-01-31,537.3662225911742
1997-02-03,533.8355430840621
1997-02-04,535.591224488354
1997-02-05,523.1793676456576
1997-02-06,520.1289959850308
1997-02-07,512.6533195280502
1997-02-10,524.0265106982032
1997-02-11,522.9781038563766
1997-02-12,524.0181440283552
1997-02-13,524.388953691301
1997-02-14,529.3429320394987
1997-02-17,529.949709403261
1997-02-18,526.5273147766467
1997-02-19,526.37543508551
1997-02-20,539.9857586675163
1997-02-21,542.2017065633192
1997-02-24,544.8127486580579
1997-02-25,546.5345218411024
1997-02-26,543.5819858016192
1997-02-27,546.9605581856619
1997-02-28,541.0649700895707
1997-03-03,536.9420872963443
1997-03-04,534.682555244496
1997-03-05,530.0249909573869
1997-03-06,523.5287263247549
1997-03-07,524.5693361399516
1997-03-10,525.1890726371101
