Date,UNITED KINGDOM IMI VALUE
1994-05-31,185.44526908848965
1994-06-30,186.4170002827594
1994-07-29,196.8114986229167
1994-08-31,207.27591060599454
1994-09-30,199.85241328718467
1994-10-31,212.21703009174468
1994-11-30,202.6767430643474
1994-12-30,203.62581376588804
1995-01-31,202.15047821055308
1995-02-28,202.58913896799132
1995-03-31,217.89905581681478
1995-04-28,222.04417910855238
1995-05-31,227.89522990421614
1995-06-30,225.0748388224266
1995-07-31,238.64590770681886
1995-08-31,232.78158891650963
1995-09-29,240.28776371143073
1995-10-31,238.63302199450388
1995-11-30,239.53187688625272
1995-12-29,248.31039691625125
1996-01-31,246.97733202751223
1996-02-29,250.21141153371218
1996-03-29,251.31449580999296
1996-04-30,256.3219352406303
1996-05-31,262.2217981619138
1996-06-28,258.8396026860835
1996-07-31,259.51327924007336
1996-08-30,272.8558510601545
1996-09-30,278.17025383458474
1996-10-31,291.7494978617499
1996-11-29,307.34701644876554
1996-12-31,321.9504423426192
1997-01-01,321.9476924316549
1997-01-02,314.0216111407968
1997-01-03,316.37170114048854
1997-01-06,317.0047392965854
1997-01-07,317.9639585836787
1997-01-08,317.5080946442628
1997-01-09,318.635762867065
1997-01-10,315.2428843622299
1997-01-13,316.76586099554214
1997-01-14,320.6737586466259
1997-01-15,321.82109062415077
1997-01-16,324.119252785439
1997-01-17,323.3885693905454
1997-01-20,321.6476073529669
1997-01-21,321.7351475493816
1997-01-22,321.48951921849454
1997-01-23,319.4888037184072
1997-01-24,315.78382726671884
1997-01-27,313.75924866018846
1997-01-28,312.25907116180343
1997-01-29,311.98658924914196
1997-01-30,311.98132136012725
1997-01-31,312.4271370449589
1997-02-03,313.2959528766114
1997-02-04,315.02488170544495
1997-02-05,319.27359357990946
1997-02-06,318.1122062402692
1997-02-07,318.8013071607348
1997-02-10,320.5398551839367
1997-02-11,321.15904321742295
1997-02-12,319.3710596693957
1997-02-13,317.8645845211738
1997-02-14,317.9817635970824
1997-02-17,317.4711373231848
1997-02-18,314.07179288932537
1997-02-19,316.7874997903332
1997-02-20,317.0954337414217
1997-02-21,317.3436280891973
1997-02-24,321.04173986505754
1997-02-25,322.33618957785575
1997-02-26,321.3029304803232
1997-02-27,320.29450709392313
1997-02-28,319.5033496075109
1997-03-03,317.2885658919415
1997-03-04,319.99268438195793
1997-03-05,318.95244658942875
1997-03-06,322.1049587215794
1997-03-07,321.85110997412175
1997-03-10,322.4634962267665
1997-03-11,323.1312941607419
1997-03-12,319.73565505371806
1997-03-13,319.2592440688727
1997-03-14,321.37622514883503
1997-03-17,317.6072850901086
1997-03-18,317.0084995435468
1997-03-19,317.5676324937834
1997-03-20,312.1370642270567
1997-03-21,313.9832593061529
1997-03-24,313.31019738698103
1997-03-25,317.65099291205786
1997-03-26,321.0669371480809
1997-03-27,322.08973022118926
1997-03-28,322.9268446296033
1997-03-31,324.4608859210124
1997-04-01,320.68965989798676
1997-04-02,319.92118316026983
1997-04-03,318.37123028075126
1997-04-04,319.3546968158382
1997-04-07,319.73710131527486
1997-04-08,318.80212135088163
1997-04-09,320.2145052185439
1997-04-10,321.8222564510142
1997-04-11,320.0140960982988
1997-04-14,319.3300133861748
1997-04-15,322.0042741297646
1997-04-16,321.98797052214667
1997-04-17,322.9554088613504
1997-04-18,323.79437285989815
1997-04-21,325.8443915736895
1997-04-22,327.0809754337175
1997-04-23,327.11718886033066
1997-04-24,327.4106600405716
1997-04-25,325.31477323574853
1997-04-28,326.19989340289044
1997-04-29,330.4638002535573
1997-04-30,328.7251742837689
1997-05-01,329.4556609812351
1997-05-02,328.9575692385668
1997-05-05,329.52677032240564
1997-05-06,337.0567802527498
1997-05-07,337.98585425441746
1997-05-08,336.5366021428473
1997-05-09,339.7221606971564
1997-05-12,344.02476873251896
1997-05-13,346.32074592527397
1997-05-14,347.82160857704093
1997-05-15,346.9170324426364
1997-05-16,347.3504674634244
1997-05-19,345.6464952483205
1997-05-20,345.10349688890494
1997-05-21,347.7642427275198
1997-05-22,346.00300853138845
1997-05-23,346.73873148094356
1997-05-26,348.79928572005525
1997-05-27,347.77290620881894
1997-05-28,348.7354841397533
1997-05-29,347.98086228833967
1997-05-30,344.6571716682282
1997-06-02,341.09634983838276
1997-06-03,341.4024461325631
1997-06-04,339.858622469878
1997-06-05,340.86249623635484
1997-06-06,343.68904812287246
1997-06-09,347.7199345792857
1997-06-10,350.9817068756315
1997-06-11,350.3161591916986
1997-06-12,352.3066495187745
1997-06-13,355.11193794540446
1997-06-16,353.84341030074927
1997-06-17,349.79714841405104
1997-06-18,348.4183398888662
1997-06-19,349.3999226908102
1997-06-20,347.59975257665445
