Date,ITALY IMI VALUE
1994-05-31,222.79204428382752
1994-06-30,211.14150788943593
1994-07-29,213.73054403640586
1994-08-31,205.73127617131897
1994-09-30,205.0173116487673
1994-10-31,194.52786434140543
1994-11-30,184.13387810003633
1994-12-30,185.10246827152034
1995-01-31,199.36920600989293
1995-02-28,182.42270614546598
1995-03-31,169.39202727117373
1995-04-28,183.32651755937812
1995-05-31,184.64442735247619
1995-06-30,175.87739227584345
1995-07-31,188.97369978546703
1995-08-31,183.59581530891006
1995-09-29,178.12498153784958
1995-10-31,167.38062836291414
1995-11-30,156.45312668050238
1995-12-29,169.57126857461705
1996-01-31,177.3088066701154
1996-02-29,176.9699001652041
1996-03-29,168.7474166590524
1996-04-30,189.30115624506973
1996-05-31,193.38969389050254
1996-06-28,189.66334957113676
1996-07-31,176.4316410117227
1996-08-30,175.78498741940308
1996-09-30,178.2944041758872
1996-10-31,170.69096900649777
1996-11-29,184.83393018153265
1996-12-31,186.9747691086716
1997-01-01,186.9747691086716
1997-01-02,185.29748359532886
1997-01-03,184.30911775761277
1997-01-06,183.53603817951276
1997-01-07,183.13447363421952
1997-01-08,184.2595752574115
1997-01-09,190.4315665395068
1997-01-10,195.5176051882225
1997-01-13,200.0421847045516
1997-01-14,206.8261224309448
1997-01-15,205.01362101372587
1997-01-16,207.5719055534607
1997-01-17,208.43174468502136
1997-01-20,208.44794271382432
1997-01-21,206.1276309454172
1997-01-22,208.03865417133272
1997-01-23,211.59533559562527
1997-01-24,211.2388801482219
1997-01-27,209.38232323185645
1997-01-28,207.79275713043288
1997-01-29,204.4076172220585
1997-01-30,205.39733781262277
1997-01-31,207.3935933111253
1997-02-03,204.81393232050092
1997-02-04,207.50005125892824
1997-02-05,210.82788899913956
1997-02-06,209.28451523615183
1997-02-07,211.43774771863343
1997-02-10,212.31976014146989
1997-02-11,208.57740992533937
1997-02-12,205.5310674030166
1997-02-13,203.89933264683577
1997-02-14,203.38692372025113
1997-02-17,198.94437524070955
1997-02-18,196.91417406817902
1997-02-19,194.64676148648934
1997-02-20,199.77997177207544
1997-02-21,200.95692477608472
1997-02-24,200.9894403536137
1997-02-25,200.6895862025454
1997-02-26,195.19248638122596
1997-02-27,193.18754778248646
1997-02-28,190.76148248396757
1997-03-03,192.53534340316392
1997-03-04,194.33901887390238
1997-03-05,192.84893118893478
1997-03-06,194.48655843401843
1997-03-07,196.65137222444608
1997-03-10,196.55002228607586
1997-03-11,195.72441117577048
1997-03-12,192.6447582572901
1997-03-13,193.48144084217074
1997-03-14,194.538586878804
1997-03-17,190.29959603337764
1997-03-18,187.70259442289756
1997-03-19,189.09961449060194
1997-03-20,188.47581215334367
1997-03-21,190.0740996495764
1997-03-24,188.03575438078423
1997-03-25,189.81710579507563
1997-03-26,192.19211776641407
1997-03-27,194.46329073619918
1997-03-28,192.51108474621762
1997-03-31,193.17199069888542
1997-04-01,190.28779215491468
1997-04-02,191.58788395582434
1997-04-03,191.97266846495032
1997-04-04,192.83193734917282
1997-04-07,193.30723811430053
1997-04-08,192.62579108354788
1997-04-09,194.2335005546843
1997-04-10,192.7616269324072
1997-04-11,193.41163557056913
1997-04-14,194.5179829988059
1997-04-15,197.2834184707832
1997-04-16,196.64013977005737
1997-04-17,196.01488210709672
1997-04-18,195.47703242858617
1997-04-21,196.34337178970551
1997-04-22,193.5422684910859
1997-04-23,194.48805698857163
1997-04-24,191.85487476440372
1997-04-25,190.78637538905915
1997-04-28,189.63315169121893
1997-04-29,191.25593725002597
1997-04-30,192.74941217130865
1997-05-01,193.81649972731003
1997-05-02,193.7864376153424
1997-05-05,193.41154741684923
1997-05-06,195.8142416045401
1997-05-07,195.3322867357691
1997-05-08,195.68576862895856
1997-05-09,197.14362408427783
1997-05-12,196.51789643243578
1997-05-13,197.60058285759501
1997-05-14,199.40880371356096
1997-05-15,198.8248728896415
1997-05-16,200.48074454882095
1997-05-19,200.0453052026993
1997-05-20,201.0923099190296
1997-05-21,202.8251824482627
1997-05-22,201.18610076164603
1997-05-23,201.11184431326885
1997-05-26,198.72978025914725
1997-05-27,199.1149585221465
1997-05-28,197.76688112281627
1997-05-29,197.78451128543233
1997-05-30,194.74285237002667
1997-06-02,195.06078790354857
1997-06-03,196.00076731854793
1997-06-04,196.40323316273094
1997-06-05,196.43448642028483
1997-06-06,196.1536065371651
1997-06-09,194.14311517517754
1997-06-10,192.20385667143626
1997-06-11,193.97828719448145
1997-06-12,196.66662134382804
1997-06-13,200.4412523586686
1997-06-16,201.7977067689889
1997-06-17,200.27496298055144
1997-06-18,203.90803221985104
1997-06-19,206.7835962533194
1997-06-20,208.93017304738962
1997-06-23,212.66831852861068
1997-06-24,211.69320244124702
1997-06-25,213.81567113371358
1997-06-26,211.39294166537803
1997-06-27,209.78528823550604
1997-06-30,206.86285652255413
1997-07-01,211.4846470465041
1997-07-02,212.3324478307726
1997-07-03,214.2009511227788
1997-07-04,213.1488323765033
1997-07-07,217.18312966784188
1997-07-08,215.65275777231938
1997-07-09,216.99149194408994
1997-07-10,216.85812781781704
1997-07-11,217.40687280382625
1997-07-14,217.4031791217969
1997-07-15,216.9631519378403
1997-07-16,220.79160403766542
1997-07-17,226.71392319429202
1997-07-18,224.6849741128538
1997-07-21,224.3225601110726
1997-07-22,227.20044667823896
1997-07-23,228.29674283571612
1997-07-24,225.7436683265262
1997-07-25,224.7049400206554
1997-07-28,223.07542553787286
1997-07-29,218.50181668298373
1997-07-30,219.25277924707572
1997-07-31,218.2528605396816
1997-08-01,214.5840183296358
1997-08-04,210.82552349412134
1997-08-05,207.68831374068043
1997-08-06,211.04076454017212
1997-08-07,214.96663674301033
1997-08-08,214.69573482730578
1997-08-11,211.881266750293
1997-08-12,213.28053731441395
1997-08-13,214.89937317274953
1997-08-14,213.77299562507608
1997-08-15,217.29074066728327
1997-08-18,212.15108720245746
1997-08-19,212.6330108235096
1997-08-20,213.12708760551538
1997-08-21,213.61477741806044
1997-08-22,213.63311333425827
1997-08-25,214.30658155338782
1997-08-26,215.20503036271293
1997-08-27,214.59933884007998
1997-08-28,214.33725138205457
1997-08-29,214.87140993207126
1997-09-01,216.35535097348048
1997-09-02,218.54190184117516
1997-09-03,219.68921017081917
1997-09-04,220.9827753857024
1997-09-05,223.17196788960422
1997-09-08,222.82610584378685
1997-09-09,221.1414272387182
1997-09-10,221.35768050318734
1997-09-11,220.86390196849655
1997-09-12,223.57114339954822
1997-09-15,229.51363313376496
1997-09-16,229.66977037618616
1997-09-17,229.38054558005254
1997-09-18,231.1976702400362
1997-09-19,232.8017800580961
1997-09-22,238.247592433658
1997-09-23,238.8234531021684
1997-09-24,243.1539935679174
1997-09-25,244.98502491942267
1997-09-26,247.95314740511822
1997-09-29,244.4614841996625
1997-09-30,244.99528067063787
1997-10-01,235.42598179021823
1997-10-02,236.57415842478494
1997-10-03,241.47646074267706
1997-10-06,238.64629050432055
1997-10-07,238.951161755821
1997-10-08,240.124375497355
1997-10-09,235.3468566561149
1997-10-10,235.15616212750675
1997-10-13,243.46186566210707
1997-10-14,248.64402574641832
1997-10-15,251.310034038985
1997-10-16,252.51905188737962
1997-10-17,245.34880861051556
1997-10-20,245.9064831750653
1997-10-21,248.27911459568202
1997-10-22,249.8315837343551
1997-10-23,246.29541490488648
1997-10-24,246.5639410916724
1997-10-27,241.15224358828445
1997-10-28,229.87717304288154
1997-10-29,239.023429853372
1997-10-30,236.17736462363337
1997-10-31,238.64228332114035
1997-11-03,241.20665851645583
1997-11-04,241.75707270582333
1997-11-05,242.67182472965686
1997-11-06,242.47751560163272
1997-11-07,239.61143238514987
1997-11-10,238.47174280903437
1997-11-11,239.2579795540403
1997-11-12,234.17628078618324
1997-11-13,235.44697457430075
1997-11-14,234.73453370604824
1997-11-17,238.86045083544468
1997-11-18,239.43943013992907
1997-11-19,238.1166394438848
1997-11-20,241.11285286288035
1997-11-21,239.6971335877896
1997-11-24,236.75732536771528
1997-11-25,236.8754297582358
1997-11-26,238.1978931475972
1997-11-27,236.89871905504893
1997-11-28,237.7239252024142
1997-12-01,240.56055277769116
1997-12-02,241.34552957903483
1997-12-03,241.6884928031725
1997-12-04,243.68667424541647
1997-12-05,243.06033778973006
1997-12-08,242.3662564687622
1997-12-09,245.0696231664853
1997-12-10,246.0112763177009
1997-12-11,244.89589294447438
1997-12-12,247.1135137814503
1997-12-15,249.53189056249388
1997-12-16,253.26374803578656
1997-12-17,255.86070450414206
1997-12-18,254.84511883414459
1997-12-19,251.68176007615645
1997-12-22,253.03353394310685
1997-12-23,254.8198303021339
1997-12-24,254.62218205685502
1997-12-25,254.62218205685502
1997-12-26,254.9151037503343
1997-12-29,261.459315978743
1997-12-30,263.35383064296764
1997-12-31,263.09696671627955
1998-01-01,263.09696671627955
1998-01-02,268.70587963379904
1998-01-05,276.2134812783525
1998-01-06,275.45759841651454
1998-01-07,279.9783148625813
1998-01-08,276.6359744803406
1998-01-09,276.8920700052453
1998-01-12,275.7506459971647
1998-01-13,281.3262722342032
1998-01-14,284.8940864913983
1998-01-15,284.4751065506048
1998-01-16,292.24455290257873
1998-01-19,289.34404291271005
1998-01-20,291.5211014177389
1998-01-21,288.85418353205995
1998-01-22,294.94321925234516
1998-01-23,299.10934463309366
1998-01-26,298.91496188092765
1998-01-27,302.09050357991356
1998-01-28,303.6386336141669
1998-01-29,304.6308924286989
1998-01-30,307.023273149433
1998-02-02,312.5728757566195
1998-02-03,309.465551303278
1998-02-04,316.35409205532227
1998-02-05,325.8328265663636
1998-02-06,324.8428073761
1998-02-09,321.9385009074436
1998-02-10,328.6725678025327
1998-02-11,329.1509907534609
1998-02-12,325.07330887152614
1998-02-13,319.49449304836253
1998-02-16,320.3680217710262
1998-02-17,323.93809823182585
1998-02-18,324.3930856253119
1998-02-19,319.05993998659306
1998-02-20,314.94784805037096
1998-02-23,319.61680744097384
1998-02-24,320.84152840994454
1998-02-25,328.45558255690963
1998-02-26,330.32787325881424
1998-02-27,330.7275733778854
1998-03-02,338.2157482386116
1998-03-03,341.6031978162882
1998-03-04,340.4174745781107
1998-03-05,342.1979734687363
1998-03-06,349.5007757089229
1998-03-09,356.551072050435
1998-03-10,361.0538489145174
1998-03-11,359.9176705406099
1998-03-12,360.1663768840812
1998-03-13,367.12855151219617
1998-03-16,375.4682586561107
1998-03-17,375.8139544590821
1998-03-18,371.3728298613757
1998-03-19,373.09956448591566
1998-03-20,379.3384895039531
1998-03-23,383.1369557039322
1998-03-24,392.99192628836613
1998-03-25,397.7477319272463
1998-03-26,396.09691288255095
1998-03-27,396.6104806435189
1998-03-30,401.097245059949
1998-03-31,408.23503285086423
1998-04-01,423.107892552987
1998-04-02,425.9907581609592
1998-04-03,422.4775998941898
1998-04-06,429.6077994047957
1998-04-07,423.670977734851
1998-04-08,407.37001391939594
1998-04-09,406.94174265611656
1998-04-10,414.9820029651149
1998-04-13,413.77231084098
1998-04-14,425.2350687497841
1998-04-15,433.58585572245767
1998-04-16,426.9847730716629
1998-04-17,433.76292251271633
1998-04-20,438.54432591409346
1998-04-21,440.89598689437753
1998-04-22,436.4425824347232
1998-04-23,419.50440507407495
1998-04-24,407.76461401079376
1998-04-27,376.31908731557473
1998-04-28,390.7216281738311
1998-04-29,383.2098149475469
1998-04-30,395.6758655081626
1998-05-01,399.22437643046845
1998-05-04,416.52673644268157
1998-05-05,416.14563781501994
1998-05-06,417.8863778084905
1998-05-07,418.46312575386276
1998-05-08,425.8951367279195
1998-05-11,435.285535899126
1998-05-12,431.56264545529376
1998-05-13,429.4310078819104
1998-05-14,425.8830865088051
1998-05-15,423.34011731546576
1998-05-18,407.95206027826345
1998-05-19,417.15305735618114
1998-05-20,420.7208197063076
1998-05-21,429.30145215977905
1998-05-22,431.0282760248284
1998-05-25,435.4116419368273
1998-05-26,435.9814192146056
1998-05-27,422.6161323588024
1998-05-28,420.47048672371034
1998-05-29,418.5480797838463
1998-06-01,409.8954200492161
1998-06-02,415.49784633358456
1998-06-03,418.5504910685258
1998-06-04,418.0191537957357
1998-06-05,420.3735842487994
1998-06-08,421.64664570044647
1998-06-09,415.9854928969719
1998-06-10,415.18270510251375
1998-06-11,407.22334921532456
1998-06-12,399.1052969088865
1998-06-15,387.12121758192967
1998-06-16,392.6671444356164
1998-06-17,404.8220396220176
1998-06-18,399.8030732409268
1998-06-19,397.04796493614805
1998-06-22,386.6228209527067
1998-06-23,386.0041361028946
1998-06-24,385.1555493993828
1998-06-25,392.11488860638286
1998-06-26,385.7033704602824
1998-06-29,388.331339064876
1998-06-30,387.7948302789382
1998-07-01,394.8058604407172
1998-07-02,396.9437991755339
1998-07-03,402.5456477913517
1998-07-06,410.42981005092093
1998-07-07,413.71669472697016
1998-07-08,417.60032031181436
1998-07-09,413.6887353502467
1998-07-10,416.7506243493342
1998-07-13,422.52635010230154
1998-07-14,431.01987301921815
1998-07-15,428.5625928094178
1998-07-16,433.7039035521297
1998-07-17,442.0531004348412
1998-07-20,448.4763448120912
1998-07-21,441.51551783517203
1998-07-22,436.58899279825846
1998-07-23,431.7966397631302
1998-07-24,431.05633810362514
1998-07-27,427.20792592765304
1998-07-28,427.87875689855963
1998-07-29,422.20479119093966
1998-07-30,423.55190509762963
1998-07-31,421.06573550592617
1998-08-03,414.396938948821
1998-08-04,418.21113902039315
1998-08-05,412.82095558061275
1998-08-06,412.9510491615039
1998-08-07,417.57477499164423
1998-08-10,410.71812443551454
1998-08-11,396.87887839692803
1998-08-12,402.4193825507151
1998-08-13,398.73435902341055
1998-08-14,400.699388253712
1998-08-17,403.51574853368044
1998-08-18,410.0775059670991
1998-08-19,408.6953550515133
1998-08-20,407.27097886660556
1998-08-21,392.7780845316116
1998-08-24,390.91797110271114
1998-08-25,395.11064874120245
1998-08-26,381.1181217811927
1998-08-27,361.5714085002691
1998-08-28,358.0099198241893
1998-08-31,355.5589166060671
1998-09-01,346.9313032051305
1998-09-02,358.3431430500419
1998-09-03,351.51011087067945
1998-09-04,340.94404869582115
1998-09-07,347.36920193780355
1998-09-08,354.43624384047246
1998-09-09,348.1855735645093
1998-09-10,333.4404575551882
1998-09-11,323.4690895471698
1998-09-14,337.44141165320906
1998-09-15,342.9138476889875
1998-09-16,352.7907775000876
1998-09-17,338.27704355456507
1998-09-18,333.5416997954008
1998-09-21,329.347037886704
1998-09-22,333.2768143518802
1998-09-23,335.81024438404046
1998-09-24,333.9546366650606
1998-09-25,329.95260006761004
1998-09-28,334.95735920873176
1998-09-29,333.01743440742393
1998-09-30,330.49309892984655
1998-10-01,319.40881051733226
1998-10-02,314.0363893369254
1998-10-05,306.1116182905205
1998-10-06,316.9166024896107
1998-10-07,319.03251833265676
1998-10-08,311.704942408592
1998-10-09,307.1121487457865
1998-10-12,320.5846562536031
1998-10-13,322.2226304931088
1998-10-14,328.79141347384206
1998-10-15,334.1396240959886
1998-10-16,342.4436584227397
1998-10-19,345.92216449132246
1998-10-20,356.72409936250483
1998-10-21,347.60549733177015
1998-10-22,344.6002381521775
1998-10-23,346.1961221550745
1998-10-26,347.12263430115223
1998-10-27,351.2756293211728
1998-10-28,341.90262024680027
1998-10-29,342.99347257206597
1998-10-30,345.8720110669167
1998-11-02,353.7154863690983
1998-11-03,355.15472454948736
1998-11-04,362.04996436881476
1998-11-05,363.9519296980209
1998-11-06,368.7742054733064
1998-11-09,358.35298813018096
1998-11-10,352.95717472233935
1998-11-11,358.96010157250544
1998-11-12,353.3865855165722
1998-11-13,356.3056175634419
1998-11-16,366.9877208064676
1998-11-17,365.20619570852807
1998-11-18,361.91072598091876
1998-11-19,365.6262107901907
1998-11-20,368.05061382527225
1998-11-23,372.9985605483571
1998-11-24,372.1009748968908
1998-11-25,377.5237265048794
1998-11-26,387.8748973664116
1998-11-27,391.5335368292817
1998-11-30,386.5467133189663
1998-12-01,375.81297202859696
1998-12-02,376.67723375721783
1998-12-03,379.1668847680124
1998-12-04,379.9945802274509
1998-12-07,380.5778296581846
1998-12-08,381.79693001609974
1998-12-09,381.2645254747034
1998-12-10,383.18693063056554
1998-12-11,378.14449666368927
1998-12-14,378.8073289759216
1998-12-15,378.5710989538203
1998-12-16,377.35252681229025
1998-12-17,380.4279545795832
1998-12-18,377.2017913725894
1998-12-21,387.7425537403326
1998-12-22,389.16266772942356
1998-12-23,396.31619478652925
1998-12-24,394.91086044194253
1998-12-25,394.91086044194253
1998-12-28,405.5675253582593
1998-12-29,404.27689674281817
1998-12-30,407.87325351127794
1998-12-31,409.50778458307536
1999-01-01,409.51362428823444
1999-01-04,428.6941710352468
1999-01-05,428.4597395659509
1999-01-06,426.1508166260402
1999-01-07,424.1672997955288
1999-01-08,419.77712972018577
1999-01-11,412.85911246109674
1999-01-12,406.58990784644317
1999-01-13,393.38829724499453
1999-01-14,395.83479056850143
1999-01-15,399.1377284618404
1999-01-18,407.0735448235715
1999-01-19,401.2492400331418
1999-01-20,401.2053073471661
1999-01-21,392.57299071553837
1999-01-22,383.01030468850746
1999-01-25,382.61565190261183
1999-01-26,386.6977005978099
1999-01-27,389.1468198102601
1999-01-28,386.8989108052974
1999-01-29,387.5729873668116
1999-02-01,391.7201000167492
1999-02-02,390.0774406950038
1999-02-03,387.4716534192712
1999-02-04,388.0800057698787
1999-02-05,389.48135428251464
1999-02-08,386.9602158954517
1999-02-09,379.1879673303404
1999-02-10,380.6829029147995
1999-02-11,385.334491893869
1999-02-12,382.7390990169694
1999-02-15,386.7437539861524
1999-02-16,380.5476170073177
1999-02-17,378.2077340845065
1999-02-18,378.1407639028279
1999-02-19,376.3957512292036
1999-02-22,379.6061342617313
1999-02-23,380.013703212632
1999-02-24,375.59077831941494
1999-02-25,377.2485623839358
1999-02-26,378.89597220194764
1999-03-01,374.17627649304393
1999-03-02,376.6002767313736
1999-03-03,375.3493122711019
1999-03-04,378.610782174262
1999-03-05,387.16354602634516
1999-03-08,384.3972011791889
1999-03-09,387.53976648766945
1999-03-10,392.6167270975062
1999-03-11,393.5807780090925
1999-03-12,393.281638051746
1999-03-15,400.18003106180083
1999-03-16,399.64054417210093
1999-03-17,402.9229934552575
1999-03-18,406.1748557622047
1999-03-19,407.5616469379211
1999-03-22,407.28089749809396
1999-03-23,402.4480618257251
1999-03-24,394.4336911296169
1999-03-25,398.80261523102814
1999-03-26,388.8693688322371
1999-03-29,397.0405640167697
1999-03-30,397.53836086516554
1999-03-31,406.15381090308773
1999-04-01,406.1897205997443
1999-04-02,405.2880368998716
1999-04-05,402.82719181300234
1999-04-06,407.92683466214464
1999-04-07,411.7147158262633
1999-04-08,413.4887830631721
1999-04-09,407.4449709527863
1999-04-12,407.5321084290289
1999-04-13,406.8376858608262
1999-04-14,407.7862599578583
1999-04-15,402.16681026956445
1999-04-16,398.7275469087688
1999-04-19,402.23778870680434
1999-04-20,400.0303318196457
1999-04-21,401.29859493850415
1999-04-22,400.95747719153553
1999-04-23,400.9372826926131
1999-04-26,397.70447707415167
