Date,HONG KONG IMI VALUE
1994-05-31,339.64641161246766
1994-06-30,311.99781916698686
1994-07-29,336.4833027098313
1994-08-31,352.33812597211187
1994-09-30,343.17810188306083
1994-10-31,340.73480713645296
1994-11-30,299.2730841546314
1994-12-30,288.80971076866996
1995-01-31,258.5907928171283
1995-02-28,301.3478954183316
1995-03-31,303.56437792738024
1995-04-28,297.99764286238354
1995-05-31,340.3657153821397
1995-06-30,340.05308423439095
1995-07-31,356.18305251930656
1995-08-31,341.708004539725
1995-09-29,361.67453463577084
1995-10-31,364.4486525028568
1995-11-30,370.66500373802074
1995-12-29,378.8199445233242
1996-01-31,433.1087170356582
1996-02-29,429.19281760716984
1996-03-29,426.836811865788
1996-04-30,434.82898765511976
1996-05-31,445.8275738120484
1996-06-28,434.44451115924505
1996-07-31,415.48656144610237
1996-08-30,432.5263490933405
1996-09-30,459.1239106668816
1996-10-31,477.21820578967663
1996-11-29,522.0645143409806
1996-12-31,515.137069037635
1997-01-01,515.2122598221301
1997-01-02,508.39820888508785
1997-01-03,508.6872663145847
1997-01-06,516.6342216194413
1997-01-07,519.3647041605349
1997-01-08,520.5906085422971
1997-01-09,514.7673655552578
1997-01-10,515.9434828159312
1997-01-13,519.208684248736
1997-01-14,517.9585874005445
1997-01-15,529.3974449491433
1997-01-16,529.9903394259244
1997-01-17,531.5696576719203
1997-01-20,532.6274945433903
1997-01-21,528.5505420550525
1997-01-22,528.3088448020114
1997-01-23,524.0191561479025
1997-01-24,515.8095840038372
1997-01-27,514.3168463886685
1997-01-28,518.8624657782963
1997-01-29,515.5156260486497
1997-01-30,516.402460904256
1997-01-31,517.664791395188
1997-02-03,521.2773333017977
1997-02-04,521.7984577515314
1997-02-05,525.7693017339606
1997-02-06,525.8032245226394
1997-02-07,525.9525368113012
1997-02-10,526.1758338820094
1997-02-11,520.006115210403
1997-02-12,519.9693090162139
1997-02-13,510.901130907478
1997-02-14,504.94522768746265
1997-02-17,506.6116621641225
1997-02-18,503.87243609684407
1997-02-19,503.12071734322615
1997-02-20,512.9796841972517
1997-02-21,515.1511381438992
1997-02-24,513.2030858654692
1997-02-25,516.700169643513
1997-02-26,517.620893417221
1997-02-27,518.9241712911866
1997-02-28,514.4875940794234
1997-03-03,519.5793494687471
1997-03-04,517.4376570240242
1997-03-05,516.0722560080126
1997-03-06,515.2618515936523
1997-03-07,512.6781956753175
1997-03-10,510.8921974178726
1997-03-11,509.84679503762993
1997-03-12,504.90520407557784
1997-03-13,500.1072781683516
1997-03-14,494.26526673812856
1997-03-17,500.19235813081866
1997-03-18,495.61601131481655
1997-03-19,491.6513881951415
