Date,CANADA IMI QUALITY
1998-11-30,1000.0
1998-12-01,1017.2730879705836
1998-12-02,1012.6719519844195
1998-12-03,1006.1558291679175
1998-12-04,1017.0292821573577
1998-12-07,1017.6823412803595
1998-12-08,1013.7774644132703
1998-12-09,1017.9023151068614
1998-12-10,1013.5726254735714
1998-12-11,1000.0838994422448
1998-12-14,1004.390399065773
1998-12-15,1005.2017584947644
1998-12-16,1014.8699811922053
1998-12-17,1010.8995883545281
1998-12-18,1016.2525120842755
1998-12-21,1018.094997686204
1998-12-22,1016.4997833639943
1998-12-23,1021.8146376044908
1998-12-24,1028.7565685888894
1998-12-25,1028.7565685888894
1998-12-28,1027.9274611029207
1998-12-29,1030.7761424628213
1998-12-30,1027.5927185991998
1998-12-31,1045.942952108821
1999-01-01,1045.942952108821
1999-01-04,1058.9978632020761
1999-01-05,1069.265178082534
1999-01-06,1097.4481565846863
1999-01-07,1097.6963392364382
1999-01-08,1103.0134612961479
1999-01-11,1107.1397771895722
1999-01-12,1094.3302351317736
1999-01-13,1068.4370865675612
1999-01-14,1074.543581388359
1999-01-15,1107.557599938468
1999-01-18,1115.1212976375716
1999-01-19,1108.3277870476315
1999-01-20,1091.4142624883884
1999-01-21,1096.2219560899014
1999-01-22,1081.8986656825311
1999-01-25,1087.9181336320705
1999-01-26,1085.5025306408502
1999-01-27,1084.8008970062745
1999-01-28,1090.608042845875
1999-01-29,1109.7355353036817
1999-02-01,1115.162697828515
1999-02-02,1099.9560013735143
1999-02-03,1101.3154421403672
1999-02-04,1107.980688031848
1999-02-05,1099.1625569794794
1999-02-08,1092.6566267734652
1999-02-09,1069.6235888299868
1999-02-10,1072.606513295148
1999-02-11,1090.0956452089545
1999-02-12,1083.8381433034715
1999-02-15,1089.6811514627536
1999-02-16,1070.8282398186461
1999-02-17,1058.3963105033415
1999-02-18,1067.667204748666
1999-02-19,1077.173405686844
1999-02-22,1095.6382290848478
1999-02-23,1087.9918046871535
1999-02-24,1078.0025831887522
1999-02-25,1066.6395562954003
1999-02-26,1064.8522780908675
1999-03-01,1056.3576300790248
1999-03-02,1046.1339882433972
1999-03-03,1033.0898623611467
1999-03-04,1044.0171913169274
1999-03-05,1067.2976713701628
1999-03-08,1084.3220721495488
1999-03-09,1080.3772901556508
1999-03-10,1087.7103884919554
1999-03-11,1087.7061486379182
1999-03-12,1086.2588348099698
1999-03-15,1088.6512404716857
1999-03-16,1090.837339785741
1999-03-17,1088.2178826937288
1999-03-18,1089.2879488398764
1999-03-19,1090.375367567837
1999-03-22,1093.8752234680358
1999-03-23,1069.3822051685017
1999-03-24,1075.217197334889
1999-03-25,1084.8393869635388
1999-03-26,1091.4146502304768
