Date,NIHONKABU IMI HIGH DIVIDEND YIELD
2008-05-30,1000.0
2008-06-02,1004.7604579130805
2008-06-03,981.6113974201802
2008-06-04,998.6220789253288
2008-06-05,990.4834315876406
2008-06-06,999.6062789536096
2008-06-09,971.8575588298702
2008-06-10,956.0913329056111
2008-06-11,966.4043823883943
2008-06-12,936.5832715549666
2008-06-13,935.7160284431479
2008-06-16,953.8787487974181
2008-06-17,956.1585743718578
2008-06-18,964.4608536933664
2008-06-19,943.3631348912131
2008-06-20,939.4867009664762
2008-06-23,930.3715554722481
2008-06-24,927.43295766479
2008-06-25,928.8832793279823
2008-06-26,940.1871058219123
2008-06-27,933.6160448060608
2008-06-30,936.8565879119268
2008-07-01,941.1362914825037
2008-07-02,928.6894576136253
2008-07-03,920.8551753396624
2008-07-04,918.2461585497468
2008-07-07,920.7523135553389
2008-07-08,908.1575298175009
2008-07-09,911.5005792030428
2008-07-10,915.2471492010204
2008-07-11,916.3327087133081
2008-07-14,899.4024227229787
2008-07-15,903.0508447029089
2008-07-16,895.9465495435793
2008-07-17,889.8765435023543
2008-07-18,875.5944588712847
2008-07-21,874.6111512575587
2008-07-22,894.2112243199598
2008-07-23,895.0656913243236
2008-07-24,914.3264033076371
2008-07-25,900.1993492746585
2008-07-28,904.9231202336073
2008-07-29,885.6584886676682
2008-07-30,906.7025777266954
2008-07-31,909.1492388990159
2008-08-01,896.2682481474596
2008-08-04,879.7245160119406
2008-08-05,884.1625292498936
2008-08-06,893.0444720343645
2008-08-07,881.2535000218725
2008-08-08,876.4272716589232
2008-08-11,890.9745539776804
2008-08-12,885.9682286348366
2008-08-13,884.152726997086
2008-08-14,873.7703290817722
2008-08-15,873.0670188764583
2008-08-18,881.0496524248226
2008-08-19,864.3183985758695
2008-08-20,861.30377772382
2008-08-21,866.8304352426376
2008-08-22,851.7288593286678
2008-08-25,868.4080003841709
2008-08-26,860.9885311695174
2008-08-27,860.6000777392757
2008-08-28,861.2619528740919
2008-08-29,894.836639424283
2008-09-01,882.0958917873115
2008-09-02,860.7907963982176
2008-09-03,873.8606521925509
2008-09-04,867.8161670406345
2008-09-05,862.705234648016
2008-09-08,867.5459277978789
2008-09-09,858.9511696030977
2008-09-10,858.5043135649029
2008-09-11,849.4425739744214
2008-09-12,850.0110273691789
2008-09-15,858.090751971719
2008-09-16,833.0775759121128
2008-09-17,843.8373863516459
2008-09-18,824.660658387514
2008-09-19,836.4470621140424
2008-09-22,854.2744184275366
2008-09-23,862.7585814859335
2008-09-24,862.6881444732111
2008-09-25,857.4269254997957
2008-09-26,855.8057496183903
2008-09-29,846.7415492601043
2008-09-30,811.3655919217033
2008-10-01,820.716665747837
2008-10-02,811.377742937325
2008-10-03,789.3706551180372
2008-10-06,794.5019914695797
2008-10-07,760.9908072035406
2008-10-08,711.657000945578
2008-10-09,705.6407882242872
2008-10-10,655.6058432671407
2008-10-13,648.8738421978264
2008-10-14,719.2739994469594
2008-10-15,726.1495578557663
2008-10-16,663.1748926423812
2008-10-17,682.9906714417522
2008-10-20,711.7596686906016
2008-10-21,736.5447737756601
2008-10-22,701.0151098721085
2008-10-23,700.8794159431646
2008-10-24,685.1806518618116
2008-10-27,645.0946103268445
2008-10-28,662.2916047204405
2008-10-29,695.5194849493674
2008-10-30,759.9123072708871
2008-10-31,712.9850295763059
2008-11-03,708.1446026984436
2008-11-04,733.1734531300558
2008-11-05,764.9514202775833
2008-11-06,729.9053693940601
2008-11-07,703.9681976883898
2008-11-10,734.1490775343592
2008-11-11,720.8424477856184
2008-11-12,724.2911751659063
2008-11-13,693.5865477966761
2008-11-14,700.0794830209387
2008-11-17,710.1169513109261
2008-11-18,693.0673610728962
2008-11-19,699.1601877623118
2008-11-20,673.9632850682626
2008-11-21,691.7010396202836
2008-11-24,681.331085765936
2008-11-25,704.1785982662454
2008-11-26,695.0569350548298
2008-11-27,708.286507298551
2008-11-28,726.4470999074144
2008-12-01,732.9444882787493
2008-12-02,689.3114445854183
2008-12-03,696.8017577383305
2008-12-04,691.0023142832065
2008-12-05,693.738546583595
2008-12-08,716.7110667909942
2008-12-09,728.3790480030527
2008-12-10,751.7197259211711
2008-12-11,775.2181092330621
2008-12-12,735.7868024658756
2008-12-15,778.0245154956197
2008-12-16,764.3066240162774
2008-12-17,786.3361204740374
2008-12-18,770.8880501871766
2008-12-19,759.8334333484877
2008-12-22,765.6580751692887
2008-12-23,764.0941274613702
2008-12-24,743.8015251570906
2008-12-25,756.7777748541291
2008-12-26,764.0155858553925
2008-12-29,775.3893023845288
2008-12-30,782.0198866821571
2008-12-31,777.9652882625136
2009-01-01,777.9652882625136
2009-01-02,775.1860772849351
2009-01-05,781.5972722288956
2009-01-06,780.6683740901378
2009-01-07,824.2091954916455
2009-01-08,804.4451049562005
2009-01-09,808.460565944505
2009-01-12,817.5664829268081
2009-01-13,772.9075388126757
2009-01-14,785.0739204245891
2009-01-15,751.1927835899373
2009-01-16,762.9702133431723
2009-01-19,769.8063337527906
2009-01-20,762.102231658144
2009-01-21,764.0773150140449
2009-01-22,757.7951568153226
2009-01-23,728.714642933918
2009-01-26,721.2891719673082
2009-01-27,765.3656998015833
2009-01-28,766.8208878070964
2009-01-29,776.5733751902924
2009-01-30,742.9616825612411
2009-02-02,732.3897385071351
2009-02-03,740.045594120619
2009-02-04,760.9533536567703
2009-02-05,759.4034130143405
2009-02-06,755.1443588708784
2009-02-09,748.9906489200744
2009-02-10,746.5643642124027
2009-02-11,753.9229364938031
2009-02-12,732.200774362022
2009-02-13,725.6932664660069
2009-02-16,725.5181318737209
2009-02-17,709.3980205219535
2009-02-18,694.3445413801386
2009-02-19,691.466189606115
2009-02-20,680.7953338497114
2009-02-23,673.5148761456995
2009-02-24,656.3563450965465
2009-02-25,671.6419249920043
2009-02-26,658.2044256193469
2009-02-27,673.6697202041332
2009-03-02,652.9125158414538
2009-03-03,638.7330551141321
2009-03-04,637.9210830937011
2009-03-05,656.7879170897444
2009-03-06,638.538336023461
2009-03-09,622.5013269986154
2009-03-10,617.8743538443524
2009-03-11,643.3064389127882
2009-03-12,622.9495592370092
2009-03-13,645.7868473985567
2009-03-16,658.9838075325516
2009-03-17,669.5433007104358
2009-03-18,675.5005096258484
2009-03-19,702.2342668966724
2009-03-20,685.1876194987756
2009-03-23,704.9111903277146
2009-03-24,724.2001283714039
2009-03-25,733.1031087291105
2009-03-26,739.5956513615304
2009-03-27,741.7988480134229
2009-03-30,715.1397688133069
2009-03-31,689.5645404077324
2009-04-01,711.6521109601086
2009-04-02,738.3777948157436
2009-04-03,748.6983335976163
2009-04-06,745.6796478678854
2009-04-07,746.2569469825888
2009-04-08,729.6869100429358
2009-04-09,751.821564243319
2009-04-10,762.7427801093803
2009-04-13,769.7443796020633
2009-04-14,772.2221863558873
2009-04-15,765.85425261958
2009-04-16,767.6473300749933
2009-04-17,789.8473921119843
2009-04-20,806.5709121780254
2009-04-21,781.5725065958711
2009-04-22,784.3543557541212
2009-04-23,792.9187515761269
2009-04-24,785.0287036307076
2009-04-27,790.3925317623549
2009-04-28,761.1576280418674
2009-04-29,758.0575892412648
2009-04-30,772.0590445899841
2009-05-01,783.6786965193247
2009-05-04,783.2056272322258
2009-05-05,787.3644514893003
2009-05-06,788.5608115756387
2009-05-07,825.6425073209099
2009-05-08,827.2130394000607
2009-05-11,843.3665374955344
2009-05-12,836.6147128425681
2009-05-13,838.7456561130799
2009-05-14,815.9030452992077
2009-05-15,833.8359871101554
2009-05-18,809.1463676203448
2009-05-19,829.0675523575859
2009-05-20,848.683835515765
2009-05-21,849.6366978511309
2009-05-22,841.227340230831
2009-05-25,846.5807445744305
2009-05-26,847.2102307417576
2009-05-27,852.5005700176647
2009-05-28,844.2580656229285
2009-05-29,862.9665711021959
2009-06-01,865.237957899253
2009-06-02,871.8031142510838
2009-06-03,869.4008436988732
2009-06-04,857.8985882339591
2009-06-05,844.5661077283621
2009-06-08,843.5458517111003
2009-06-09,848.62847757869
2009-06-10,856.1927630574731
2009-06-11,854.4176253823902
2009-06-12,861.2198714849336
