Date,USA IMI HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,999.5418573876201
1999-01-05,1005.972193453948
1999-01-06,1028.3197537868941
1999-01-07,1031.0932773589452
1999-01-08,1043.4140425710707
1999-01-11,1032.8045710959138
1999-01-12,1013.8885093000193
1999-01-13,1005.6699765495997
1999-01-14,986.3861921753775
1999-01-15,1006.2418296607623
1999-01-18,1006.2418296607623
1999-01-19,1011.2369558086219
1999-01-20,1008.9183351855145
1999-01-21,994.0211654801251
1999-01-22,988.6850453717875
1999-01-25,992.209564091429
1999-01-26,992.0332092045667
1999-01-27,973.7224507589191
1999-01-28,986.8248077510186
1999-01-29,989.3527350034874
1999-02-01,983.2430125246668
1999-02-02,974.5240088512545
1999-02-03,984.1938219399866
1999-02-04,971.2844388736193
1999-02-05,970.6836124119735
1999-02-08,972.7205678132127
1999-02-09,963.3703456403089
1999-02-10,961.7524167310778
1999-02-11,971.2274106484164
1999-02-12,956.8806753928287
1999-02-15,956.8806753928287
1999-02-16,961.4615627825881
1999-02-17,959.4731838934756
1999-02-18,969.9729853385656
1999-02-19,968.8854813079117
1999-02-22,988.5049812133105
1999-02-23,982.1352386459901
1999-02-24,971.5719047250738
1999-02-25,968.9452214483109
1999-02-26,966.7371077666925
1999-03-01,965.4357499306094
1999-03-02,965.4753002018126
1999-03-03,963.9353550228249
1999-03-04,976.6893851092657
1999-03-05,997.5230082829441
1999-03-08,995.0747255701735
1999-03-09,991.8532945504018
1999-03-10,1002.9667704283934
1999-03-11,1009.5483407659632
1999-03-12,1006.2127031590345
1999-03-15,1007.7267427278719
1999-03-16,1000.5660160655389
1999-03-17,996.850256391
1999-03-18,1010.9582746208025
1999-03-19,996.6983333158881
1999-03-22,995.7302291994326
1999-03-23,973.1262362075117
1999-03-24,976.0903654749789
1999-03-25,982.94806801691
1999-03-26,976.2747059417271
1999-03-29,988.4402943227343
1999-03-30,970.423279102906
1999-03-31,963.8261660110223
1999-04-01,963.847643476119
1999-04-02,963.847643476119
1999-04-05,975.536443761315
1999-04-06,971.7173224452014
1999-04-07,985.4514228008688
1999-04-08,996.4095542954859
1999-04-09,996.021572848321
1999-04-12,1012.0803446268346
1999-04-13,1010.9816834041411
1999-04-14,1011.5972530335803
1999-04-15,1020.1345776328529
1999-04-16,1031.1643929637014
1999-04-19,1037.0672065544607
1999-04-20,1037.7661857348915
1999-04-21,1045.1774614381275
1999-04-22,1047.270151928967
1999-04-23,1039.040847940764
1999-04-26,1030.0143392087507
1999-04-27,1041.1042069746816
1999-04-28,1056.1805080453298
1999-04-29,1063.95005432148
1999-04-30,1053.3220312451974
1999-05-03,1075.0283592685635
1999-05-04,1068.6115201841021
1999-05-05,1076.0792402457512
1999-05-06,1072.9372148742864
1999-05-07,1081.00363020705
1999-05-10,1075.4625941167265
1999-05-11,1077.8832021367566
1999-05-12,1079.6653546103803
1999-05-13,1088.7237027506983
1999-05-14,1066.865618533568
1999-05-17,1058.8706885708636
1999-05-18,1049.6138971212943
1999-05-19,1056.7030010821315
1999-05-20,1059.2661458163568
1999-05-21,1061.6050235465877
1999-05-24,1047.012110278527
1999-05-25,1034.8518037062424
1999-05-26,1049.140252811941
1999-05-27,1024.106228555693
1999-05-28,1033.9547884679625
1999-05-31,1033.9547884679625
1999-06-01,1034.418800810303
1999-06-02,1033.094562098699
1999-06-03,1035.8460573911836
1999-06-04,1044.2068116617297
1999-06-07,1051.1866036054753
1999-06-08,1044.4214213017635
1999-06-09,1042.7872882671288
1999-06-10,1036.0256609234123
1999-06-11,1029.7022899917088
1999-06-14,1034.704918855602
1999-06-15,1039.1884829233704
1999-06-16,1050.4468759645968
1999-06-17,1056.0545020056918
1999-06-18,1056.0333833354948
1999-06-21,1054.7821487100703
1999-06-22,1049.557210199189
1999-06-23,1041.671142586278
1999-06-24,1026.6282699404637
1999-06-25,1030.421495219369
1999-06-28,1039.5182390983455
1999-06-29,1051.365093492777
1999-06-30,1062.9070136715618
1999-07-01,1068.8171111779636
1999-07-02,1073.8389065471567
1999-07-05,1073.8389065471567
1999-07-06,1072.7575176569153
1999-07-07,1074.8396730756717
1999-07-08,1070.9434458199132
1999-07-09,1072.7307981876613
1999-07-12,1069.1351785475415
1999-07-13,1061.5948939478624
1999-07-14,1058.1493779004315
1999-07-15,1065.4992378532468
1999-07-16,1069.4009150942777
1999-07-19,1063.4139146083266
1999-07-20,1051.718978880417
1999-07-21,1052.9404626111161
1999-07-22,1052.3240487865871
1999-07-23,1046.3000874087056
1999-07-26,1046.4415554306042
1999-07-27,1053.913116378285
1999-07-28,1050.3984328637857
1999-07-29,1033.951344830302
1999-07-30,1025.875996558723
1999-08-02,1028.8514985514244
1999-08-03,1025.4703796535348
1999-08-04,1014.0046596038118
1999-08-05,1017.7231038356102
