Date,UK IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1030.1695750431486
2010-05-28,1030.9763938228327
2010-05-31,1036.0391129127397
2010-06-01,1046.9584377080873
2010-06-02,1046.2302329180561
2010-06-03,1065.5780947710282
2010-06-04,1049.282628016105
2010-06-07,1036.0109766394744
2010-06-08,1015.9666866213051
2010-06-09,1040.7991763286893
2010-06-10,1054.2140983005183
2010-06-11,1059.5452884350557
2010-06-14,1080.4873400325778
2010-06-15,1089.9103972266726
2010-06-16,1092.6939223851134
2010-06-17,1090.3885796181578
2010-06-18,1094.7461333009796
2010-06-21,1097.9319861054646
2010-06-22,1089.3949707315803
2010-06-23,1085.8205783594778
2010-06-24,1083.9782654628248
2010-06-25,1072.8107080598577
2010-06-28,1085.2864480502135
2010-06-29,1056.6090231406192
2010-06-30,1057.665009026644
2010-07-01,1046.74073448973
2010-07-02,1059.7912218956424
2010-07-05,1054.7421725137795
2010-07-06,1086.9057889029468
2010-07-07,1094.0619470308197
2010-07-08,1105.186917807496
2010-07-09,1104.328563616735
2010-07-12,1108.7276300208175
2010-07-13,1133.3422732057531
2010-07-14,1132.681931197553
2010-07-15,1135.2573620581275
2010-07-16,1124.6082832243449
2010-07-19,1108.1786269539914
2010-07-20,1090.9151387592526
2010-07-21,1099.6239241937153
2010-07-22,1120.480720643646
2010-07-23,1130.4399278051155
2010-07-26,1142.8009586887022
2010-07-27,1145.7108827844716
2010-07-28,1137.940137129464
2010-07-29,1141.4239292817167
2010-07-30,1130.9685537130804
2010-08-02,1170.3981725054127
2010-08-03,1181.9086280883826
2010-08-04,1175.83047477921
2010-08-05,1174.564582214288
2010-08-06,1181.5664092136349
2010-08-09,1196.089599550964
2010-08-10,1168.9842597107195
2010-08-11,1137.871227644329
2010-08-12,1129.4156732080776
2010-08-13,1130.3346191008386
2010-08-16,1130.926781985658
2010-08-17,1138.0745034925872
2010-08-18,1133.9350402946695
2010-08-19,1120.8605734486696
2010-08-20,1108.4217698027085
2010-08-23,1116.0713014059163
2010-08-24,1098.9994172417832
2010-08-25,1094.716241055383
2010-08-26,1110.1701985850107
2010-08-27,1116.644957845107
2010-08-30,1116.7532053286607
2010-08-31,1108.9408668017047
2010-09-01,1144.1293061192648
2010-09-02,1146.6651541843012
2010-09-03,1161.1561177070882
2010-09-06,1163.3763097087422
2010-09-07,1146.1339116062857
2010-09-08,1170.3840248628035
2010-09-09,1174.489000198771
2010-09-10,1175.8416690472293
2010-09-13,1189.8380455546248
2010-09-14,1192.4344192845322
2010-09-15,1204.4875666983971
2010-09-16,1204.2976101900338
2010-09-17,1197.2098639382943
2010-09-20,1205.9380210690215
2010-09-21,1198.9819051869963
2010-09-22,1200.5759861368447
2010-09-23,1199.6217790047137
2010-09-24,1215.106492433555
2010-09-27,1212.9757761959863
2010-09-28,1207.1671692794007
2010-09-29,1207.4416512041057
2010-09-30,1202.39888247841
2010-10-01,1209.6407526461653
2010-10-04,1208.5325105326467
2010-10-05,1233.3199761710566
2010-10-06,1238.295538047712
