Date,SINGAPORE IMI HIGH DIVIDEND YIELD
2010-11-24,1337.51012992631
2010-11-25,1343.4992376781122
2010-11-26,1329.8707171852645
2010-11-29,1326.1344231994503
2010-11-30,1328.0944407335146
2010-12-01,1343.7646898812848
2010-12-02,1342.638009948903
2010-12-03,1340.8895086564953
2010-12-06,1344.4493143297993
2010-12-07,1350.5916505267503
2010-12-08,1340.3978755009875
2010-12-09,1351.2496513756255
2010-12-10,1346.852777057625
2010-12-13,1353.2123587951098
2010-12-14,1363.3242672049541
2010-12-15,1355.646651620369
2010-12-16,1337.192644550985
2010-12-17,1350.4385613472093
2010-12-20,1341.2205637912718
2010-12-21,1353.1234258672816
2010-12-22,1361.5550258735846
2010-12-23,1366.5853183237998
2010-12-24,1373.386831323814
2010-12-27,1376.1126922004353
2010-12-28,1386.4073431071088
2010-12-29,1393.307563221339
2010-12-30,1402.9406382991026
2010-12-31,1409.3932211430606
2011-01-03,1421.4202435744933
2011-01-04,1416.8129466690255
2011-01-05,1413.9047250535887
2011-01-06,1437.589120702427
2011-01-07,1430.802706296402
2011-01-10,1417.1238944107197
2011-01-11,1429.638441854801
2011-01-12,1455.4565638961483
2011-01-13,1459.16908794561
2011-01-14,1450.332042664739
2011-01-17,1452.2909867280398
2011-01-18,1465.6685414658702
2011-01-19,1463.5337009691739
2011-01-20,1442.2960614700933
2011-01-21,1446.3704870160163
2011-01-24,1437.9828137556642
2011-01-25,1433.2814261952394
2011-01-26,1451.3463722254392
2011-01-27,1445.9799430211838
2011-01-28,1437.3615745543611
2011-01-31,1424.1011222516463
2011-02-01,1436.3765899530824
2011-02-02,1446.9514068548121
2011-02-03,1442.924850850787
2011-02-04,1443.7170448865484
2011-02-07,1441.4616677444994
2011-02-08,1444.8035337109638
2011-02-09,1426.93892810248
2011-02-10,1408.1985170655164
2011-02-11,1394.6373424089377
2011-02-14,1403.8506292690993
2011-02-15,1391.5195030053144
2011-02-16,1397.164171632075
2011-02-17,1399.3104789234487
2011-02-18,1402.5215620913043
2011-02-21,1390.2751920238895
2011-02-22,1366.882023773469
2011-02-23,1360.9146141158335
2011-02-24,1355.3647684000518
2011-02-25,1383.98549813535
2011-02-28,1381.5059547220553
2011-03-01,1402.3457054848175
2011-03-02,1389.3438985031173
2011-03-03,1394.6088301229033
2011-03-04,1397.9060584841543
2011-03-07,1402.1962060642436
2011-03-08,1413.969810668377
2011-03-09,1416.0609032635602
2011-03-10,1399.1525995629547
2011-03-11,1387.72997737278
2011-03-14,1386.315168298888
2011-03-15,1343.5054135631378
2011-03-16,1352.7018216279182
2011-03-17,1344.9756933188478
2011-03-18,1361.27346173564
2011-03-21,1379.1385758553713
2011-03-22,1391.6353003188517
2011-03-23,1387.9297835225268
2011-03-24,1401.8308547268525
2011-03-25,1402.8802756053517
2011-03-28,1406.3198491926964
2011-03-29,1408.4118470861074
2011-03-30,1418.4371324629792
2011-03-31,1418.6237344913318
2011-04-01,1424.651337220473
2011-04-04,1434.468561351247
2011-04-05,1431.237195386205
2011-04-06,1441.8397890984734
2011-04-07,1438.523833362416
2011-04-08,1441.8439862762411
2011-04-11,1435.389094717357
2011-04-12,1424.4299626917214
2011-04-13,1435.666940489476
2011-04-14,1442.9586591757625
2011-04-15,1445.4496295340105
2011-04-18,1433.931086352175
2011-04-19,1433.29065753828
2011-04-20,1454.4499670697883
2011-04-21,1464.842324037068
2011-04-22,1464.842324037068
2011-04-25,1466.3050868712205
2011-04-26,1469.2140305213823
2011-04-27,1476.8827246721396
2011-04-28,1489.348194306177
2011-04-29,1498.2170861593509
2011-05-02,1498.3396748011835
2011-05-03,1479.13330388165
2011-05-04,1463.1155677012268
2011-05-05,1457.564264595544
2011-05-06,1462.5032211866148
2011-05-09,1468.874452614793
2011-05-10,1474.5316584438463
2011-05-11,1475.167050973703
2011-05-12,1455.7555474975477
2011-05-13,1458.3671627429546
2011-05-16,1452.075846204867
2011-05-17,1450.1570337704475
2011-05-18,1454.4934996650602
2011-05-19,1459.5406629134325
2011-05-20,1465.051567614366
2011-05-23,1435.3114248911556
2011-05-24,1443.8127391416451
2011-05-25,1440.665725836847
2011-05-26,1446.526621051755
2011-05-27,1460.9581433141961
2011-05-30,1466.6970997800781
2011-05-31,1481.297776449483
2011-06-01,1486.1767054845386
2011-06-02,1476.5604668121637
2011-06-03,1480.003154682347
2011-06-06,1472.4688606225425
2011-06-07,1478.2594018041314
2011-06-08,1469.1364626393156
2011-06-09,1471.2746676382849
2011-06-10,1459.9449619003503
2011-06-13,1448.0530960162027
2011-06-14,1446.975110996857
2011-06-15,1442.5701260030821
2011-06-16,1424.5883575332864
2011-06-17,1420.061784207082
2011-06-20,1421.2651326756454
2011-06-21,1439.8089783536436
2011-06-22,1436.2003187749003
2011-06-23,1433.2677569507937
2011-06-24,1440.7749548899794
2011-06-27,1425.6018991089256
2011-06-28,1434.022125213492
2011-06-29,1447.396762022082
2011-06-30,1471.2632949607216
2011-07-01,1476.2747893940139
2011-07-04,1484.3645123261954
2011-07-05,1479.6286381980876
2011-07-06,1473.1548470754822
2011-07-07,1482.3080888307154
2011-07-08,1486.229182424721
2011-07-11,1472.7383489649494
2011-07-12,1466.4538075010466
2011-07-13,1479.9459175572922
2011-07-14,1475.9289760804518
2011-07-15,1473.112342569944
2011-07-18,1464.6892729805359
2011-07-19,1470.9837840122893
2011-07-20,1483.2059392708445
2011-07-21,1487.804550379679
2011-07-22,1501.0759489698569
2011-07-25,1496.867319330961
2011-07-26,1506.1714017488748
2011-07-27,1503.754476813117
2011-07-28,1502.5651063264627
2011-07-29,1497.5964819732549
2011-08-01,1504.1074025933542
2011-08-02,1489.9276042138551
2011-08-03,1470.5261395076952
2011-08-04,1448.438982083453
2011-08-05,1407.972158184464
2011-08-08,1372.4071278051254
2011-08-09,1374.3328919636785
2011-08-10,1355.6326648766524
2011-08-11,1333.6252670627823
2011-08-12,1352.3968002541474
2011-08-15,1378.0592483755872
