Date,CANADA IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1025.7445739803463
2010-05-28,1025.3769097165211
2010-05-31,1034.1993236598007
2010-06-01,1023.7635626033358
2010-06-02,1035.3084377570806
2010-06-03,1044.4141785852937
2010-06-04,1019.1190546378897
2010-06-07,1003.8202265712434
2010-06-08,1003.4058793064438
2010-06-09,1017.282727298563
2010-06-10,1037.1981617468596
2010-06-11,1034.195764830047
2010-06-14,1052.1594155789444
2010-06-15,1063.9143147163136
2010-06-16,1072.0256573517458
2010-06-17,1065.6322913427773
2010-06-18,1071.3094324639198
2010-06-21,1080.841233000456
2010-06-22,1072.3484429924897
2010-06-23,1043.7673572799818
2010-06-24,1035.8749193325468
2010-06-25,1039.9373178423066
2010-06-28,1044.5594302881307
2010-06-29,999.6298266134452
2010-06-30,994.4409986028921
2010-07-01,993.3659777828195
2010-07-02,997.0115131408337
2010-07-05,986.5810159835509
2010-07-06,1015.575455195436
2010-07-07,1027.6019794143494
2010-07-08,1040.6326035345762
2010-07-09,1057.0956814646315
2010-07-12,1049.9775542183238
2010-07-13,1062.1300711458475
2010-07-14,1054.821003344471
2010-07-15,1052.1284237859848
2010-07-16,1029.635011023501
2010-07-19,1029.8170739478228
2010-07-20,1033.423403126393
2010-07-21,1043.6096788590246
2010-07-22,1061.6732812406867
2010-07-23,1066.631632045289
2010-07-26,1080.1906550823958
2010-07-27,1077.9774947218768
2010-07-28,1070.9466350422706
2010-07-29,1070.9885187627817
2010-07-30,1070.5940057876005
2010-08-02,1078.9747994138067
2010-08-03,1081.2607279871343
2010-08-04,1090.205168698019
2010-08-05,1087.8419137264316
2010-08-06,1072.0030594807356
2010-08-09,1075.86385366858
2010-08-10,1060.0190616968273
2010-08-11,1034.694354774032
2010-08-12,1031.51144676451
2010-08-13,1047.0729010919445
2010-08-16,1042.9791019605063
2010-08-17,1063.1335865383703
2010-08-18,1064.3072763711875
2010-08-19,1048.77106033271
2010-08-20,1043.2911477754694
2010-08-23,1047.8571730056744
2010-08-24,1029.5462709383037
2010-08-25,1020.9957373870423
2010-08-26,1032.376011253359
