Date,JAPAN IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,995.5502088267722
2010-05-28,999.3505371417294
2010-05-31,1005.4117080834974
2010-06-01,1007.2913129681193
2010-06-02,990.7051892646471
2010-06-03,1000.7558581195437
2010-06-04,1003.1919057910112
2010-06-07,984.6830999130678
2010-06-08,992.9533554932539
2010-06-09,983.7740608537675
2010-06-10,991.6275508978388
2010-06-11,991.3364117533239
2010-06-14,999.3383200593596
2010-06-15,1007.1423159699661
2010-06-16,1017.3410287195303
2010-06-17,1029.373109759553
2010-06-18,1031.7100191202314
2010-06-21,1038.374989614531
2010-06-22,1036.9455180365464
2010-06-23,1031.1883139284676
2010-06-24,1041.9970494063184
2010-06-25,1038.7821012488348
2010-06-28,1038.378882251788
2010-06-29,1045.003350568341
2010-06-30,1036.2603866720096
2010-07-01,1043.1371228938672
2010-07-02,1040.237909237159
2010-07-05,1047.0862658050323
2010-07-06,1054.701452008912
2010-07-07,1055.613385177812
2010-07-08,1054.2183863921748
2010-07-09,1052.167586729488
2010-07-12,1040.0011538099623
2010-07-13,1046.4864650829954
2010-07-14,1051.644952486654
2010-07-15,1049.948181759353
2010-07-16,1047.449832214132
2010-07-19,1044.3077848374296
2010-07-20,1037.042437379753
2010-07-21,1036.4006079743028
2010-07-22,1035.0677001196555
2010-07-23,1039.2825658537117
2010-07-26,1043.2079308492846
2010-07-27,1039.3073656056865
2010-07-28,1057.5827819631695
2010-07-29,1054.9134779597405
2010-07-30,1044.6288262505677
2010-08-02,1044.394542976812
2010-08-03,1061.131974844521
2010-08-04,1046.0363180898987
2010-08-05,1063.5761762711272
2010-08-06,1079.5172957154143
2010-08-09,1072.2878164948415
2010-08-10,1069.1428242303498
2010-08-11,1057.3783847399611
2010-08-12,1041.6821399395928
2010-08-13,1045.9489479736333
2010-08-16,1061.5714610053672
2010-08-17,1059.5900051131482
2010-08-18,1068.4987126034894
2010-08-19,1074.502762524928
2010-08-20,1050.9862199606896
2010-08-23,1059.5837582061363
2010-08-24,1073.3280571756572
2010-08-25,1055.3955631193444
2010-08-26,1057.9079293643993
2010-08-27,1058.3248713058442
2010-08-30,1074.2349340785988
2010-08-31,1060.558135902657
2010-09-01,1063.2131492345927
2010-09-02,1073.838713319872
2010-09-03,1075.2173237713516
2010-09-06,1090.9120273246551
2010-09-07,1095.0556163848366
2010-09-08,1081.0274437123805
2010-09-09,1086.3024149796663
2010-09-10,1086.165347929462
2010-09-13,1092.8990186285537
2010-09-14,1098.0966357915484
2010-09-15,1074.8682834471765
2010-09-16,1063.7426556945068
2010-09-17,1069.6260823052235
2010-09-20,1070.9358285284532
2010-09-21,1075.9238888701584
2010-09-22,1087.966845791808
2010-09-23,1090.354577762523
2010-09-24,1081.2783542146028
2010-09-27,1091.395491353944
2010-09-28,1092.9682895111093
2010-09-29,1095.285770136868
2010-09-30,1071.2546292814195
2010-10-01,1076.2309210445974
2010-10-04,1062.183586125213
2010-10-05,1081.3642177805045
2010-10-06,1089.8412542353599
2010-10-07,1099.9632388586035
2010-10-08,1093.1373190922745
2010-10-11,1090.1405978398132
2010-10-12,1074.4619426845445
2010-10-13,1072.4409350538351
2010-10-14,1090.177367278566
2010-10-15,1078.5732509788772
2010-10-18,1092.0412332763115
2010-10-19,1088.939463081658
2010-10-20,1089.5829756062014
2010-10-21,1083.8058504654796
2010-10-22,1082.1523372070938
2010-10-25,1092.3268727696227
2010-10-26,1082.7160070851355
2010-10-27,1077.1040456489527
2010-10-28,1082.2956361578626
2010-10-29,1091.434249996908
