Date,EM LATIN AMERICA ex BRAZIL SMALL VALUE
2013-09-05,3375.1923005896438
2013-09-06,3455.6395848041993
2013-09-09,3499.076863760142
2013-09-10,3527.013496995627
2013-09-11,3507.307170587549
2013-09-12,3467.8700966735328
2013-09-13,3474.4708222501968
2013-09-16,3487.1040870917795
2013-09-17,3467.305113637443
2013-09-18,3500.2876412898686
2013-09-19,3487.442776513579
2013-09-20,3459.6511803930684
2013-09-23,3479.9479340098887
2013-09-24,3461.219446514795
2013-09-25,3443.665018397391
2013-09-26,3449.380741170424
2013-09-27,3386.8473439609006
2013-09-30,3346.70314505361
2013-10-01,3367.981325233294
2013-10-02,3353.519243495904
2013-10-03,3323.89392909223
2013-10-04,3334.18513536713
2013-10-07,3301.3621181832386
2013-10-08,3281.2219901047793
2013-10-09,3265.0476333757106
2013-10-10,3318.1137397657935
2013-10-11,3331.076289961523
2013-10-14,3325.525085594411
2013-10-15,3316.5239831129375
2013-10-16,3345.03220670142
2013-10-17,3320.0139709967025
2013-10-18,3307.9538605723983
2013-10-21,3249.871519967621
2013-10-22,3276.895481517392
2013-10-23,3257.9549653266777
2013-10-24,3229.732106762133
2013-10-25,3248.846260290872
2013-10-28,3258.591356336039
2013-10-29,3270.0750936947215
2013-10-30,3253.133309219001
2013-10-31,3269.896967637173
2013-11-01,3287.7618578173683
2013-11-04,3291.73207345979
2013-11-05,3226.8968918309884
2013-11-06,3212.4888961083925
2013-11-07,3222.381978229535
2013-11-08,3183.4807315562475
2013-11-11,3153.353774937844
2013-11-12,3137.979367704592
2013-11-13,3141.2619157563418
2013-11-14,3180.960913654988
2013-11-15,3202.817557882955
2013-11-18,3223.584444841139
2013-11-19,3219.2557238433405
2013-11-20,3202.268854363213
2013-11-21,3174.004524489189
2013-11-22,3166.5191510038494
2013-11-25,3157.8652736814242
2013-11-26,3056.2768560268382
2013-11-27,3064.068445990591
2013-11-28,3069.952870451433
2013-11-29,3081.224208666982
2013-12-02,3078.335325919114
2013-12-03,3032.2187514688976
2013-12-04,3087.200002376129
2013-12-05,3088.5292517489115
2013-12-06,3093.5247768639847
2013-12-09,3088.7479356235335
2013-12-10,3083.154076395531
2013-12-11,3055.3237871557635
2013-12-12,3032.6584679515267
2013-12-13,3063.372092438531
2013-12-16,3062.608606233764
