Date,EM EASTERN EUROPE ex RUSSIA SMALL VALUE
2007-05-31,1000.0
2007-06-01,1002.470695723733
2007-06-04,987.0411852632996
2007-06-05,985.0300383703084
2007-06-06,971.7597244155783
2007-06-07,971.3521638096547
2007-06-08,961.7784294342015
2007-06-11,975.0843662476976
2007-06-12,975.470886249829
2007-06-13,971.2231637168936
2007-06-14,985.0670948430612
2007-06-15,998.0953983240099
2007-06-18,1000.515792593262
2007-06-19,1026.80588585399
2007-06-20,1030.863849156447
2007-06-21,1029.3135755654675
2007-06-22,1041.312294763079
2007-06-25,1051.369382641694
2007-06-26,1071.6847132718106
2007-06-27,1068.6036942898113
2007-06-28,1080.9195767821236
2007-06-29,1079.2895006642414
2007-07-02,1075.3834510965996
2007-07-03,1083.8381830903331
2007-07-04,1089.6982402744497
2007-07-05,1085.4072715186423
2007-07-06,1083.0790380387762
2007-07-09,1082.3051364030866
2007-07-10,1058.406115556952
2007-07-11,1048.4263721821399
2007-07-12,1049.631895599638
2007-07-13,1054.2204008738472
2007-07-16,1016.2570982260048
2007-07-17,1024.6698096002085
2007-07-18,1022.266843013076
2007-07-19,1034.7756215707386
2007-07-20,1020.8135653343645
2007-07-23,1024.0712016375626
2007-07-24,1007.4975700593989
2007-07-25,997.4349295593612
2007-07-26,975.3538218898761
2007-07-27,968.1239378438183
2007-07-30,972.8323107681942
2007-07-31,986.9580623451063
2007-08-01,959.0132482844358
2007-08-02,972.1708345707973
2007-08-03,953.834170334724
2007-08-06,937.7355938193891
2007-08-07,949.5339359351774
2007-08-08,955.6974529573079
2007-08-09,935.7635341010708
2007-08-10,917.5085071503362
2007-08-13,935.3518310370594
2007-08-14,913.1061562137257
2007-08-15,908.6663075709141
2007-08-16,850.9088207135187
2007-08-17,866.3301400841503
2007-08-20,855.187526741252
2007-08-21,833.9154446146625
2007-08-22,871.5144138772125
2007-08-23,879.008923968991
2007-08-24,888.6484928383173
2007-08-27,903.9824054359692
2007-08-28,899.8785608343987
2007-08-29,901.9457916232644
2007-08-30,894.6845000493169
2007-08-31,910.0226620935662
2007-09-03,915.6194612478433
2007-09-04,912.8500926974673
2007-09-05,907.4287793853205
2007-09-06,902.7586085026669
2007-09-07,891.0808186737797
2007-09-10,880.720301309609
2007-09-11,892.1150095782322
2007-09-12,893.3428436106052
2007-09-13,909.6841923847173
2007-09-14,899.747548114297
2007-09-17,892.256895061411
2007-09-18,896.8621880651552
2007-09-19,913.4361488851254
2007-09-20,921.6682229791861
2007-09-21,921.9000818513657
2007-09-24,923.9309792669565
2007-09-25,912.3477744277071
2007-09-26,914.9196770140114
2007-09-27,911.9303514526906
2007-09-28,900.5213337545335
2007-10-01,886.1315613460324
2007-10-02,879.893166520214
2007-10-03,884.1992534775268
2007-10-04,884.6559702305724
2007-10-05,892.3833887709209
2007-10-08,906.3567263296403
2007-10-09,916.2983689194818
2007-10-10,920.6898701152152
2007-10-11,935.5581765783697
2007-10-12,936.3017198952265
2007-10-15,944.6438055700977
2007-10-16,932.9636767181544
2007-10-17,944.0540138954524
2007-10-18,941.799689222999
2007-10-19,943.388333372345
2007-10-22,936.7304389016341
2007-10-23,945.5903218585819
2007-10-24,943.9868781629808
2007-10-25,948.8337226928974
2007-10-26,956.5096164695295
2007-10-29,951.9173187890896
2007-10-30,946.420926512911
2007-10-31,943.2866365249823
2007-11-01,939.9713756997269
2007-11-02,922.4427864700525
2007-11-05,907.035708794723
2007-11-06,903.8195324485215
2007-11-07,878.6096407632691
2007-11-08,876.0090471291117
2007-11-09,855.4327455017341
2007-11-12,846.5700369020161
2007-11-13,844.1865379600298
2007-11-14,843.3590141685665
2007-11-15,803.3713527318916
2007-11-16,787.1092785565385
2007-11-19,789.5246863320529
2007-11-20,786.6877422923377
2007-11-21,754.6768979196036
2007-11-22,778.4960968487095
2007-11-23,795.7272232533654
2007-11-26,791.7516403184242
2007-11-27,780.7278452100526
2007-11-28,801.9932769706968
2007-11-29,804.7016173983747
2007-11-30,814.0847044065629
2007-12-03,818.0234098407392
2007-12-04,814.5161073990215
2007-12-05,835.9436342795386
2007-12-06,836.5308519619624
2007-12-07,847.8847874115992
2007-12-10,847.1816793462259
2007-12-11,842.1219494185827
2007-12-12,847.745852790139
2007-12-13,834.0535972146564
2007-12-14,831.2835726314973
2007-12-17,811.51967818462
2007-12-18,816.5854120726099
2007-12-19,819.4425577277406
2007-12-20,818.3266253550565
2007-12-21,824.0172244714064
2007-12-24,826.3262994497638
2007-12-25,826.3262994497638
2007-12-26,824.5637380272198
2007-12-27,843.0659373065582
2007-12-28,836.152943172241
2007-12-31,838.0383418202131
2008-01-01,838.0383418202131
2008-01-02,839.5719422492015
2008-01-03,831.4760025266039
2008-01-04,819.3459154379482
2008-01-07,799.0247265291495
2008-01-08,799.5504592265763
2008-01-09,772.0107508994428
2008-01-10,749.6197044273479
2008-01-11,744.4951661506352
2008-01-14,729.9252697928285
2008-01-15,708.3786004605863
2008-01-16,681.1621685760053
2008-01-17,686.8971433231046
2008-01-18,690.2135094839992
2008-01-21,657.2162196554442
2008-01-22,661.0478375106441
2008-01-23,665.8879044554311
2008-01-24,698.7661749654714
2008-01-25,709.7697647580379
2008-01-28,711.923334030487
2008-01-29,728.0412259050178
2008-01-30,735.261664489166
2008-01-31,732.4381147733568
2008-02-01,754.4362650845178
