Date,EM (EMERGING MARKETS) SMALL VALUE
1998-12-31,208.3307683367382
1999-01-01,208.3307683367382
1999-01-04,211.95355030636034
1999-01-05,214.41933077529757
1999-01-06,219.10566489186593
1999-01-07,222.22427656832195
1999-01-08,225.08509053800225
1999-01-11,228.51794806234014
1999-01-12,226.9641945209307
1999-01-13,218.42458076844156
1999-01-14,212.54377865759295
1999-01-15,216.65294696439844
1999-01-18,217.37125934427564
1999-01-19,215.20111095497765
1999-01-20,214.75488189324042
1999-01-21,208.45044942396717
1999-01-22,202.5019645565188
1999-01-25,197.6584022398522
1999-01-26,196.37384863179832
1999-01-27,201.65562936500407
1999-01-28,202.78746370523012
1999-01-29,203.68567155468926
1999-02-01,206.0317831911399
1999-02-02,203.60460669840933
1999-02-03,201.76326785036719
1999-02-04,200.82153753778294
1999-02-05,199.43319289957307
1999-02-08,200.05689106659204
1999-02-09,195.91226757329576
1999-02-10,196.85232386978575
1999-02-11,197.98017002433582
1999-02-12,201.5583531777468
1999-02-15,202.3380981186117
1999-02-16,203.9418799951167
1999-02-17,202.70438307209741
1999-02-18,201.82097435015578
1999-02-19,201.34548931068903
1999-02-22,201.60880182074496
1999-02-23,201.11187609484887
1999-02-24,199.76795907601422
1999-02-25,197.3943024445603
1999-02-26,200.9235837820229
1999-03-01,203.4365055276796
1999-03-02,203.7861816247183
1999-03-03,204.00021724323662
1999-03-04,205.24490044246124
1999-03-05,206.14714829570065
1999-03-08,209.830525088282
1999-03-09,210.37752052992198
1999-03-10,210.41076857546003
1999-03-11,214.6226897645566
1999-03-12,213.96464083934518
1999-03-15,216.80663423280103
1999-03-16,218.42661894543696
1999-03-17,217.15290965351488
1999-03-18,217.95600932348808
1999-03-19,222.36072835081805
1999-03-22,223.9444910190661
1999-03-23,225.19874514475023
1999-03-24,223.83317190997974
1999-03-25,227.65641368629946
1999-03-26,230.2952653980346
1999-03-29,229.93156693424126
1999-03-30,230.7358347318165
1999-03-31,231.28418136287524
