Date,ANDEAN SMALL VALUE
2002-05-31,1000.0
2002-06-03,995.0700526144899
2002-06-04,990.9011648566503
2002-06-05,989.09544252814
2002-06-06,979.8458225052422
2002-06-07,973.3902582435086
2002-06-10,980.636962244522
2002-06-11,978.1263054492504
2002-06-12,964.9639769946663
2002-06-13,965.0140563936948
2002-06-14,963.3313596449784
2002-06-17,977.6716565498235
2002-06-18,970.7320805586567
2002-06-19,947.4973716558974
2002-06-20,922.5708505577397
2002-06-21,900.5605812914498
2002-06-24,885.2562193149155
2002-06-25,899.402264901932
2002-06-26,862.6226179401067
2002-06-27,873.4328646403036
2002-06-28,877.1470944745713
2002-07-01,872.0534103425249
2002-07-02,860.9087990584351
2002-07-03,860.124100684856
2002-07-04,869.1701629969895
2002-07-05,874.454745617541
2002-07-08,859.6696582246808
2002-07-09,846.2276510623246
2002-07-10,848.3593867451981
2002-07-11,846.7033670619178
2002-07-12,851.4239268213983
2002-07-15,828.3314283306561
2002-07-16,822.8611688797104
2002-07-17,822.4252585246193
2002-07-18,825.5978347828352
2002-07-19,822.1092376686962
2002-07-22,821.7802629009105
2002-07-23,828.0214290222189
2002-07-24,824.4326076205787
2002-07-25,819.161147839672
2002-07-26,828.3166943103627
2002-07-29,848.1614287639904
2002-07-30,836.5507633463333
2002-07-31,838.8677641368454
2002-08-01,839.1637166089026
2002-08-02,850.6754517830675
2002-08-05,844.9855132594538
2002-08-06,865.3281150801015
2002-08-07,867.3147848142482
2002-08-08,885.8671351050555
2002-08-09,882.4800053446312
2002-08-12,870.5759428693758
2002-08-13,865.0904371220704
2002-08-14,859.2492848868125
2002-08-15,866.7563669478964
2002-08-16,860.2321126926449
2002-08-19,873.8673169928857
2002-08-20,871.89732496902
2002-08-21,858.1832123170518
2002-08-22,863.2797619812636
2002-08-23,860.6086608489264
2002-08-26,862.3243761088097
2002-08-27,855.5901126803299
2002-08-28,848.7037360876475
2002-08-29,844.9216144472481
2002-08-30,853.5218538167851
2002-09-02,848.7218447485644
2002-09-03,829.5880190856591
2002-09-04,832.5539055676189
2002-09-05,834.3928855183642
2002-09-06,836.5844389113779
2002-09-09,843.6833723154712
2002-09-10,852.5713168678216
2002-09-11,858.005031049916
2002-09-12,853.4233141199578
2002-09-13,853.376238534001
2002-09-16,856.5751750574766
2002-09-17,851.9879373361819
2002-09-18,845.3938823147598
2002-09-19,842.7018496638243
2002-09-20,831.5601792904137
2002-09-23,819.535913640088
2002-09-24,821.2311634450909
2002-09-25,825.0260677279575
2002-09-26,825.3871914564346
2002-09-27,821.9187057775664
2002-09-30,807.7899470939427
2002-10-01,815.020099515896
2002-10-02,820.4756541089557
2002-10-03,819.0401157137532
2002-10-04,826.484533565292
2002-10-07,828.8679879604634
2002-10-08,831.7630821829925
2002-10-09,817.3772568517223
2002-10-10,814.4265000241929
2002-10-11,831.724906318624
2002-10-14,828.2062916431626
2002-10-15,830.8346429906744
2002-10-16,827.6624536643425
2002-10-17,839.2181768589966
2002-10-18,844.1940352993558
2002-10-21,849.4869593870981
2002-10-22,852.2105323698228
2002-10-23,854.0021458664389
2002-10-24,859.3844179756659
2002-10-25,862.1634589765022
2002-10-28,864.4154770210585
2002-10-29,851.5919454433902
2002-10-30,859.379272113157
2002-10-31,865.0434982978832
2002-11-01,859.4005193319138
2002-11-04,867.4667300792466
2002-11-05,865.3806351662995
2002-11-06,875.3973766392767
2002-11-07,871.0392512313405
2002-11-08,864.7952309878701
2002-11-11,866.8085770331874
2002-11-12,870.4131978574198
2002-11-13,872.5122449325705
2002-11-14,883.3644299619959
2002-11-15,889.5305941895443
2002-11-18,887.5861943764747
2002-11-19,891.6622422973169
2002-11-20,902.7336490990739
2002-11-21,899.8296296377218
2002-11-22,896.8527933776339
2002-11-25,904.9860020031294
2002-11-26,905.1160406707851
2002-11-27,911.8230627235569
2002-11-28,917.9610177225023
2002-11-29,920.8079970332014
2002-12-02,923.665456439962
2002-12-03,914.6071293985449
2002-12-04,908.897554874145
2002-12-05,922.8840616532038
2002-12-06,923.1578818814264
2002-12-09,920.7824710048229
2002-12-10,915.950697888656
2002-12-11,927.2084121382303
2002-12-12,924.9743504751499
2002-12-13,913.665674849928
2002-12-16,917.5908435078732
2002-12-17,913.8097761964814
2002-12-18,921.2964962839243
2002-12-19,932.9543502996607
2002-12-20,936.7256651037184
2002-12-23,935.7939103085765
2002-12-24,931.5756891909186
2002-12-25,931.5756891909186
2002-12-26,923.5541870740783
2002-12-27,912.5617740667935
2002-12-30,901.0774247730196
2002-12-31,897.7273729479493
2003-01-01,897.7273729479493
2003-01-02,915.4494767809543
2003-01-03,924.0138984489816
2003-01-06,917.2684368628796
2003-01-07,928.2051653368973
2003-01-08,934.0253896739295
2003-01-09,933.1021948048337
2003-01-10,931.6922925279468
2003-01-13,935.9045557943964
2003-01-14,930.3247796380185
