Date,EM LATIN AMERICA SMALL VALUE
1998-12-31,113.77275364424953
1999-01-01,113.77275364424953
1999-01-04,113.44706489626037
1999-01-05,113.22379559247752
1999-01-06,114.35493322751152
1999-01-07,114.00723887775516
1999-01-08,114.91265296443821
1999-01-11,113.07008923723676
1999-01-12,111.05051914941725
1999-01-13,102.88301217915813
1999-01-14,101.21545118932015
1999-01-15,104.51356471039347
1999-01-18,102.60514864252272
1999-01-19,102.46558389708495
1999-01-20,102.78449955505909
1999-01-21,99.20418269476878
1999-01-22,98.39172260438824
1999-01-25,97.31675693640389
1999-01-26,97.26120952648506
1999-01-27,97.02378343756499
1999-01-28,97.86530972856418
1999-01-29,97.56763195097223
1999-02-01,101.03166167840573
1999-02-02,102.5416786675024
1999-02-03,101.64165483434529
1999-02-04,102.00037366788702
1999-02-05,101.94409440166766
1999-02-08,100.72114174953278
1999-02-09,99.9003951859986
1999-02-10,100.51538504909753
1999-02-11,100.95959614484185
1999-02-12,100.88100718528096
1999-02-15,101.4900431775662
1999-02-16,102.30846239537325
1999-02-17,101.31231098572744
1999-02-18,101.33206035520452
1999-02-19,102.93307589234266
1999-02-22,103.13673307901936
1999-02-23,102.85240034500737
1999-02-24,102.55263923034762
1999-02-25,101.06618313540491
1999-02-26,102.14619509507324
1999-03-01,101.66614807022273
1999-03-02,100.83757245394254
1999-03-03,100.7256591754823
1999-03-04,103.36471302044998
1999-03-05,104.50677357454613
1999-03-08,105.06417884781625
1999-03-09,106.65755008581188
1999-03-10,108.09729878208941
1999-03-11,110.01161694334769
1999-03-12,109.83019917690889
1999-03-15,112.53861867396661
1999-03-16,114.33597065610185
1999-03-17,114.17662076567504
1999-03-18,115.44239682298821
1999-03-19,116.01487721101908
1999-03-22,115.60411226721179
1999-03-23,115.31139188036313
1999-03-24,115.3666946482721
1999-03-25,118.20306980758544
1999-03-26,120.35087148262753
1999-03-29,121.04541594967826
1999-03-30,121.17369051788799
1999-03-31,122.27890671489043
1999-04-01,122.3521696809173
1999-04-02,122.7664085610557
1999-04-05,124.59418023195691
1999-04-06,124.76935055970439
1999-04-07,125.47967547409705
1999-04-08,126.36139290733992
1999-04-09,127.45934369903019
1999-04-12,127.36401986169466
1999-04-13,129.2093738947312
1999-04-14,129.10888917173412
1999-04-15,132.39929479082807
1999-04-16,135.42609023271365
1999-04-19,138.25516208800957
1999-04-20,136.29072467942083
1999-04-21,137.43284286532491
1999-04-22,137.87010596961798
1999-04-23,137.23008792522438
1999-04-26,136.67647643978452
1999-04-27,135.06894612015432
1999-04-28,137.06388546492374
1999-04-29,138.66143515171257
1999-04-30,139.16751835278006
1999-05-03,140.07218614065286
1999-05-04,139.2327609443426
1999-05-05,139.22513230721964
1999-05-06,139.14774506622328
1999-05-07,141.4515374350079
1999-05-10,143.20331398101766
1999-05-11,144.49024168039568
1999-05-12,144.40890463427556
1999-05-13,146.8171444325075
1999-05-14,145.0539201251449
1999-05-17,143.74918098925335
1999-05-18,144.24718988083947
1999-05-19,142.56007777178021
1999-05-20,142.0063301650152
1999-05-21,140.61598417018592
1999-05-24,136.63635200188207
1999-05-25,133.56992350909408
1999-05-26,137.3279448116034
1999-05-27,135.84471245407855
1999-05-28,137.18588164417747
1999-05-31,138.36533220810804
1999-06-01,136.4205752208569
1999-06-02,137.22927221958503
1999-06-03,137.55643201450917
1999-06-04,139.49207670489628
1999-06-07,140.26121585174388
1999-06-08,138.2338568219512
1999-06-09,137.68523867503828
1999-06-10,136.58534678098533
1999-06-11,136.29551371077687
1999-06-14,137.80596565804242
1999-06-15,139.32306707606787
1999-06-16,143.55993357425623
1999-06-17,142.99870332032972
1999-06-18,142.31578060771528
1999-06-21,143.4050372758702
1999-06-22,143.40707161931297
1999-06-23,142.13386666768133
1999-06-24,140.1111516553016
1999-06-25,138.14907105323343
1999-06-28,139.31139084291618
1999-06-29,140.47807545578831
1999-06-30,142.71975036393877
1999-07-01,144.04924489191757
1999-07-02,146.41240546872206
1999-07-05,147.22880332030437
1999-07-06,146.73374782055407
1999-07-07,147.52318270311991
1999-07-08,146.35407089754287
1999-07-09,146.18658969708926
1999-07-12,142.26785556025274
1999-07-13,142.4117144085583
1999-07-14,142.15988251545826
1999-07-15,142.36255253361682
1999-07-16,143.95766616128702
1999-07-19,145.79597998345042
1999-07-20,140.11831249148204
1999-07-21,140.0425686780231
1999-07-22,140.65438687574598
1999-07-23,139.23630738426277
1999-07-26,135.87548832187858
1999-07-27,136.7669851471323
1999-07-28,137.51569274346068
1999-07-29,135.45222146279374
1999-07-30,135.63611176781998
1999-08-02,134.18247151389932
1999-08-03,133.6275530061936
1999-08-04,130.9857801137893
1999-08-05,129.6302343401713
1999-08-06,129.51780988314303
1999-08-09,129.79579592010128
1999-08-10,128.64286661971136
1999-08-11,130.5710690667408
1999-08-12,131.52310229417432
1999-08-13,132.71356722425872
1999-08-16,132.48313775628944
1999-08-17,132.6134470803028
1999-08-18,130.00507545494975
1999-08-19,128.42780860804203
1999-08-20,130.0141434940041
1999-08-23,136.73184126940612
1999-08-24,136.5239063638976
1999-08-25,137.82649746885406
1999-08-26,137.349921334485
1999-08-27,136.8155706027166
1999-08-30,136.89483022479726
1999-08-31,136.30061720406343
1999-09-01,136.43354174488599
1999-09-02,135.65161383382323
1999-09-03,137.3451867398778
1999-09-06,138.39088982187687
1999-09-07,137.75352805924626
1999-09-08,137.85111455452926
1999-09-09,139.1044163315891
1999-09-10,141.4916774142309
1999-09-13,142.98708648073728
1999-09-14,142.08960584363268
1999-09-15,142.2001474288882
1999-09-16,141.7939113566541
1999-09-17,142.63134338664292
1999-09-20,143.07937784066166
1999-09-21,141.3097265968275
1999-09-22,140.73890146596779
1999-09-23,141.15998050935963
1999-09-24,140.9721419472013
1999-09-27,141.47606201252407
1999-09-28,140.41335915825954
1999-09-29,139.35572745109548
1999-09-30,139.20608716125028
1999-10-01,137.85056736215165
1999-10-04,138.41588533948408
1999-10-05,138.18866523514666
1999-10-06,138.9693532689197
1999-10-07,138.84816468213074
1999-10-08,139.99459518595017
1999-10-11,140.06093171509164
1999-10-12,138.8484533492996
1999-10-13,137.10550641999117
1999-10-14,136.775489402836
1999-10-15,133.9972394041861
1999-10-18,133.38460690575357
1999-10-19,135.63281817013356
1999-10-20,136.3207706052185
1999-10-21,136.28524389529417
1999-10-22,138.97611828441498
1999-10-25,138.87983371800502
1999-10-26,139.86930306429318
1999-10-27,140.76019543070504
1999-10-28,141.82708509036976
1999-10-29,143.75623578879865
1999-11-01,144.6209464626498
1999-11-02,145.31769312384165
1999-11-03,147.34104296712766
1999-11-04,148.5867261268417
1999-11-05,150.38721303483058
1999-11-08,151.57922659188986
1999-11-09,150.9129882211361
1999-11-10,151.95145286043652
1999-11-11,152.39514588243281
1999-11-12,154.07577436770003
1999-11-15,154.9213856652031
1999-11-16,155.38223104827725
1999-11-17,153.0007164557493
1999-11-18,155.72512859405245
1999-11-19,157.33942805126696
1999-11-22,156.9740804157191
1999-11-23,157.52424170056887
1999-11-24,158.37508282759313
1999-11-25,159.79189164901453
1999-11-26,162.20581779305917
1999-11-29,163.8351038076253
