Date,EAFE VALUE WEIGHTED
1998-12-31,646.8562430537578
1999-01-01,646.8565073392167
1999-01-04,653.7930197462498
1999-01-05,658.0536618026055
1999-01-06,672.4241974898466
1999-01-07,673.7351840604944
1999-01-08,676.0330835072061
1999-01-11,673.5681795430901
1999-01-12,663.7802111634179
1999-01-13,638.9078862849576
1999-01-14,641.0795834115637
1999-01-15,649.2864122515747
1999-01-18,659.0570733519015
1999-01-19,657.2352779344334
1999-01-20,664.8174481372673
1999-01-21,661.1873866289823
1999-01-22,646.1450615905286
1999-01-25,647.1318724804964
1999-01-26,648.5077023603491
1999-01-27,652.2711694820481
1999-01-28,656.4027678224516
1999-01-29,663.5143825751331
1999-02-01,672.8112023623115
1999-02-02,673.0613543708882
1999-02-03,666.5422920932488
1999-02-04,668.0014230271922
1999-02-05,664.6077844343245
1999-02-08,663.0416590038004
1999-02-09,651.2467598705532
1999-02-10,646.0446723977389
1999-02-11,653.5946967572252
1999-02-12,659.8788410494991
1999-02-15,661.9587554434434
1999-02-16,663.0161168394233
1999-02-17,656.2126868694695
1999-02-18,655.1408625899574
1999-02-19,658.5478905180929
1999-02-22,667.3067084716281
1999-02-23,673.8291269773007
1999-02-24,677.8135794544896
1999-02-25,672.3220594572664
1999-02-26,675.3341813159645
1999-03-01,669.8508064977822
1999-03-02,668.1103752541982
1999-03-03,665.7508926082209
1999-03-04,670.0463325326439
1999-03-05,687.5804059392426
1999-03-08,685.3393172007812
1999-03-09,690.5686983494605
1999-03-10,697.1257075391375
1999-03-11,708.7789002779165
1999-03-12,709.1365729949972
1999-03-15,712.4064795267042
1999-03-16,720.1791253541276
1999-03-17,716.6591019251226
1999-03-18,711.1707927887635
1999-03-19,726.096622856391
1999-03-22,723.5143061215782
1999-03-23,715.356931681839
1999-03-24,705.5122892747231
1999-03-25,717.0888667699932
1999-03-26,719.9099870214507
1999-03-29,726.1306097860411
1999-03-30,722.611782996446
1999-03-31,728.7398598013848
1999-04-01,731.8711661006799
1999-04-02,731.3303967200696
1999-04-05,732.0951868199496
1999-04-06,741.0034112911768
1999-04-07,744.9673566535522
1999-04-08,748.7570369316505
1999-04-09,753.6695881948918
1999-04-12,747.0804426369504
1999-04-13,757.7512625757147
1999-04-14,761.487013702294
1999-04-15,762.8184007147984
1999-04-16,770.7903942013219
1999-04-19,783.5201280894186
1999-04-20,768.3121544767044
1999-04-21,765.4048245727316
1999-04-22,772.3070176491531
1999-04-23,773.7184109512448
1999-04-26,780.7782305738507
1999-04-27,787.9183843221431
1999-04-28,788.0967964645446
1999-04-29,787.8462804072564
1999-04-30,789.6216343754668
1999-05-03,791.2732020682754
1999-05-04,790.5269571935243
1999-05-05,781.0139231723791
1999-05-06,785.6766824224612
1999-05-07,778.6388099118699
1999-05-10,778.0173735275156
1999-05-11,777.0817945009558
1999-05-12,777.1222657705532
1999-05-13,779.5155551597038
1999-05-14,766.3243219947198
1999-05-17,751.000348003349
1999-05-18,755.5966630843453
1999-05-19,753.1517507182267
1999-05-20,758.4587488118118
1999-05-21,761.0309312885938
1999-05-24,760.1733753960086
1999-05-25,752.9164819469579
1999-05-26,759.1436211313467
1999-05-27,755.0092525593537
1999-05-28,756.6901243674987
1999-05-31,758.4864888251667
1999-06-01,762.9913777794317
1999-06-02,771.813522069098
1999-06-03,772.6827282095047
1999-06-04,777.5641319216362
1999-06-07,786.148551848451
1999-06-08,785.2119240372849
1999-06-09,788.8234958795362
1999-06-10,786.3017644640832
1999-06-11,795.7960700429097
1999-06-14,791.5008012154839
1999-06-15,793.2301651844517
1999-06-16,801.6554744506303
1999-06-17,807.3797752752496
1999-06-18,804.1049303165231
1999-06-21,813.1537404586887
1999-06-22,813.2096286601496
1999-06-23,804.4535542264332
1999-06-24,798.6363705995797
1999-06-25,792.5120295219523
1999-06-28,798.6057565438421
1999-06-29,801.5981109686095
1999-06-30,799.6079682718788
1999-07-01,816.647774920778
1999-07-02,822.7318438040758
1999-07-05,832.1580648360052
1999-07-06,829.3170778370002
1999-07-07,826.610300425323
1999-07-08,826.6658007356208
1999-07-09,827.8341339690613
1999-07-12,832.163203028875
1999-07-13,823.8851737314458
1999-07-14,827.9020972857845
1999-07-15,834.8776165991609
1999-07-16,831.136618130554
1999-07-19,835.4312381885935
1999-07-20,818.1762572583816
1999-07-21,807.736688082397
1999-07-22,800.0864686562932
1999-07-23,792.2965440561527
1999-07-26,779.8277779225627
1999-07-27,784.5165497154655
1999-07-28,790.0892333970652
1999-07-29,782.9280429254785
1999-07-30,794.6923915713152
1999-08-02,794.7277142199165
1999-08-03,795.1952525295872
1999-08-04,789.7414619430922
1999-08-05,775.8298743924406
1999-08-06,773.3256389883134
1999-08-09,777.6863522119161
1999-08-10,769.5013354319526
1999-08-11,772.0325625115393
1999-08-12,785.1013536607956
1999-08-13,794.5896620051809
1999-08-16,803.2923110378703
1999-08-17,806.0552529359477
1999-08-18,809.6733182904392
1999-08-19,803.1312932228994
1999-08-20,812.3912011134305
1999-08-23,824.339359169408
1999-08-24,824.1508270885163
1999-08-25,828.4995226952323
1999-08-26,825.9582028365543
1999-08-27,823.7067088726147
1999-08-30,827.6028354944724
1999-08-31,808.165192951077
1999-09-01,819.1428840349962
1999-09-02,809.0194886244457
1999-09-03,820.2080923910687
1999-09-06,828.45005063469
1999-09-07,821.789926501864
1999-09-08,820.3721671624841
1999-09-09,833.4427545085208
1999-09-10,836.9456531123288
1999-09-13,843.4644442193157
1999-09-14,837.8107155909157
1999-09-15,837.5748355638981
1999-09-16,828.745340689588
1999-09-17,826.2401077928583
1999-09-20,829.9347190965615
1999-09-21,828.344212096869
1999-09-22,816.6151548813912
1999-09-23,822.0713381299671
1999-09-24,807.3222989388318
1999-09-27,811.016918923832
1999-09-28,809.4378206033623
1999-09-29,799.6476879675718
1999-09-30,805.7053719918541
1999-10-01,805.9219049609992
1999-10-04,809.7699567370673
1999-10-05,811.4718270593784
1999-10-06,811.8001937069538
1999-10-07,816.0304167836813
1999-10-08,820.5122214488358
1999-10-11,821.1467404932563
1999-10-12,813.9754740828829
1999-10-13,802.3118186503672
1999-10-14,801.543330416315
1999-10-15,787.7193661438811
1999-10-18,778.2538498803412
1999-10-19,789.6521895892421
1999-10-20,795.678480763838
