Date,EUROPE VALUE WEIGHTED
1999-04-26,798.8268220855788
1999-04-27,811.1151383822058
1999-04-28,809.7662864378472
1999-04-29,807.4234236276602
1999-04-30,812.2569158206749
1999-05-03,816.3973632957723
1999-05-04,817.391962983959
1999-05-05,804.6871057548902
1999-05-06,802.0289939695587
1999-05-07,798.2683946566588
1999-05-10,797.1574363571383
1999-05-11,799.30825883938
1999-05-12,795.4346876800571
1999-05-13,802.1171851233959
1999-05-14,787.5534065456046
1999-05-17,774.0682314889212
1999-05-18,779.8460922058646
1999-05-19,788.3846435709753
1999-05-20,795.1616258097118
1999-05-21,794.5731337348496
1999-05-24,791.7882128188714
1999-05-25,783.0554888723727
1999-05-26,785.7304557898628
1999-05-27,778.6762413540961
1999-05-28,780.9454495092142
1999-05-31,785.086867286626
1999-06-01,784.8406054660469
1999-06-02,792.2776912498425
1999-06-03,798.1007050516769
1999-06-04,804.1336491240457
1999-06-07,810.5906932464512
1999-06-08,807.8365363523228
1999-06-09,809.7104870128032
1999-06-10,801.4837754963329
1999-06-11,810.2210856399898
1999-06-14,807.6422849583228
1999-06-15,809.292484205907
1999-06-16,817.8198792143309
1999-06-17,819.9233920481001
1999-06-18,822.018180900664
1999-06-21,831.1026293057123
1999-06-22,827.082522632187
1999-06-23,818.670851454355
1999-06-24,811.761900027155
1999-06-25,807.0725051229662
1999-06-28,809.2284106054499
1999-06-29,809.3763666156034
1999-06-30,808.9831838220974
1999-07-01,824.6922766479834
1999-07-02,828.3478970673002
1999-07-05,840.8230439039341
1999-07-06,839.5463382056835
1999-07-07,835.4304665546088
1999-07-08,835.2108143479975
1999-07-09,837.3541864286926
1999-07-12,838.8803026598322
1999-07-13,826.231288810036
1999-07-14,829.8445253104928
1999-07-15,837.7009162012191
1999-07-16,835.1741685033945
1999-07-19,833.1591566323636
1999-07-20,816.1843959451585
1999-07-21,806.0512597225264
1999-07-22,801.5536069333222
1999-07-23,793.0221272380037
1999-07-26,783.0970561341047
1999-07-27,789.2173634931607
1999-07-28,791.0480901807264
1999-07-29,776.2324292553973
1999-07-30,789.4707967440424
1999-08-02,790.7466525835475
1999-08-03,788.9046356340687
1999-08-04,788.0958617017949
1999-08-05,773.2384175011373
1999-08-06,774.412094641239
1999-08-09,781.538185343058
1999-08-10,770.1356040287592
1999-08-11,776.3218450715015
1999-08-12,790.763289112438
1999-08-13,803.2595142663156
1999-08-16,805.4450182144043
1999-08-17,806.1702224361092
1999-08-18,805.9893544641661
1999-08-19,798.04172708322
1999-08-20,805.6749733932213
1999-08-23,816.7668669269265
1999-08-24,817.0189310474823
1999-08-25,825.3315354324494
1999-08-26,826.052263069076
1999-08-27,826.6195667991931
1999-08-30,825.1030868072494
1999-08-31,809.9046420015418
1999-09-01,814.4984547703732
1999-09-02,801.8268777000341
1999-09-03,819.6847596478406
1999-09-06,825.4844863520726
1999-09-07,821.8676269958543
1999-09-08,821.1795338359049
1999-09-09,827.9472827479457
1999-09-10,829.4793178953387
1999-09-13,824.2097284571564
1999-09-14,817.1763828300403
1999-09-15,814.1953374185417
1999-09-16,809.9393605073752
1999-09-17,810.2670388668533
1999-09-20,813.2022141670568
1999-09-21,802.1304612719946
1999-09-22,797.0155884521955
1999-09-23,802.6349228281115
1999-09-24,792.8534319460135
1999-09-27,804.7392654498794
1999-09-28,794.7624775061022
1999-09-29,788.495757304511
1999-09-30,789.6518717361307
1999-10-01,786.105097538122
1999-10-04,795.8176514918548
1999-10-05,799.7541895883821
1999-10-06,801.3487679673847
1999-10-07,806.536117059251
1999-10-08,807.1448927888022
1999-10-11,806.6851404270546
1999-10-12,796.9861523320599
1999-10-13,789.4942048068228
1999-10-14,784.7476254781658
1999-10-15,770.3507887355474
1999-10-18,764.2305411975542
1999-10-19,780.3789908596725
1999-10-20,781.2760533072004
1999-10-21,776.483187794974
1999-10-22,790.8478138667311
1999-10-25,786.6897600721486
1999-10-26,795.4192506015804
1999-10-27,793.0124194548525
1999-10-28,805.6116638386756
1999-10-29,818.046343106037
1999-11-01,818.7848030232436
1999-11-02,819.6315248405284
1999-11-03,823.17593858944
1999-11-04,829.9954283485562
1999-11-05,828.8330820654717
1999-11-08,828.428373351279
1999-11-09,831.2561472695876
1999-11-10,835.1904528703934
1999-11-11,844.3171808129866
1999-11-12,844.4972859237565
1999-11-15,851.2994789049078
1999-11-16,857.1868659313412
1999-11-17,855.4554182402276
1999-11-18,861.3870725091095
1999-11-19,859.8951071923054
1999-11-22,850.3623296156768
1999-11-23,856.2465665318651
1999-11-24,855.7799794198322
1999-11-25,868.8969970263995
1999-11-26,870.8507562867667
1999-11-29,870.9215049112944
1999-11-30,860.249060136436
1999-12-01,866.6896508543315
1999-12-02,869.5445339227588
1999-12-03,882.0008741813211
1999-12-06,875.0820868284598
1999-12-07,875.1496807710756
1999-12-08,870.1932704215226
1999-12-09,873.4283431514248
1999-12-10,874.5527488769635
1999-12-13,879.5611472714758
1999-12-14,883.8097458358094
1999-12-15,881.399397158947
1999-12-16,885.8745776030567
1999-12-17,891.3880222425779
1999-12-20,892.7031173155159
1999-12-21,890.745568908571
1999-12-22,898.2555930912707
1999-12-23,910.819555817227
1999-12-24,914.9707454187154
1999-12-27,916.6782805323853
1999-12-28,918.9571000835508
1999-12-29,923.4830139681471
1999-12-30,933.5276425291237
1999-12-31,933.5276425291237
2000-01-03,926.2077028902531
2000-01-04,896.2227395072413
2000-01-05,883.0805728462078
2000-01-06,882.846200564185
2000-01-07,898.6883618836073
2000-01-10,907.1472789819712
2000-01-11,899.5202087497454
2000-01-12,896.4998461392537
2000-01-13,898.0557686526004
2000-01-14,911.6130769954106
2000-01-17,912.4585922159248
2000-01-18,895.670932300042
2000-01-19,892.2478056507251
2000-01-20,887.5317975607755
2000-01-21,884.6310350792006
2000-01-24,883.7784647404515
2000-01-25,867.4272900652136
2000-01-26,873.8050268728904
2000-01-27,885.3548638923762
2000-01-28,880.4198080827448
2000-01-31,863.866958172577
2000-02-01,873.5573182702482
2000-02-02,880.1381968333466
2000-02-03,890.0565075635461
2000-02-04,886.2762472018131
2000-02-07,879.0154222513632
2000-02-08,892.8339714693471
2000-02-09,889.8561696007591
2000-02-10,888.9951285347498
2000-02-11,885.2609459198077
2000-02-14,880.6854851127003
2000-02-15,869.9721146625977
2000-02-16,883.3332773233391
2000-02-17,891.6122053861704
2000-02-18,886.519888226758
2000-02-21,879.0677921059653
2000-02-22,873.6703820393509
2000-02-23,883.1713601356666
2000-02-24,879.9086994123202
2000-02-25,892.5338400560726
2000-02-28,886.8114066272282
2000-02-29,897.1102571828745
2000-03-01,906.6006796564317
2000-03-02,919.2894682294748
2000-03-03,924.1431557733459
2000-03-06,927.4877101467334
2000-03-07,920.0426617968394
2000-03-08,913.4892725253336
2000-03-09,911.90974990781
2000-03-10,913.9477536612867
2000-03-13,897.4760116204732
2000-03-14,901.3927626963069
2000-03-15,889.8523156293581
2000-03-16,915.3855307046483
2000-03-17,916.2676288564369
2000-03-20,920.0521396999277
2000-03-21,924.1534336205008
2000-03-22,927.4435653432776
2000-03-23,922.5936135155932
2000-03-24,939.7334204591295
2000-03-27,938.4338004890046
2000-03-28,941.7755412850989
2000-03-29,942.3297595459456
2000-03-30,928.9806866993032
2000-03-31,934.3701535366898
2000-04-03,926.5085541306815
2000-04-04,938.9687637600653
2000-04-05,919.4673429555779
2000-04-06,927.7633418752124
2000-04-07,934.0100930774504
2000-04-10,934.2080927803682
2000-04-11,925.3046722037113
2000-04-12,928.0295636397066
2000-04-13,931.5393360521792
2000-04-14,913.3179490962467
2000-04-17,898.6838368042465
2000-04-18,905.9963208599997
2000-04-19,912.41018541762
2000-04-20,918.9354671149201
2000-04-21,918.9354671149201
2000-04-24,918.9254441005683
2000-04-25,933.6204745977917
2000-04-26,940.236555942741
2000-04-27,931.3058192382296
2000-04-28,942.9651377628932
2000-05-01,942.9682503198662
2000-05-02,957.2547836850578
2000-05-03,950.3645844504588
2000-05-04,949.1311695590545
2000-05-05,950.9195619095501
2000-05-08,947.7495642953163
2000-05-09,938.8754410885637
2000-05-10,928.7858294025167
2000-05-11,942.00708880766
2000-05-12,950.3506222549685
2000-05-15,943.7409358787978
2000-05-16,959.4008529585035
2000-05-17,949.8000943437942
2000-05-18,951.5543006942219
2000-05-19,933.2183056611278
2000-05-22,924.3605575678195
2000-05-23,926.2297105533295
2000-05-24,920.7525603456646
2000-05-25,931.8485320305481
2000-05-26,922.9617296503844
2000-05-29,929.0934386887835
2000-05-30,936.7621456086573
2000-05-31,937.9756816209176
2000-06-01,945.6927682071141
2000-06-02,957.4620505533463
2000-06-05,955.1312855156009
2000-06-06,951.5543676163802
2000-06-07,949.1515456332733
2000-06-08,947.0050463957342
2000-06-09,946.0794849643688
2000-06-12,945.0908082274174
2000-06-13,944.9999709950355
2000-06-14,951.0074946079071
2000-06-15,948.5134418758986
2000-06-16,942.4727065927158
2000-06-19,940.395315977715
2000-06-20,943.1961211680979
2000-06-21,935.6958440428277
2000-06-22,934.7845407576342
2000-06-23,934.5963643492328
2000-06-26,937.3054980425143
2000-06-27,932.6217462004197
2000-06-28,936.7854368059737
2000-06-29,925.3120046151553
2000-06-30,931.6300827721683
2000-07-03,942.8641410066396
2000-07-04,944.5052868441753
2000-07-05,938.9919667544297
2000-07-06,941.1018379113125
2000-07-07,952.4661313178722
2000-07-10,950.3600510607457
2000-07-11,951.2530255042473
2000-07-12,957.7899187613594
