Date,WORLD VALUE WEIGHTED
1998-12-31,713.4138099661914
1999-01-01,713.4139713754314
1999-01-04,716.4359401532546
1999-01-05,723.2739249469598
1999-01-06,741.5708579906786
1999-01-07,743.8392611414035
1999-01-08,751.4577865110149
1999-01-11,747.8285001940568
1999-01-12,735.62399046253
1999-01-13,713.4292675829668
1999-01-14,708.9418960701895
1999-01-15,724.1223834102675
1999-01-18,730.0856976047902
1999-01-19,729.2504742985182
1999-01-20,734.6977398489695
1999-01-21,728.0048781017009
1999-01-22,716.311932207499
1999-01-25,719.3204052198581
1999-01-26,722.8683993198904
1999-01-27,723.5892898381073
1999-01-28,732.5965690951568
1999-01-29,742.3386828691938
1999-02-01,747.839014025167
1999-02-02,743.2437337359637
1999-02-03,742.406837731293
1999-02-04,740.9266573897697
1999-02-05,737.7306550717009
1999-02-08,738.4739370097121
1999-02-09,723.6916466153541
1999-02-10,721.2186427153426
1999-02-11,732.3974458187873
1999-02-12,731.8551394897811
1999-02-15,734.3970479888534
1999-02-16,738.8578358387524
1999-02-17,730.008520636384
1999-02-18,733.3321975453131
1999-02-19,739.694825737281
1999-02-22,754.7311145440765
1999-02-23,759.4416543118938
1999-02-24,758.397094935272
1999-02-25,750.1687149132206
1999-02-26,752.7118412067184
1999-03-01,750.3997118406274
1999-03-02,747.9558286441319
1999-03-03,746.5999923393864
1999-03-04,756.8972409438314
1999-03-05,774.7034858050092
1999-03-08,773.2616308863774
1999-03-09,775.1777207999771
1999-03-10,779.7464610592198
1999-03-11,793.600907202996
1999-03-12,789.4412214579891
1999-03-15,794.2117494581962
1999-03-16,799.394345607485
1999-03-17,792.3568624965252
1999-03-18,794.3258800463751
1999-03-19,801.4025814312389
1999-03-22,799.9934489624468
1999-03-23,786.7277974728825
1999-03-24,781.3051296499406
1999-03-25,794.6016224223731
1999-03-26,799.3212162590369
1999-03-29,809.4038180733183
1999-03-30,802.5050269206469
1999-03-31,801.9005633451277
1999-04-01,804.645557343685
1999-04-02,805.2058781704521
1999-04-05,814.5261284982046
1999-04-06,817.1180843499975
1999-04-07,821.3839545888986
1999-04-08,827.2664212315859
1999-04-09,832.8583096559181
1999-04-12,830.5374794527982
1999-04-13,837.7864731791159
1999-04-14,837.3348939528029
1999-04-15,842.2529645405501
1999-04-16,849.1473139245951
1999-04-19,858.021443508433
1999-04-20,849.2475208012717
1999-04-21,855.6978196518266
1999-04-22,863.7638361393622
1999-04-23,862.2711423570457
1999-04-26,867.1568648008254
1999-04-27,871.941383327261
1999-04-28,873.2499026367443
1999-04-29,874.7562620973233
1999-04-30,872.7585360500261
1999-05-03,881.8794480357228
