Date,EMU VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0011443862481
1999-01-04,1047.8412225936963
1999-01-05,1059.8972255702104
1999-01-06,1080.8323517705537
1999-01-07,1063.9138890789054
1999-01-08,1065.0099464628872
1999-01-11,1047.645885144904
1999-01-12,1032.604482115503
1999-01-13,983.3407284900422
1999-01-14,987.0540682494155
1999-01-15,999.4826772949431
1999-01-18,1023.1773613486023
1999-01-19,1021.7644914370001
1999-01-20,1032.3366726412737
1999-01-21,1023.2825927606383
1999-01-22,992.1087375379246
1999-01-25,992.5530307340723
1999-01-26,991.9696545366736
1999-01-27,1000.0306344887911
1999-01-28,1016.1206724277415
1999-01-29,1020.7883352284138
1999-02-01,1033.054190809415
1999-02-02,1022.183987068341
1999-02-03,1012.5166667567544
1999-02-04,1014.2408727389931
1999-02-05,1017.7224644261153
1999-02-08,1014.2107533497968
1999-02-09,989.0248948403985
1999-02-10,982.3363976013771
1999-02-11,996.056299556445
1999-02-12,1001.2259278420569
1999-02-15,1003.3329153422545
1999-02-16,1002.0993095718437
1999-02-17,989.5694644002469
1999-02-18,992.6289315146863
1999-02-19,1001.1637821555826
1999-02-22,1014.547070969303
1999-02-23,1028.0263384692046
1999-02-24,1029.8638970501195
1999-02-25,1017.647211761446
1999-02-26,1015.383178318004
1999-03-01,1000.7973960970825
1999-03-02,1005.0170625289513
1999-03-03,991.8475494352174
1999-03-04,1002.8327849962716
1999-03-05,1026.4921766876032
1999-03-08,1018.7194777661506
1999-03-09,1018.2661014535963
1999-03-10,1018.5000371610872
1999-03-11,1032.1788670057267
1999-03-12,1040.7344785024402
1999-03-15,1045.247573823533
1999-03-16,1052.2352421775602
1999-03-17,1047.809235262889
1999-03-18,1046.0309451963494
1999-03-19,1060.1655798309223
1999-03-22,1054.4091808098688
1999-03-23,1031.426200601016
1999-03-24,1020.2579808039825
1999-03-25,1038.3176716823086
1999-03-26,1029.158533601927
1999-03-29,1042.826074855522
1999-03-30,1040.5537866476102
1999-03-31,1048.967084056565
1999-04-01,1049.813262158391
1999-04-02,1049.813262158391
1999-04-05,1049.820929857877
1999-04-06,1065.31484357221
1999-04-07,1069.3060486511556
1999-04-08,1068.522659898475
1999-04-09,1073.3380147844991
1999-04-12,1072.8509804986495
1999-04-13,1082.542107737569
1999-04-14,1080.4057988132927
1999-04-15,1078.1881714469432
1999-04-16,1079.8823004064252
1999-04-19,1096.3154973707192
1999-04-20,1074.8540120037478
1999-04-21,1083.1258994250352
1999-04-22,1086.9509013218249
1999-04-23,1085.0578054971002
1999-04-26,1089.1459894909356
1999-04-27,1110.7967641908717
1999-04-28,1106.2224705212336
1999-04-29,1107.2914568842375
1999-04-30,1111.9724604356918
1999-05-03,1117.9895052094435
1999-05-04,1120.8294073146592
1999-05-05,1105.31789321064
1999-05-06,1104.360900138484
1999-05-07,1103.2079437055768
1999-05-10,1105.4338835089163
1999-05-11,1106.6430539897412
1999-05-12,1099.9074892766448
1999-05-13,1104.5132400923742
1999-05-14,1091.0168240389764
1999-05-17,1071.155067402487
1999-05-18,1078.4889483025331
1999-05-19,1092.3550090145882
1999-05-20,1101.1309610253734
1999-05-21,1102.7311785235145
1999-05-24,1100.838406130382
1999-05-25,1090.4218526085851
1999-05-26,1090.2127782589696
1999-05-27,1076.6242401753022
1999-05-28,1078.6284079497445
1999-05-31,1084.4291608534513
1999-06-01,1080.0675407598333
1999-06-02,1082.1743220963044
1999-06-03,1091.011173094079
1999-06-04,1096.975401432733
1999-06-07,1108.2348872368086
1999-06-08,1109.2278014837045
1999-06-09,1113.6685072448067
1999-06-10,1104.2244370828782
1999-06-11,1113.6449667550946
1999-06-14,1108.7495764911234
1999-06-15,1116.233289284689
1999-06-16,1124.4782078106705
1999-06-17,1128.640005676483
1999-06-18,1132.3627229313308
1999-06-21,1143.133768202467
1999-06-22,1138.4236044490076
1999-06-23,1129.9313830932897
1999-06-24,1120.9921467965253
1999-06-25,1116.3909052389877
1999-06-28,1119.683705116776
1999-06-29,1124.948462365037
1999-06-30,1126.4195989655234
1999-07-01,1142.907847283283
1999-07-02,1145.311951895952
1999-07-05,1166.5900225847788
1999-07-06,1166.3855092069798
1999-07-07,1162.572027274933
1999-07-08,1161.9557462837752
1999-07-09,1169.0496526649245
1999-07-12,1170.5214922517393
1999-07-13,1154.3290827462815
1999-07-14,1159.3869847409462
1999-07-15,1169.4093589008028
1999-07-16,1165.480261622284
1999-07-19,1165.1563747022808
1999-07-20,1144.341326841641
1999-07-21,1129.6354288429775
1999-07-22,1119.1786726663568
1999-07-23,1110.3952093231064
1999-07-26,1094.343986952249
1999-07-27,1098.3330471264853
1999-07-28,1099.9627742993025
1999-07-29,1075.3600765978772
1999-07-30,1091.1792070974006
1999-08-02,1088.6971569336947
1999-08-03,1085.2650513315655
1999-08-04,1086.6208042559972
1999-08-05,1067.8371454829964
1999-08-06,1070.4762799270532
1999-08-09,1085.8325278012808
1999-08-10,1071.0827131420867
1999-08-11,1076.4133575248864
1999-08-12,1098.0143636785363
1999-08-13,1116.6195320831741
1999-08-16,1120.5625150521953
1999-08-17,1125.629371824229
