Date,WORLD ex EUROPE VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,991.1221646499871
1999-01-05,999.4977319461714
1999-01-06,1025.0224040620926
1999-01-07,1037.5175943002398
1999-01-08,1050.9811270188648
1999-01-11,1050.9450790443248
1999-01-12,1031.9160451189432
1999-01-13,1006.6006769637636
1999-01-14,996.2376117584424
1999-01-15,1021.2378054367618
1999-01-18,1022.5359903600986
1999-01-19,1022.9536818636082
1999-01-20,1029.6860914465653
1999-01-21,1021.1613946201387
1999-01-22,1010.012612281127
1999-01-25,1014.9184150912367
1999-01-26,1023.1610391083717
1999-01-27,1021.4241063511527
1999-01-28,1033.9322887186715
1999-01-29,1051.7779220766133
1999-02-01,1054.2328416412145
1999-02-02,1045.8529930022687
1999-02-03,1049.6210898972695
1999-02-04,1044.9770878637873
1999-02-05,1038.6669939492042
1999-02-08,1042.8426594985183
1999-02-09,1021.6933429034407
1999-02-10,1020.3851545448248
1999-02-11,1037.3088954551465
1999-02-12,1030.9492732245285
1999-02-15,1033.6670462385857
1999-02-16,1039.4602384361383
1999-02-17,1025.5233831782664
1999-02-18,1032.2958799922867
1999-02-19,1043.5941538925842
1999-02-22,1070.6276547735008
1999-02-23,1074.2510410492894
1999-02-24,1066.8447200815774
1999-02-25,1057.2194452256283
1999-02-26,1062.9213748991635
1999-03-01,1064.2414082768205
1999-03-02,1055.4958033802277
1999-03-03,1055.6930455458132
1999-03-04,1072.3387836306713
1999-03-05,1099.8110399149546
1999-03-08,1100.4776074233284
1999-03-09,1103.2660673216233
1999-03-10,1112.802734519048
1999-03-11,1132.3458735378495
1999-03-12,1122.5027637022654
1999-03-15,1136.202165135405
1999-03-16,1144.462714825206
1999-03-17,1133.4023540889546
1999-03-18,1139.0975079201153
1999-03-19,1147.216683635065
1999-03-22,1147.0400873404535
1999-03-23,1127.7451147765576
1999-03-24,1120.077066364415
1999-03-25,1140.295902762611
1999-03-26,1151.3187762454188
1999-03-29,1165.058235629243
1999-03-30,1152.4848123530396
1999-03-31,1146.9130651301566
1999-04-01,1154.2667081419638
1999-04-02,1155.1932169420893
1999-04-05,1175.0274862127565
1999-04-06,1174.5703640881973
1999-04-07,1179.55609916529
1999-04-08,1191.0491752937116
1999-04-09,1198.6778932013785
1999-04-12,1195.7940667154035
1999-04-13,1204.049157910976
1999-04-14,1203.7051889346094
1999-04-15,1213.73243959779
1999-04-16,1227.4110567329
1999-04-19,1235.0212408611058
1999-04-20,1230.413657020183
1999-04-21,1243.0734490835202
1999-04-22,1255.219199065269
1999-04-23,1252.5635278638272
1999-04-26,1258.34440154797
1999-04-27,1258.6451414403014
1999-04-28,1262.6962224785748
1999-04-29,1268.0265521957808
1999-04-30,1259.506886928691
1999-05-03,1276.3274161871059
1999-05-04,1259.8207479725997
1999-05-05,1260.2540156876228
1999-05-06,1254.7751596712847
1999-05-07,1253.124855368915
1999-05-10,1250.3528743062586
1999-05-11,1259.5927776907522
1999-05-12,1268.5828035606878
1999-05-13,1274.4696738829596
1999-05-14,1244.8397547442505
1999-05-17,1236.510459177262
1999-05-18,1234.9178203624663
1999-05-19,1232.303181145231
1999-05-20,1235.4240001168687
1999-05-21,1243.1058354936758
1999-05-24,1230.901319952163
1999-05-25,1212.2673833436618
1999-05-26,1239.8838920451685
1999-05-27,1225.0577874472767
1999-05-28,1235.9114058664773
1999-05-31,1237.3995687781724
1999-06-01,1237.7418443176068
1999-06-02,1253.2407327749324
1999-06-03,1253.7530441870215
1999-06-04,1273.38083428247
1999-06-07,1285.308230819051
1999-06-08,1265.566960716972
1999-06-09,1266.9096400229396
1999-06-10,1258.8363126636377
1999-06-11,1259.4712034920674
1999-06-14,1264.2553140599648
1999-06-15,1270.4031838890928
1999-06-16,1297.3757285030883
1999-06-17,1307.2618961541605
1999-06-18,1295.6947936384986
1999-06-21,1305.2234952903034
1999-06-22,1303.0959135777584
1999-06-23,1293.48136001854
1999-06-24,1277.3467931694624
1999-06-25,1264.2347581780882
1999-06-28,1287.6190290333293
1999-06-29,1304.7025588655779
1999-06-30,1313.4545405698852
1999-07-01,1335.7248049783736
1999-07-02,1351.4029928160992
1999-07-05,1353.835895565026
1999-07-06,1346.8687151153008
1999-07-07,1350.20824390533
1999-07-08,1351.882732457447
1999-07-09,1354.883747586674
1999-07-12,1362.0491083857057
1999-07-13,1353.32316807773
1999-07-14,1354.7754531031133
1999-07-15,1359.6828716295774
1999-07-16,1363.9691077162774
1999-07-19,1371.1756184530725
1999-07-20,1325.6399129942474
1999-07-21,1310.8665668363813
1999-07-22,1298.677962869831
1999-07-23,1294.6485009166406
1999-07-26,1266.9336925864757
1999-07-27,1277.8874409065675
1999-07-28,1284.9712310070602
1999-07-29,1265.8334344709745
1999-07-30,1263.987838261655
1999-08-02,1267.4918154357695
1999-08-03,1266.914327102
1999-08-04,1243.7800522425543
1999-08-05,1238.3432982565723
