Date,WORLD ex AUSTRALIA VALUE WEIGHTED
1998-12-31,697.8603280043069
1999-01-01,697.8604887046885
1999-01-04,700.730343754022
1999-01-05,707.5856038614402
1999-01-06,725.3972646633916
1999-01-07,727.3352675725841
1999-01-08,734.9774370327711
1999-01-11,731.1728669409264
1999-01-12,719.004503278032
1999-01-13,697.4320132588639
1999-01-14,693.0143654739068
1999-01-15,707.9902705182903
1999-01-18,713.8465508665482
1999-01-19,712.8134605856937
1999-01-20,718.0633784337882
1999-01-21,711.493444758211
1999-01-22,700.0254836643749
1999-01-25,703.1485972789844
1999-01-26,706.7212899849068
1999-01-27,707.266349936073
1999-01-28,716.0669826277116
1999-01-29,725.5940254175624
1999-02-01,730.7074496655707
1999-02-02,726.2068573918431
1999-02-03,725.2801110379852
1999-02-04,723.5663886150807
1999-02-05,720.3548308639693
1999-02-08,721.1172495049098
1999-02-09,706.5643687922642
1999-02-10,704.3857016225645
1999-02-11,715.3482147635964
1999-02-12,714.7496857092592
1999-02-15,717.3180787685208
1999-02-16,721.9104031230781
1999-02-17,713.1415743596082
1999-02-18,716.4512767741695
1999-02-19,722.3689508905636
1999-02-22,737.2610010589816
1999-02-23,741.8558278645356
1999-02-24,740.8615062008582
1999-02-25,733.0351408880255
1999-02-26,735.7450009884795
1999-03-01,733.2780364781502
1999-03-02,730.8856944299258
1999-03-03,729.4835731780856
1999-03-04,739.6763546679994
1999-03-05,757.2381719425175
1999-03-08,755.6479352167378
1999-03-09,757.4731734685263
1999-03-10,762.086468129115
1999-03-11,775.6687291830629
1999-03-12,771.5628762745533
1999-03-15,776.2239784011231
1999-03-16,781.4645998407744
1999-03-17,774.6360800185164
1999-03-18,776.5020066324719
1999-03-19,783.407826761031
1999-03-22,781.8865975306206
1999-03-23,768.5402807294129
1999-03-24,763.2272281397769
1999-03-25,776.3205138712075
1999-03-26,780.846703956259
1999-03-29,791.0197900745756
1999-03-30,784.2740862012816
1999-03-31,783.7694777681838
1999-04-01,786.3263416711881
1999-04-02,786.9236998573626
1999-04-05,796.1458004990396
1999-04-06,798.5012708584079
1999-04-07,802.7773181271812
1999-04-08,808.6369048483566
1999-04-09,814.0335296893732
1999-04-12,811.7987799680118
1999-04-13,818.6892001493544
1999-04-14,818.1788736577133
1999-04-15,822.949863037119
1999-04-16,829.4448744454402
1999-04-19,837.9232351935793
1999-04-20,829.469500742498
1999-04-21,835.983897764671
1999-04-22,843.6664658666987
1999-04-23,842.1776478643716
1999-04-26,847.067303851792
1999-04-27,851.744895696933
1999-04-28,853.0102772735681
1999-04-29,854.3662439408657
1999-04-30,852.2577924145597
1999-05-03,861.4264222189996
1999-05-04,854.3910254493765
1999-05-05,850.1484042901113
1999-05-06,846.5908946776387
1999-05-07,844.6995693249926
1999-05-10,843.115198763555
1999-05-11,847.9442721171125
1999-05-12,850.3727162699639
1999-05-13,855.3593896453451
1999-05-14,836.6642163254121
1999-05-17,828.1669543851245
1999-05-18,829.4393044120609
1999-05-19,831.7645697880788
1999-05-20,835.8442777299636
1999-05-21,839.0380976177698
1999-05-24,832.583547851766
1999-05-25,821.2933444320896
1999-05-26,834.6127763412692
1999-05-27,825.3789736836662
1999-05-28,831.0587387130879
