Date,KOKUSAI VALUE WEIGHTED
1998-12-31,730.9611715987228
1999-01-01,730.9613636047691
1999-01-04,737.5148875222054
1999-01-05,746.2437946909663
1999-01-06,767.1708397976752
1999-01-07,766.6476068744698
1999-01-08,776.1328599766932
1999-01-11,769.5192931869041
1999-01-12,757.7573418298896
1999-01-13,734.6514331673432
1999-01-14,727.3513651716169
1999-01-15,744.8293072945859
1999-01-18,751.859397484134
1999-01-19,750.9113217570542
1999-01-20,755.0243003036819
1999-01-21,745.2883655822759
1999-01-22,733.2476277751902
1999-01-25,736.0972300806737
1999-01-26,739.264094156932
1999-01-27,740.0841739758323
1999-01-28,751.3325562895868
1999-01-29,760.3713900977634
1999-02-01,766.041575371998
1999-02-02,759.0107098451055
1999-02-03,759.5232803524591
1999-02-04,757.8619191789195
1999-02-05,755.5705863002482
1999-02-08,756.0275937039738
1999-02-09,740.5033351069249
1999-02-10,738.1486344075654
1999-02-11,750.9632792447002
1999-02-12,749.1977458790567
1999-02-15,752.3157929627554
1999-02-16,758.9685899855772
1999-02-17,750.1889766701239
1999-02-18,755.1251908987036
1999-02-19,762.2040246873282
1999-02-22,777.5849319481963
1999-02-23,782.510255741428
1999-02-24,781.5600016080023
1999-02-25,770.4135997053661
1999-02-26,771.5779295797313
1999-03-01,770.147955488453
1999-03-02,769.9733916789065
1999-03-03,768.4000192888025
1999-03-04,781.1980127856451
1999-03-05,796.7299811941618
1999-03-08,794.8751828540319
1999-03-09,794.6678679369462
1999-03-10,795.9570674219765
1999-03-11,810.423555314061
1999-03-12,805.6525173535434
1999-03-15,807.5773416189007
1999-03-16,809.9708041506852
1999-03-17,801.1063772810684
1999-03-18,806.2923929624311
1999-03-19,809.0659507368541
1999-03-22,808.0990027853868
1999-03-23,792.9664086043637
1999-03-24,790.4832624320576
1999-03-25,803.39856313003
1999-03-26,807.0260227452023
1999-03-29,818.7502142357239
1999-03-30,812.0803614801617
1999-03-31,809.1049375085912
1999-04-01,809.9217595367895
1999-04-02,811.153065951356
1999-04-05,822.5865653480693
1999-04-06,822.7251975313617
1999-04-07,828.2561388161124
1999-04-08,833.3816849125441
1999-04-09,840.1588713046444
1999-04-12,840.5291803278327
1999-04-13,846.5998828546407
1999-04-14,843.0478323173159
1999-04-15,849.1358217761127
1999-04-16,854.4980719693384
1999-04-19,864.0720423935503
1999-04-20,855.0815231977901
1999-04-21,866.3449608371908
1999-04-22,875.5144359149484
1999-04-23,871.9610997131988
1999-04-26,875.917434561047
1999-04-27,882.6339645505449
1999-04-28,882.9042758693691
1999-04-29,884.0374953732417
1999-04-30,883.394998412945
1999-05-03,895.0548986297612
1999-05-04,888.2971608612672
1999-05-05,883.9689660580373
1999-05-06,875.2159623937467
1999-05-07,874.0772626402023
1999-05-10,871.8883020556791
1999-05-11,879.5795577466438
1999-05-12,881.614622609266
1999-05-13,889.2959815035995
1999-05-14,869.3092164437385
1999-05-17,863.0306976532086
1999-05-18,864.1645571953914
1999-05-19,871.2182632012668
1999-05-20,874.8979521056002
1999-05-21,876.6768816861589
1999-05-24,868.3960892688215
1999-05-25,854.9572701671143
1999-05-26,868.297427665943
1999-05-27,857.0258804278817
1999-05-28,863.2001406002008
1999-05-31,866.3489082654746
1999-06-01,863.3326152831105
1999-06-02,872.640694805691
1999-06-03,877.9337004790401
1999-06-04,890.4851515109663
1999-06-07,897.5082496337526
1999-06-08,885.0011254574882
1999-06-09,885.0609894051101
1999-06-10,874.9083612748227
1999-06-11,876.4993536144335
1999-06-14,879.9107494127331
1999-06-15,883.0384875711644
1999-06-16,899.7191554522541
1999-06-17,903.354501399971
1999-06-18,901.0150659674549
1999-06-21,909.1394023351183
1999-06-22,904.8395697818991
1999-06-23,898.4644887555041
1999-06-24,887.2526898120773
1999-06-25,880.1263189933836
1999-06-28,890.6971713137385
1999-06-29,897.7264830066264
1999-06-30,902.9222829842668
1999-07-01,917.5631886715465
1999-07-02,926.3278082204855
1999-07-05,932.8308101624066
1999-07-06,929.6597866000002
1999-07-07,929.156947093579
1999-07-08,930.1401583316963
1999-07-09,932.4982800070907
1999-07-12,934.4839285361986
1999-07-13,923.7944987636429
1999-07-14,924.0726799722742
1999-07-15,929.063953183706
1999-07-16,931.1030158969711
1999-07-19,930.0079598343573
1999-07-20,902.4226031390733
1999-07-21,892.0228759568138
1999-07-22,886.6480100028833
1999-07-23,881.7236607502629
1999-07-26,865.4688433222532
1999-07-27,873.827526232827
1999-07-28,875.871009262496
1999-07-29,857.4023553870278
1999-07-30,860.0165083061435
1999-08-02,863.2378730671545
1999-08-03,861.5019135816106
1999-08-04,851.9814130267353
1999-08-05,844.7203387323628
1999-08-06,841.1709660600335
1999-08-09,847.4438545452338
1999-08-10,834.716490387574
1999-08-11,846.1277795257988
1999-08-12,852.748430313231
1999-08-13,870.3263385153532
1999-08-16,873.2005217444178
1999-08-17,879.9229145799944
1999-08-18,875.724867224508
1999-08-19,865.9044588500756
1999-08-20,873.0059886101197
1999-08-23,888.7090603522852
1999-08-24,891.858090953984
1999-08-25,901.9250976733061
1999-08-26,897.4279629863098
1999-08-27,891.8119422956623
1999-08-30,883.3247343553722
1999-08-31,867.3298220203314
1999-09-01,872.0001609070937
1999-09-02,856.5395494743219
1999-09-03,880.9182120426532
1999-09-06,885.5093827257754
1999-09-07,880.5345111343258
1999-09-08,878.5550014351385
1999-09-09,885.5431551312664
1999-09-10,890.9459998697179
1999-09-13,890.8734170664951
1999-09-14,881.9658263488496
1999-09-15,876.2106732571547
1999-09-16,872.391290741119
1999-09-17,877.3050380481329
1999-09-20,876.8484941613518
1999-09-21,859.8103116741685
1999-09-22,854.9680508290252
