Date,EAFE ex JAPAN VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000544699667
1999-01-04,1022.6949643801153
1999-01-05,1033.136991558353
1999-01-06,1060.3532130784602
1999-01-07,1053.9935623010294
1999-01-08,1059.9159854813104
1999-01-11,1048.3866391893412
1999-01-12,1035.9937895466312
1999-01-13,994.0887403572749
1999-01-14,993.0359239891018
1999-01-15,1008.2963895758274
1999-01-18,1028.2146704258753
1999-01-19,1024.5955265035996
1999-01-20,1033.5409475022875
1999-01-21,1021.0836738296065
1999-01-22,995.3918484016531
1999-01-25,995.3749928356923
1999-01-26,995.2466866483604
1999-01-27,1002.8803988007057
1999-01-28,1012.8805846689629
1999-01-29,1020.3501216685374
1999-02-01,1037.0201347838395
1999-02-02,1033.1406637378682
1999-02-03,1023.9668662764014
1999-02-04,1027.2501514344135
1999-02-05,1024.5149198941606
1999-02-08,1020.0885282038122
1999-02-09,1001.6120770207284
1999-02-10,992.5558179760624
1999-02-11,1006.7310042571712
1999-02-12,1016.5175408285614
1999-02-15,1021.0623949122356
1999-02-16,1027.021125940144
1999-02-17,1017.935290103653
1999-02-18,1018.48908105487
1999-02-19,1024.120335538855
1999-02-22,1035.0943364692923
1999-02-23,1046.6113826730318
1999-02-24,1055.6374398854011
1999-02-25,1040.5190445284522
1999-02-26,1041.4847772259834
1999-03-01,1033.9122044314379
1999-03-02,1038.0094948600536
1999-03-03,1033.2642722923945
1999-03-04,1043.6342914865656
1999-03-05,1063.8374129669803
1999-03-08,1058.8333308700944
1999-03-09,1062.6132662730708
1999-03-10,1064.4349537821079
1999-03-11,1082.7504228452467
1999-03-12,1083.989162283534
1999-03-15,1080.1560411823116
1999-03-16,1085.5343379402534
1999-03-17,1076.9012107912283
1999-03-18,1073.6062763076923
1999-03-19,1088.443557465764
1999-03-22,1085.1242656458955
1999-03-23,1070.1592559398089
1999-03-24,1061.062928090382
1999-03-25,1076.7212513043246
1999-03-26,1076.931999437737
1999-03-29,1088.9822839368705
1999-03-30,1086.0629929671336
1999-03-31,1092.3169978427838
1999-04-01,1091.864179915178
1999-04-02,1092.3403703015636
1999-04-05,1094.8847919033933
1999-04-06,1104.9358922533122
1999-04-07,1114.3825495382584
1999-04-08,1116.9088012445422
1999-04-09,1127.3749773212237
1999-04-12,1122.6245362561435
1999-04-13,1137.4070245879238
1999-04-14,1136.610074223748
1999-04-15,1140.0164795086152
1999-04-16,1148.4329743640099
1999-04-19,1171.8778731856178
1999-04-20,1144.634659504258
1999-04-21,1148.7518558673714
1999-04-22,1161.76186772852
1999-04-23,1159.6635210127815
1999-04-26,1168.9739266108072
1999-04-27,1186.5670794789694
1999-04-28,1183.307885988684
1999-04-29,1180.9335864963034
1999-04-30,1189.4821811798372
1999-05-03,1195.1609221995327
1999-05-04,1198.1943884515467
1999-05-05,1181.8387147313022
1999-05-06,1178.3874238646838
1999-05-07,1167.9300499770006
1999-05-10,1166.0639921233721
1999-05-11,1169.165722031518
1999-05-12,1166.3232036467127
1999-05-13,1175.5951640822018
1999-05-14,1155.214345398679
1999-05-17,1135.539171891152
1999-05-18,1143.3343156023504
1999-05-19,1151.3980287972056
1999-05-20,1159.4466200042723
1999-05-21,1158.884550801493
1999-05-24,1155.7218184509054
1999-05-25,1142.0489601816512
1999-05-26,1147.374445202684
1999-05-27,1138.378460168387
1999-05-28,1139.980069471113
1999-05-31,1145.078607278048
1999-06-01,1145.416339867541
1999-06-02,1157.0709080089189
1999-06-03,1165.6525828805738
1999-06-04,1174.2029119194453
1999-06-07,1185.4638488328833
1999-06-08,1180.9839445224577
1999-06-09,1184.0536750786405
1999-06-10,1172.680646043448
1999-06-11,1184.2560472493606
1999-06-14,1181.4381783240897
1999-06-15,1182.545022070262
1999-06-16,1195.8498160661586
1999-06-17,1200.3242770750205
1999-06-18,1201.6117621739197
1999-06-21,1217.1492261137116
1999-06-22,1213.363869228476
1999-06-23,1202.651551202047
1999-06-24,1191.9338688085388
1999-06-25,1184.8563392367942
1999-06-28,1189.5933766429791
1999-06-29,1189.9621892141502
1999-06-30,1188.187106707403
1999-07-01,1210.9193015201304
1999-07-02,1220.098822752946
1999-07-05,1237.9686866911325
1999-07-06,1235.2185405637379
1999-07-07,1228.6465173958397
1999-07-08,1229.3415279938883
1999-07-09,1231.1841634005764
1999-07-12,1232.9765721095919
1999-07-13,1215.135338741636
1999-07-14,1217.2533758944553
1999-07-15,1228.1310464163996
1999-07-16,1223.2377540439406
1999-07-19,1220.7193259560702
1999-07-20,1196.9976351501703
1999-07-21,1181.3484843119902
1999-07-22,1174.5058730197932
1999-07-23,1161.7508642409086
1999-07-26,1144.3206461552836
1999-07-27,1153.377546232792
1999-07-28,1157.5862784769758
1999-07-29,1138.2078033957202
1999-07-30,1155.104443894433
1999-08-02,1157.4649044718462
1999-08-03,1156.7178181116255
1999-08-04,1154.019438220872
1999-08-05,1132.5012539947184
1999-08-06,1133.582830638538
1999-08-09,1142.4079978167756
1999-08-10,1124.5406152465048
1999-08-11,1131.1400784878529
1999-08-12,1151.730941113963
1999-08-13,1168.0172416051983
1999-08-16,1173.448710188276
1999-08-17,1172.9240900883171
1999-08-18,1175.3204649727245
1999-08-19,1165.1094355506655
1999-08-20,1175.5578267079106
1999-08-23,1191.4304640038445
1999-08-24,1192.5323186211206
1999-08-25,1202.6150287926248
1999-08-26,1204.6789059547161
1999-08-27,1203.4355239515955
1999-08-30,1202.2495060297595
1999-08-31,1179.0682553680524
1999-09-01,1186.2462474554818
1999-09-02,1168.4341571787245
1999-09-03,1191.077355668315
1999-09-06,1200.7489492071923
1999-09-07,1196.178500797356
1999-09-08,1194.9930564892275
1999-09-09,1207.7603144394911
1999-09-10,1210.9598780430797
1999-09-13,1205.7978706743795
1999-09-14,1195.783109481395
1999-09-15,1188.8658328602744
1999-09-16,1182.2309173530048
1999-09-17,1183.688851049949
1999-09-20,1186.5266568336442
1999-09-21,1171.0187685276314
1999-09-22,1162.883451113129
1999-09-23,1171.4123731790394
1999-09-24,1156.762479750027
1999-09-27,1171.3686482426237
1999-09-28,1158.6246434865207
1999-09-29,1148.5425079821619
1999-09-30,1148.6610950912527
1999-10-01,1144.7846143124696
1999-10-04,1157.424260733323
1999-10-05,1164.579717679088
1999-10-06,1166.3133518965647
1999-10-07,1173.015845780754
1999-10-08,1174.4818874189964
1999-10-11,1173.3824521271904
1999-10-12,1158.7563204781466
1999-10-13,1146.6544813096152
1999-10-14,1140.2269260029477
1999-10-15,1118.293675331093
1999-10-18,1109.0003851122597
1999-10-19,1129.3403388176396
1999-10-20,1133.9779249341434
1999-10-21,1127.790421916244
1999-10-22,1149.982166090163
1999-10-25,1145.930986780215
1999-10-26,1156.6016997156087
1999-10-27,1152.4995429699536
1999-10-28,1170.3024039894742
1999-10-29,1188.3818076200123
1999-11-01,1190.2643671811134
1999-11-02,1191.3807331466812
1999-11-03,1196.6677181601851
1999-11-04,1207.069947428952
1999-11-05,1205.2602590298548
1999-11-08,1204.747786787034
1999-11-09,1207.5336511010532
1999-11-10,1214.4211049049582
1999-11-11,1228.0408906256341
1999-11-12,1231.0830309814519
1999-11-15,1241.5778841013093
1999-11-16,1249.8796594612654
1999-11-17,1246.8004479367967
1999-11-18,1255.4552678008342
1999-11-19,1256.7261696988162
1999-11-22,1244.1107860463155
1999-11-23,1251.5874637267657
1999-11-24,1250.7233447935114
1999-11-25,1266.4004780526293
1999-11-26,1271.805663305487
1999-11-29,1273.3807460376397
1999-11-30,1259.0627443016867
1999-12-01,1268.095103537446
1999-12-02,1274.4300262480215
1999-12-03,1292.5789958252963
1999-12-06,1283.1469671258412
1999-12-07,1282.9541857488107
1999-12-08,1277.065525161844
1999-12-09,1284.7247376865666
1999-12-10,1285.2619317817575
1999-12-13,1292.221786624645
1999-12-14,1297.7490689207439
1999-12-15,1292.782567404982
1999-12-16,1296.7067399917923
1999-12-17,1307.1874701830268
1999-12-20,1309.870163197081
1999-12-21,1306.538427539393
1999-12-22,1317.1218557089621
1999-12-23,1332.3736080065862
1999-12-24,1339.7202779270197
1999-12-27,1342.3685139001586
1999-12-28,1345.7851200860728
1999-12-29,1351.6986474135228
1999-12-30,1366.2673167798002
1999-12-31,1366.2673167798002
2000-01-03,1356.9625687954765
2000-01-04,1313.6810087325853
2000-01-05,1289.7313371749708
2000-01-06,1285.8344622590248
2000-01-07,1309.7726816550694
2000-01-10,1323.3770642610982
2000-01-11,1313.4509940245139
2000-01-12,1308.7864883689927
2000-01-13,1310.97440982187
2000-01-14,1331.688692724538
2000-01-17,1332.8027589732474
2000-01-18,1310.8764898065504
2000-01-19,1303.3787138008404
2000-01-20,1298.6337800680114
2000-01-21,1293.0801239958892
2000-01-24,1291.320165525705
2000-01-25,1268.3396358693471
2000-01-26,1278.2521776483152
2000-01-27,1296.9210868309315
2000-01-28,1290.4481264425915
2000-01-31,1266.5899945628241
2000-02-01,1279.4892595327076
2000-02-02,1289.663184532871
2000-02-03,1301.2974147784557
2000-02-04,1295.9853699056362
2000-02-07,1287.2648830405085
2000-02-08,1302.5183888973936
2000-02-09,1299.2485870240391
2000-02-10,1298.9386119389246
2000-02-11,1295.0809810969138
2000-02-14,1287.9344860112253
2000-02-15,1272.4597173158884
2000-02-16,1291.2252961547647
2000-02-17,1301.7002357039173
2000-02-18,1292.7750987779918
2000-02-21,1281.1345145225712
2000-02-22,1269.971015479708
2000-02-23,1283.6013386240318
2000-02-24,1280.9441645341099
