Date,EUROPE ex UK VALUE WEIGHTED
1998-12-31,690.8251683975731
1999-01-01,690.825791641218
1999-01-04,722.3637198674465
1999-01-05,731.0896904972633
1999-01-06,744.5371691552476
1999-01-07,734.6328336197034
1999-01-08,737.4238932947197
1999-01-11,726.0444843398865
1999-01-12,716.1104636097034
1999-01-13,683.9199176881062
1999-01-14,685.6413920276914
1999-01-15,693.55451469629
1999-01-18,707.8295425949169
1999-01-19,707.6314813578383
1999-01-20,714.2032962277561
1999-01-21,706.8056101907538
1999-01-22,688.177453690166
1999-01-25,688.9286457881205
1999-01-26,688.2653391953386
1999-01-27,692.8541096726941
1999-01-28,703.8135954807104
1999-01-29,707.6272987507374
1999-02-01,716.4648917835817
1999-02-02,710.6015449756264
1999-02-03,704.7864620208885
1999-02-04,705.6359857863819
1999-02-05,707.9058046065655
1999-02-08,704.4237435629835
1999-02-09,688.3034508694913
1999-02-10,683.5966675996557
1999-02-11,691.312263107369
1999-02-12,695.242692069117
1999-02-15,696.426368099653
1999-02-16,696.4060589477193
1999-02-17,688.6789810641192
1999-02-18,689.7521024694797
1999-02-19,694.465286931977
1999-02-22,703.6661595881981
1999-02-23,712.3722213375302
1999-02-24,714.6958410965447
1999-02-25,705.6973656139038
1999-02-26,703.8759387897519
1999-03-01,694.5974098679746
1999-03-02,697.2733847864106
1999-03-03,690.8305581060682
1999-03-04,698.2420667147707
1999-03-05,713.5492750477168
1999-03-08,708.1581498342293
1999-03-09,707.9633737647073
1999-03-10,707.0294644356916
1999-03-11,716.7137135270509
1999-03-12,720.5629004395533
1999-03-15,722.5019083297469
1999-03-16,726.3139132538158
1999-03-17,724.0862790036336
1999-03-18,722.7134600992354
1999-03-19,731.6529142355727
1999-03-22,727.1669811665139
1999-03-23,713.1361826169817
1999-03-24,705.4077382836051
1999-03-25,718.0224736087148
1999-03-26,712.8563013567172
1999-03-29,722.0806399738734
1999-03-30,719.9982206213531
1999-03-31,726.6299733693728
1999-04-01,727.3092609766916
1999-04-02,727.2944478825957
1999-04-05,727.2750287488808
1999-04-06,738.117248583701
1999-04-07,740.7218944839756
1999-04-08,741.4720060899485
1999-04-09,744.7814981799054
1999-04-12,743.1864702299254
1999-04-13,749.2423409171957
1999-04-14,748.2867205970309
1999-04-15,745.8129728742485
1999-04-16,747.4261667881932
1999-04-19,758.5471802004618
1999-04-20,744.1176221674567
1999-04-21,749.2502128571766
1999-04-22,753.0395777599208
1999-04-23,751.6486917425318
1999-04-26,755.7382024522756
1999-04-27,769.7669639730492
1999-04-28,766.7612201074252
1999-04-29,767.5261842698991
1999-04-30,770.5245714550547
1999-05-03,776.0880469386562
1999-05-04,777.3425043355331
1999-05-05,766.9136136619143
1999-05-06,764.7378973803171
1999-05-07,764.01167202424
1999-05-10,765.6254812262335
1999-05-11,766.5722371185672
1999-05-12,761.9654760283647
1999-05-13,764.5977245592334
1999-05-14,755.3489094593225
1999-05-17,742.084295446417
1999-05-18,747.5025685861738
1999-05-19,756.3605717357965
1999-05-20,762.6854179780237
1999-05-21,762.7564770972007
1999-05-24,761.7446746919984
1999-05-25,753.8808128746879
1999-05-26,753.9796495719127
1999-05-27,744.3771382074628
1999-05-28,745.3966349780519
1999-05-31,750.1589555947165
1999-06-01,747.2500182107741
1999-06-02,750.0391325395087
1999-06-03,756.5786378831499
1999-06-04,761.6814081013392
1999-06-07,769.0041633928572
1999-06-08,769.1619392009064
1999-06-09,772.0407701492979
1999-06-10,764.3524930205444
1999-06-11,770.2347785178929
1999-06-14,767.3874868987158
1999-06-15,771.5416954369479
1999-06-16,777.2607174367427
1999-06-17,780.1565881687022
1999-06-18,783.4693235893074
1999-06-21,791.2075566377932
1999-06-22,787.0014972995585
1999-06-23,781.0309478137428
1999-06-24,775.2975398241834
1999-06-25,771.3227522300069
1999-06-28,773.4339379642086
1999-06-29,777.7275095067232
1999-06-30,776.6326924839274
1999-07-01,788.5510233410434
1999-07-02,791.9906838847058
1999-07-05,805.3688541331313
1999-07-06,803.8669820520003
1999-07-07,800.2601479471588
1999-07-08,800.3249203685349
1999-07-09,804.7287700282644
1999-07-12,805.8073019128816
1999-07-13,795.1300812033501
1999-07-14,798.8273327418195
1999-07-15,805.2990916191442
1999-07-16,802.572857155143
1999-07-19,803.1374419734618
1999-07-20,789.4131677787707
1999-07-21,780.4430856218695
1999-07-22,773.115992009746
1999-07-23,766.6572680966611
1999-07-26,756.3397324774797
