Date,EAFE ex UK VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0005175720033
1999-01-04,1017.241431098423
1999-01-05,1023.0059536254187
1999-01-06,1040.547136334698
1999-01-07,1045.6053202406026
1999-01-08,1047.3833089357258
1999-01-11,1044.6603094593354
1999-01-12,1028.8777052510457
1999-01-13,987.854676928965
1999-01-14,993.061725166641
1999-01-15,1003.0842482928131
1999-01-18,1016.9617996037741
1999-01-19,1016.4815992501095
1999-01-20,1029.1107365363882
1999-01-21,1025.0130880360855
1999-01-22,1001.3300869832692
1999-01-25,1001.3049106539808
1999-01-26,1003.9384893770662
1999-01-27,1010.3703103285778
1999-01-28,1016.7210157496721
1999-01-29,1028.322283147515
1999-02-01,1039.908289443397
1999-02-02,1038.2259466942205
1999-02-03,1028.6237874606966
1999-02-04,1030.2735575533204
1999-02-05,1026.6474453082374
1999-02-08,1024.2898109508646
1999-02-09,1004.6219736487895
1999-02-10,996.5088130780715
1999-02-11,1006.304382919511
1999-02-12,1014.5441456521855
1999-02-15,1015.3900960865474
1999-02-16,1011.4994613303722
1999-02-17,999.9995306640111
1999-02-18,997.8686207834396
1999-02-19,1004.3480446431591
1999-02-22,1019.9204046690885
1999-02-23,1030.1198195662635
1999-02-24,1032.6026571060056
1999-02-25,1026.823706114484
1999-02-26,1031.2821925572352
1999-03-01,1022.0464164305068
1999-03-02,1016.1427325248703
1999-03-03,1010.7534409014073
1999-03-04,1016.3149311344174
1999-03-05,1045.9819787630897
1999-03-08,1042.6437468044694
1999-03-09,1050.6263277503633
1999-03-10,1061.8036824874625
1999-03-11,1076.5059216156415
1999-03-12,1079.5849483738302
1999-03-15,1092.0248860386407
1999-03-16,1105.7448807663802
1999-03-17,1103.6015804062868
1999-03-18,1093.558427986708
1999-03-19,1119.3362942920583
1999-03-22,1114.7752466107302
1999-03-23,1101.7869180428254
1999-03-24,1082.3559994472641
1999-03-25,1102.0981389615265
1999-03-26,1104.0506082535903
1999-03-29,1111.433513318411
1999-03-30,1106.8132188878021
1999-03-31,1118.305559094119
1999-04-01,1126.784025569692
1999-04-02,1125.2501521220397
1999-04-05,1125.3874015570825
1999-04-06,1142.9758692525625
1999-04-07,1146.445815634762
1999-04-08,1152.2075788066788
1999-04-09,1157.682330439826
1999-04-12,1146.6823891675433
1999-04-13,1161.360607902995
1999-04-14,1168.8645240426986
1999-04-15,1168.0922515748396
1999-04-16,1182.6965187695282
1999-04-19,1199.5066801159708
1999-04-20,1179.0672400726914
1999-04-21,1175.15889769095
1999-04-22,1183.5154918807154
1999-04-23,1186.0971188091673
1999-04-26,1196.0480569922738
1999-04-27,1206.866191063348
1999-04-28,1206.3528913381238
1999-04-29,1209.3332256134966
1999-04-30,1209.4621733962733
1999-05-03,1212.3198224138175
1999-05-04,1210.6907018972151
1999-05-05,1198.7008551828044
1999-05-06,1209.278355539732
1999-05-07,1199.38846386221
1999-05-10,1200.851490081489
1999-05-11,1197.19861781003
1999-05-12,1198.1368252641746
1999-05-13,1196.9687822849912
1999-05-14,1180.9663760849246
1999-05-17,1156.152335740081
1999-05-18,1162.7037650570176
1999-05-19,1154.9863619956645
1999-05-20,1162.4804664717906
1999-05-21,1168.2919192346626
1999-05-24,1169.1244892235009
1999-05-25,1158.885676016896
1999-05-26,1167.955236926265
1999-05-27,1160.3748060537043
1999-05-28,1161.7841148417642
1999-05-31,1164.270885558282
1999-06-01,1170.8364903974411
1999-06-02,1181.2949259343372
1999-06-03,1181.4961825526425
1999-06-04,1188.016685698602
1999-06-07,1203.1785659650598
1999-06-08,1204.892457027329
1999-06-09,1212.136315801978
1999-06-10,1210.6831518088477
1999-06-11,1223.5466278305798
1999-06-14,1215.8654738276332
1999-06-15,1220.8233284346552
1999-06-16,1231.716717735777
1999-06-17,1242.8179812442092
1999-06-18,1236.7202167330775
1999-06-21,1249.902580657267
1999-06-22,1251.3158599847825
1999-06-23,1239.4141913934336
1999-06-24,1231.599866744917
1999-06-25,1221.9744677803876
1999-06-28,1233.047728491108
1999-06-29,1242.4514012226794
1999-06-30,1238.0930635005454
1999-07-01,1262.330409601554
1999-07-02,1272.6934054581382
1999-07-05,1287.3325500721758
1999-07-06,1282.0511418326005
1999-07-07,1278.7136237091727
1999-07-08,1279.1508761829216
1999-07-09,1282.6242016722983
1999-07-12,1290.134214276101
1999-07-13,1280.3110948088513
1999-07-14,1286.9111739444331
1999-07-15,1296.4563523748925
1999-07-16,1289.8968842669317
1999-07-19,1301.2755438828142
1999-07-20,1276.6109409386752
1999-07-21,1260.9366901226774
1999-07-22,1245.1647467695595
1999-07-23,1234.8763800851036
1999-07-26,1213.8036640620173
1999-07-27,1218.8480729076593
1999-07-28,1228.700443160313
1999-07-29,1219.5269894648818
1999-07-30,1236.2468288484774
1999-08-02,1233.4214444299832
1999-08-03,1234.930586215523
1999-08-04,1225.534763570979
1999-08-05,1205.6414928851948
1999-08-06,1199.9049313351459
1999-08-09,1207.791463276523
1999-08-10,1197.5256032025936
1999-08-11,1198.8224995318512
1999-08-12,1218.922484902855
1999-08-13,1232.1318837891058
1999-08-16,1249.0638428678737
1999-08-17,1256.2865588357529
1999-08-18,1261.4448362407961
1999-08-19,1252.587918077754
1999-08-20,1268.4573383249142
1999-08-23,1284.5202080434906
1999-08-24,1285.7935671459609
1999-08-25,1292.1171785115896
1999-08-26,1285.798032181266
1999-08-27,1282.1585420759147
1999-08-30,1289.6136103710817
1999-08-31,1257.2119311420768
1999-09-01,1278.7110378468751
1999-09-02,1263.7203878235882
1999-09-03,1277.2203665003096
1999-09-06,1291.164290621771
1999-09-07,1281.3044897445072
1999-09-08,1278.609811680849
1999-09-09,1300.9888991908683
1999-09-10,1310.2158293854561
1999-09-13,1324.9305869211064
1999-09-14,1318.9782350798337
1999-09-15,1319.6268773112056
1999-09-16,1302.5256132723637
1999-09-17,1296.8571833774843
1999-09-20,1304.5099562531475
1999-09-21,1306.6891172185135
1999-09-22,1286.4973528672533
1999-09-23,1293.212124508665
1999-09-24,1267.6360539351897
1999-09-27,1266.7105912055824
1999-09-28,1268.0868701053132
1999-09-29,1253.4149951975876
1999-09-30,1265.3663619711303
1999-10-01,1268.0860333495687
1999-10-04,1271.851559828942
1999-10-05,1273.4506911388753
1999-10-06,1274.7717952053565
1999-10-07,1280.540835180479
1999-10-08,1286.9557884587443
1999-10-11,1288.8133011571842
1999-10-12,1281.56984245948
1999-10-13,1262.9856781076792
1999-10-14,1264.3480999207059
1999-10-15,1244.6033580132544
1999-10-18,1227.348045369631
1999-10-19,1241.9350027845248
1999-10-20,1253.0085173321318
1999-10-21,1247.6360466011163
1999-10-22,1270.1934478989158
1999-10-25,1275.7364013217723
1999-10-26,1288.451616923909
1999-10-27,1286.5693872180523
1999-10-28,1296.1806887801526
1999-10-29,1323.4838589082635
1999-11-01,1323.0787743464905
1999-11-02,1327.2498696378666
1999-11-03,1328.2575869164727
1999-11-04,1345.473435964088
1999-11-05,1339.3541152533771
1999-11-08,1338.4505069725624
1999-11-09,1339.9440355277823
1999-11-10,1352.711032096258
1999-11-11,1355.6120837601409
1999-11-12,1360.6273946158192
1999-11-15,1364.3876590126065
1999-11-16,1366.0952354366755
1999-11-17,1372.891152501333
1999-11-18,1392.6823060574213
1999-11-19,1399.027128752619
1999-11-22,1394.6207200952776
1999-11-23,1399.6429008687248
1999-11-24,1398.1605427206216
1999-11-25,1404.2704258383353
1999-11-26,1427.4230717047396
1999-11-29,1430.2439353296788
1999-11-30,1411.4160703847638
1999-12-01,1418.8796104830267
1999-12-02,1428.7988535671286
1999-12-03,1441.1205799561747
1999-12-06,1421.7382136955891
1999-12-07,1427.3467147758715
1999-12-08,1414.775775432985
1999-12-09,1424.0984228765815
1999-12-10,1427.9370546922446
1999-12-13,1426.734736028621
1999-12-14,1430.4195013057176
1999-12-15,1431.8059544145315
1999-12-16,1429.822609421663
1999-12-17,1441.5464662724164
1999-12-20,1446.2771729013969
1999-12-21,1442.4622687884885
1999-12-22,1461.2699320431984
1999-12-23,1468.1004842282498
1999-12-24,1469.682536906375
1999-12-27,1469.6955711685464
1999-12-28,1482.1299922810229
1999-12-29,1487.5288667464831
1999-12-30,1499.8693683602626
1999-12-31,1499.8693683602626
2000-01-03,1490.9228410493447
2000-01-04,1446.5953163090508
2000-01-05,1415.0969230622363
2000-01-06,1394.1302012281124
2000-01-07,1420.0468199944048
2000-01-10,1431.6395300038457
2000-01-11,1438.3932680201933
2000-01-12,1430.818203405589
2000-01-13,1438.6753535138805
2000-01-14,1466.7227931779314
2000-01-17,1485.8498889404016
2000-01-18,1462.004701087328
2000-01-19,1447.9462776729868
2000-01-20,1451.7203300559045
2000-01-21,1448.9701619259488
2000-01-24,1447.4753939712416
2000-01-25,1422.0650968098987
2000-01-26,1434.8132848276923
2000-01-27,1458.505451549645
2000-01-28,1462.664822098686
2000-01-31,1443.51867498969
2000-02-01,1448.023365802812
2000-02-02,1464.4543008343214
2000-02-03,1474.106518803882
2000-02-04,1487.022802625273
2000-02-07,1480.0340420199143
2000-02-08,1473.6895663008308
2000-02-09,1472.4211881719914
2000-02-10,1471.8558322158092
2000-02-11,1471.2368220770961
2000-02-14,1464.4945873904717
2000-02-15,1436.3143996430763
2000-02-16,1443.129441972571
2000-02-17,1450.874312049256
2000-02-18,1441.7103043731138
2000-02-21,1417.6040086555001
2000-02-22,1400.7383306584543
2000-02-23,1416.9004991605082
