Date,PACIFIC VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,979.0074696700595
1999-01-05,975.5325039841322
1999-01-06,990.4833594980407
1999-01-07,1021.6469651958046
1999-01-08,1020.3801219393895
1999-01-11,1036.1631371549051
1999-01-12,1018.4924336785376
1999-01-13,984.9720480511345
1999-01-14,993.8338159085567
1999-01-15,1001.9289931907748
1999-01-18,1006.6717001448301
1999-01-19,1005.9310286670502
1999-01-20,1022.7546411821193
1999-01-21,1027.5551359181861
1999-01-22,1008.2907097146956
1999-01-25,1006.7673954804538
1999-01-26,1014.2401219013287
1999-01-27,1020.3882476387292
1999-01-28,1013.9234200947452
1999-01-29,1033.71905586412
1999-02-01,1043.6787345246476
1999-02-02,1051.1565277350073
1999-02-03,1039.9597297679734
1999-02-04,1042.1749523519945
1999-02-05,1029.244661677819
1999-02-08,1030.4984046510208
1999-02-09,1015.767784189373
1999-02-10,1005.9040438302734
1999-02-11,1013.8505853988133
1999-02-12,1025.5247329676856
1999-02-15,1025.2025112553656
1999-02-16,1016.1092592532223
1999-02-17,1004.1853711084389
1999-02-18,997.0900847432246
1999-02-19,1003.1071480370276
1999-02-22,1021.7160921701454
1999-02-23,1028.677676630111
1999-02-24,1029.9738138527089
1999-02-25,1033.959437914345
1999-02-26,1047.977051492358
1999-03-01,1044.4231284970256
1999-03-02,1025.302165691519
1999-03-03,1025.23737269165
1999-03-04,1023.810792329306
1999-03-05,1063.631957528311
1999-03-08,1066.3333664549568
1999-03-09,1085.4927121815933
1999-03-10,1113.6206745702502
1999-03-11,1129.247242091524
1999-03-12,1128.9534122461453
1999-03-15,1154.4256070074546
1999-03-16,1179.2418863597413
1999-03-17,1178.5622335275987
1999-03-18,1157.5925778827627
1999-03-19,1200.780104420868
1999-03-22,1198.8425762237473
1999-03-23,1195.7937179145117
1999-03-24,1165.1776054166844
1999-03-25,1186.9251787048731
1999-03-26,1201.6745985198643
1999-03-29,1200.9282357075672
1999-03-30,1194.1245509695952
1999-03-31,1208.185606872366
1999-04-01,1226.858378045803
1999-04-02,1223.269371986245
1999-04-05,1223.6313289420978
1999-04-06,1243.7866787509986
1999-04-07,1246.8527871313838
1999-04-08,1258.9195343042413
1999-04-09,1265.3181851801403
1999-04-12,1242.5930041458373
1999-04-13,1265.2484019067351
1999-04-14,1284.7394476052978
1999-04-15,1287.7540257265027
1999-04-16,1318.9067071639713
1999-04-19,1336.681588241571
1999-04-20,1316.8405315355924
1999-04-21,1297.6335395365709
1999-04-22,1309.8657339673075
1999-04-23,1318.6479626639698
1999-04-26,1334.038328223097
1999-04-27,1332.0649939668535
1999-04-28,1336.7246885202974
1999-04-29,1342.2311615043247
1999-04-30,1336.6821318783293
1999-05-03,1332.5387413662781
1999-05-04,1326.2683942798653
1999-05-05,1318.4578774629808
1999-05-06,1347.5240647177666
1999-05-07,1325.7312292548713
1999-05-10,1326.0191051036213
1999-05-11,1315.609434834633
1999-05-12,1326.7762850823926
1999-05-13,1318.9186511278317
1999-05-14,1299.393145479474
1999-05-17,1267.0263623484834
1999-05-18,1271.8488299431735
1999-05-19,1236.5568275786268
1999-05-20,1241.8275651291644
1999-05-21,1255.3066235119734
1999-05-24,1259.2290973793777
1999-05-25,1250.5218493220552
1999-05-26,1271.5915539419118
1999-05-27,1272.496855531652
1999-05-28,1273.817781042762
1999-05-31,1270.3862538492772
1999-06-01,1293.0721431737022
1999-06-02,1313.0699654009732
1999-06-03,1299.35474754195
1999-06-04,1304.510747050208
1999-06-07,1326.36795448549
1999-06-08,1330.2940847643977
1999-06-09,1342.0819133945154
1999-06-10,1355.1550362037017
1999-06-11,1374.4135323662993
1999-06-14,1361.4703560329458
1999-06-15,1364.7972233662017
1999-06-16,1379.504357633793
1999-06-17,1400.8551634812845
1999-06-18,1378.4915118166189
1999-06-21,1394.5147973181838
1999-06-22,1407.159512195562
1999-06-23,1390.4884495118606
1999-06-24,1383.4773162613874
1999-06-25,1368.1417046684153
1999-06-28,1391.1306526658793
1999-06-29,1405.2245985471232
1999-06-30,1396.7381793107393
1999-07-01,1431.2347590531042
1999-07-02,1449.5920444437568
1999-07-05,1456.9775437068702
1999-07-06,1447.0790664648152
1999-07-07,1446.6065276024046
1999-07-08,1447.5558786482645
1999-07-09,1446.6219994356181
1999-07-12,1463.013072726609
1999-07-13,1461.7747840285474
1999-07-14,1470.1859493250292
1999-07-15,1479.8983691028532
1999-07-16,1469.4712331211676
1999-07-19,1496.635190050031
1999-07-20,1465.0027336048481
1999-07-21,1445.441412923247
1999-07-22,1422.0560411642248
1999-07-23,1410.4604174165022
1999-07-26,1380.3581004863315
1999-07-27,1384.2896125370658
1999-07-28,1405.803989559308
1999-07-29,1416.719094652654
1999-07-30,1433.1354749679617
1999-08-02,1429.3617252501867
1999-08-03,1437.3368886429603
