Date,WORLD ex EMU VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0000000000001
1999-01-04,993.4891133432271
1999-01-05,1002.4654095780954
1999-01-06,1029.2725517518163
1999-01-07,1037.402073289716
1999-01-08,1050.4411613249583
1999-01-11,1048.3776831312016
1999-01-12,1030.7618274276033
1999-01-13,1004.1225873262043
1999-01-14,995.367846678873
1999-01-15,1018.8265418039736
1999-01-18,1023.4072520242863
1999-01-19,1022.2961681345705
1999-01-20,1029.208067581912
1999-01-21,1019.7460385127357
1999-01-22,1006.9985479122771
1999-01-25,1012.1452574000399
1999-01-26,1018.4879234219892
1999-01-27,1017.7596877209681
1999-01-28,1029.5302718135592
1999-01-29,1045.4045471651352
1999-02-01,1051.989610550806
1999-02-02,1046.6405765203754
1999-02-03,1047.5622892468036
1999-02-04,1044.5493024457862
1999-02-05,1038.1020659294577
1999-02-08,1040.2692224298794
1999-02-09,1020.6531849806485
1999-02-10,1017.9835584169167
1999-02-11,1034.1346509054047
1999-02-12,1031.9080868754288
1999-02-15,1035.8310759558526
1999-02-16,1043.9363205019763
1999-02-17,1031.563651394318
1999-02-18,1036.6181267892912
1999-02-19,1045.6313491426183
1999-02-22,1068.6110375499263
1999-02-23,1073.5111762721958
1999-02-24,1071.22961865118
1999-02-25,1059.8653363717492
1999-02-26,1064.8736323593512
1999-03-01,1064.4602082405568
1999-03-02,1059.1302577734525
1999-03-03,1060.037646167718
1999-03-04,1075.3293110586294
1999-03-05,1100.6099658267597
1999-03-08,1100.0229441481342
1999-03-09,1103.491291878448
1999-03-10,1111.4294065950191
1999-03-11,1132.2759258040003
1999-03-12,1122.8672470991999
1999-03-15,1130.0943982608596
1999-03-16,1137.4272493568503
1999-03-17,1126.2102683311482
1999-03-18,1130.102507076855
1999-03-19,1138.968828915273
1999-03-22,1137.9377952993623
1999-03-23,1120.4409561788507
1999-03-24,1113.7314927805262
1999-03-25,1132.5114576638953
1999-03-26,1143.0638162568077
1999-03-29,1157.3110816241958
1999-03-30,1145.7927642009945
1999-03-31,1142.629835151906
1999-04-01,1147.2274673391926
1999-04-02,1148.2092731658877
1999-04-05,1164.5385125737714
1999-04-06,1165.2029172873963
1999-04-07,1171.6793153407632
1999-04-08,1182.1848386508889
1999-04-09,1190.778751342841
1999-04-12,1186.832907943088
1999-04-13,1197.109667462278
1999-04-14,1196.8535814501965
1999-04-15,1206.0295168467196
1999-04-16,1217.6891436378544
1999-04-19,1229.1242588687667
1999-04-20,1219.1252039957615
1999-04-21,1228.3577432218178
1999-04-22,1241.5377167335337
1999-04-23,1239.3958705697578
1999-04-26,1246.9349199152923
1999-04-27,1249.8927868920289
1999-04-28,1253.333456685565
1999-04-29,1255.7060278514662
1999-04-30,1251.030367635863
1999-05-03,1265.5094502068612
1999-05-04,1252.458007000447
1999-05-05,1248.2740290662878
1999-05-06,1242.4391668901462
1999-05-07,1238.9384763781602
1999-05-10,1235.461597402278
1999-05-11,1243.8606083354202
1999-05-12,1250.0683593545614
1999-05-13,1257.967722845164
1999-05-14,1228.3615678530466
1999-05-17,1217.8713589057095
1999-05-18,1218.585158427111
1999-05-19,1218.6758693383167
1999-05-20,1223.4075128987017
1999-05-21,1228.6800026907226
1999-05-24,1217.687728816175
1999-05-25,1199.8343310169353
1999-05-26,1223.4418237715588
1999-05-27,1210.495453221903
1999-05-28,1220.0534474183582
1999-05-31,1222.5086865393428
1999-06-01,1223.7552613029675
1999-06-02,1240.4551986381157
1999-06-03,1242.4830784182616
1999-06-04,1260.4756844011993
1999-06-07,1271.2960382353267
1999-06-08,1253.6097851517802
1999-06-09,1254.7718909758155
1999-06-10,1245.314648354323
1999-06-11,1249.2612087355058
1999-06-14,1252.5693008103674
1999-06-15,1256.5693862271419
1999-06-16,1281.441072215951
1999-06-17,1289.566023229344
1999-06-18,1280.8911792784127
1999-06-21,1291.7282411964993
1999-06-22,1288.5648524754818
1999-06-23,1277.5186305458087
1999-06-24,1262.4671235134977
1999-06-25,1250.1632116029732
1999-06-28,1269.190429376867
1999-06-29,1281.374977288788
1999-06-30,1287.6079700868893
1999-07-01,1311.4804890580838
1999-07-02,1325.6735955736224
1999-07-05,1330.4756697374623
1999-07-06,1324.178043395381
1999-07-07,1325.0114539442493
1999-07-08,1326.3421060481148
1999-07-09,1328.2936518618508
1999-07-12,1334.5840503758066
1999-07-13,1323.373500057358
1999-07-14,1325.643091106049
1999-07-15,1332.211999378804
1999-07-16,1334.9012111199004
1999-07-19,1339.287991259108
1999-07-20,1297.3761552054561
1999-07-21,1282.7266485204605
1999-07-22,1272.8267552269108
1999-07-23,1266.159303984733
1999-07-26,1241.8228090318887
1999-07-27,1253.5624147631802
1999-07-28,1259.954904740725
1999-07-29,1241.2934268449344
1999-07-30,1244.6898760250613
1999-08-02,1248.9740428266903
1999-08-03,1248.1707028855924
1999-08-04,1229.0547521450817
1999-08-05,1219.6069682813577
1999-08-06,1210.2922308354093
1999-08-09,1215.6535139377718
1999-08-10,1201.1231252464916
1999-08-11,1216.0925869088828
1999-08-12,1223.419016504131
1999-08-13,1246.472861443114
1999-08-16,1256.23068988991
1999-08-17,1268.263537842306
1999-08-18,1265.6907227445972
1999-08-19,1252.4164306487594
1999-08-20,1264.2846605918173
1999-08-23,1289.68333214529
1999-08-24,1292.258943593448
1999-08-25,1302.6615724071883
1999-08-26,1292.23758903325
1999-08-27,1281.5269699882545
1999-08-30,1274.4371067073328
1999-08-31,1247.5451829861759
1999-09-01,1260.488746816519
1999-09-02,1240.9752931485982
1999-09-03,1271.3065154847757
1999-09-06,1279.8511324357728
1999-09-07,1268.0211558453777
1999-09-08,1264.2344039589257
1999-09-09,1279.6324191024225
1999-09-10,1287.5485055852898
1999-09-13,1299.6837505083658
1999-09-14,1287.0523598458012
1999-09-15,1283.1860667504084
1999-09-16,1273.879079269454
1999-09-17,1278.3000540984212
1999-09-20,1278.4316636881395
1999-09-21,1263.5722970356242
1999-09-22,1249.402546753914
1999-09-23,1247.11579897086
1999-09-24,1230.0560028916143
1999-09-27,1234.0438397899266
1999-09-28,1231.0557764975122
1999-09-29,1209.6956780375199
1999-09-30,1219.0563046503914
1999-10-01,1215.6537227387084
1999-10-04,1226.164994534455
1999-10-05,1224.849643429539
1999-10-06,1232.4991967790186
1999-10-07,1229.8666169678836
1999-10-08,1249.1191869893175
1999-10-11,1247.5539931687756
1999-10-12,1227.1603664045078
1999-10-13,1203.1680453954918
1999-10-14,1203.6342770829106
1999-10-15,1169.9167036735264
1999-10-18,1168.6647588686706
1999-10-19,1181.6653859992157
1999-10-20,1198.0407764264762
1999-10-21,1189.4884840445907
1999-10-22,1218.7899672953217
1999-10-25,1219.0020937155543
1999-10-26,1226.6868654101172
1999-10-27,1237.622083254802
1999-10-28,1262.9625050808265
1999-10-29,1287.6703562114114
1999-11-01,1284.5455059640744
1999-11-02,1283.9799725036626
1999-11-03,1285.6584845477767
1999-11-04,1299.4192037866867
1999-11-05,1299.8187194141933
1999-11-08,1303.874612338906
1999-11-09,1296.6432049471523
1999-11-10,1300.5791789003977
1999-11-11,1304.7512371466257
1999-11-12,1323.6157975202987
1999-11-15,1325.5486637274296
1999-11-16,1335.9469237451572
1999-11-17,1327.716396956418
1999-11-18,1344.57357501753
1999-11-19,1346.7329637588105
1999-11-22,1344.4227668188282
1999-11-23,1346.2937466904875
1999-11-24,1355.5055810301744
1999-11-25,1355.2512107779849
1999-11-26,1372.5321277272712
1999-11-29,1374.3447329044716
1999-11-30,1356.5597816870572
1999-12-01,1361.6642801824455
1999-12-02,1372.3590546582598
1999-12-03,1389.9889041083698
1999-12-06,1354.394649983765
1999-12-07,1347.3640773083564
1999-12-08,1335.0329004955781
1999-12-09,1345.5981858307662
1999-12-10,1353.9819593459167
1999-12-13,1352.831655770123
1999-12-14,1353.8152773938643
1999-12-15,1357.5382373116327
1999-12-16,1340.3490901768741
1999-12-17,1355.694337453983
1999-12-20,1356.0014665736858
1999-12-21,1357.7178867481864
1999-12-22,1366.8776565284336
1999-12-23,1371.1778065447443
1999-12-24,1371.3458528661768
1999-12-27,1370.7040279287776
1999-12-28,1384.4647597612598
1999-12-29,1391.2637550278107
1999-12-30,1399.690723718683
1999-12-31,1400.7904395274686
2000-01-03,1378.8788417874837
2000-01-04,1326.516266798413
2000-01-05,1314.4915111722385
2000-01-06,1308.5882480994512
2000-01-07,1337.7996682406904
2000-01-10,1344.7913840504941
2000-01-11,1339.145700424869
2000-01-12,1338.5720361723736
2000-01-13,1347.0247685677687
2000-01-14,1374.7902599264353
2000-01-17,1387.8466580231443
2000-01-18,1369.9311835026265
2000-01-19,1361.0882687251683
2000-01-20,1351.9874508003402
2000-01-21,1351.7775097182343
2000-01-24,1341.3152134608022
2000-01-25,1324.7684046259542
2000-01-26,1340.3811863267572
2000-01-27,1364.8973377644081
2000-01-28,1353.1904082274255
2000-01-31,1363.3393254015914
2000-02-01,1370.8808777065283
2000-02-02,1371.7170783553988
2000-02-03,1362.99754391076
2000-02-04,1363.9318728551343
2000-02-07,1359.2688107844378
2000-02-08,1348.0040896055857
2000-02-09,1331.397863461222
2000-02-10,1330.0220184685397
2000-02-11,1315.446478276888
2000-02-14,1315.885499858278
2000-02-15,1309.802402730174
2000-02-16,1309.5057449948683
2000-02-17,1307.6328509041493
2000-02-18,1286.5214843710278
2000-02-21,1273.8527178342774
2000-02-22,1251.2677366096075
2000-02-23,1255.5064970246278
2000-02-24,1256.0216059588888
2000-02-25,1275.2019966125122
2000-02-28,1298.472699461689
2000-02-29,1309.874616094544
2000-03-01,1321.9308319741097
2000-03-02,1326.6143678305234
2000-03-03,1342.2119631458597
2000-03-06,1331.013775377196
2000-03-07,1323.6110317069745
2000-03-08,1320.9442188053426
2000-03-09,1319.0199240142097
2000-03-10,1325.736706096312
2000-03-13,1315.1808573960222
2000-03-14,1311.7792754457241
2000-03-15,1323.4034422585087
2000-03-16,1367.7684261384518
2000-03-17,1371.7891602090208
2000-03-20,1368.5153368231038
2000-03-21,1382.3023762917248
2000-03-22,1393.745884938827
2000-03-23,1397.2402263839554
2000-03-24,1403.9042696803228
2000-03-27,1409.4218793357113
2000-03-28,1416.548433468688
2000-03-29,1447.0028137412687
