Date,PACIFIC ex JP VALUE WEIGHTED
1998-12-31,279.37690845550355
1999-01-01,279.37690845550355
1999-01-04,276.9083015933342
1999-01-05,277.2437166721051
1999-01-06,287.78089040522616
1999-01-07,299.49510154588495
1999-01-08,301.0470285790954
1999-01-11,302.3942870599315
1999-01-12,302.11121354197536
1999-01-13,288.28844235235186
1999-01-14,284.41742832218716
1999-01-15,289.2638323675151
1999-01-18,293.9969703847547
1999-01-19,293.50245913436436
1999-01-20,295.52557460842235
1999-01-21,288.5244294403437
1999-01-22,280.40453616111216
1999-01-25,273.7352958280142
1999-01-26,274.61943729647476
1999-01-27,281.05049651284446
1999-01-28,277.7064978199554
1999-01-29,281.7142696475587
1999-02-01,286.55661117243136
1999-02-02,283.9295767710159
1999-02-03,282.11508503360216
1999-02-04,285.2126514445749
1999-02-05,281.51257391308206
1999-02-08,279.9421659494845
1999-02-09,278.07859683991154
1999-02-10,271.37231019533635
1999-02-11,276.68729192715205
1999-02-12,281.7074850234306
1999-02-15,281.99935182781564
1999-02-16,281.3375929199017
1999-02-17,280.37032398023683
1999-02-18,279.3871976513768
1999-02-19,282.56408833581185
1999-02-22,285.5908078944888
1999-02-23,288.5057834064706
1999-02-24,291.9269317717625
1999-02-25,286.95788461431096
1999-02-26,289.43958284875885
1999-03-01,294.6589645521791
1999-03-02,292.5976202501945
1999-03-03,292.80402863251663
1999-03-04,294.98855317120695
1999-03-05,299.51384620390775
1999-03-08,301.5115293803125
1999-03-09,305.32073901568316
1999-03-10,307.42572959657696
1999-03-11,310.57528991275456
1999-03-12,311.4865123212639
1999-03-15,313.4241268200156
1999-03-16,314.49621266885913
1999-03-17,310.3530154110647
1999-03-18,307.07535040872887
1999-03-19,315.2847636258295
1999-03-22,318.07961863615935
1999-03-23,319.24760169863265
1999-03-24,313.1954436901841
1999-03-25,316.89984741874
1999-03-26,319.28885911524134
1999-03-29,316.632222983391
1999-03-30,319.832473184817
1999-03-31,319.58219883804185
1999-04-01,323.04487483089764
1999-04-02,323.02431216950185
1999-04-05,325.8087452107815
1999-04-06,327.49101531234027
1999-04-07,334.0021825359392
1999-04-08,334.2510315375439
1999-04-09,342.11775245063336
1999-04-12,338.89624152562925
1999-04-13,346.0376982739446
1999-04-14,346.52759786818984
1999-04-15,351.4654088450478
1999-04-16,365.9429362457383
1999-04-19,378.60652264510503
1999-04-20,366.893046868836
1999-04-21,370.68999134444977
1999-04-22,381.14082018038977
1999-04-23,378.4568275710193
1999-04-26,382.46833069542566
1999-04-27,387.3941572732886
1999-04-28,383.58540404972734
1999-04-29,385.05811620127946
1999-04-30,391.0036770811003
1999-05-03,392.0508820937308
1999-05-04,396.4073652263987
1999-05-05,395.8224853087045
1999-05-06,395.6270819813981
1999-05-07,381.6620167836949
1999-05-10,380.53982124868094
1999-05-11,381.45755175424205
1999-05-12,386.53651190832437
1999-05-13,388.49668253992013
1999-05-14,383.800289796659
1999-05-17,377.48617410348953
1999-05-18,378.64075561552346
1999-05-19,371.90066139556654
1999-05-20,370.5803238112001
1999-05-21,371.03005921176174
1999-05-24,371.9308218373924
1999-05-25,365.56225967727033
1999-05-26,370.29521910068723
1999-05-27,370.1633287086342
1999-05-28,367.0355320697174
1999-05-31,366.66015824119006
1999-06-01,368.36554422670815
1999-06-02,373.9464972439784
1999-06-03,376.8973115715735
1999-06-04,379.0650764361202
1999-06-07,386.892078072157
1999-06-08,384.3973044925191
1999-06-09,386.15098571276553
1999-06-10,383.94360640559614
1999-06-11,384.9731959137997
1999-06-14,386.23236499542344
1999-06-15,383.60975806643626
1999-06-16,389.856449847334
1999-06-17,394.5104110256131
1999-06-18,390.8742041672525
1999-06-21,401.08839480003394
1999-06-22,404.64113506510773
1999-06-23,404.77982631548844
1999-06-24,399.8789898568771
1999-06-25,397.0673670158848
1999-06-28,402.2368047782117
1999-06-29,402.70607346055624
1999-06-30,399.36903547343036
1999-07-01,406.23081771814776
1999-07-02,418.0362460240717
1999-07-05,423.00783158643276
1999-07-06,420.08431832600013
1999-07-07,416.67172921268593
1999-07-08,419.23068600361034
