Date,FAR EAST VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,975.4695090615324
1999-01-05,971.4876353984235
1999-01-06,984.5113723945158
1999-01-07,1016.1845304035492
1999-01-08,1015.2667622018391
1999-01-11,1030.9594171734361
1999-01-12,1011.3854789471627
1999-01-13,978.9145195170952
1999-01-14,989.1696201964706
1999-01-15,996.8975946705962
1999-01-18,1001.2698857666026
1999-01-19,998.5899414112116
1999-01-20,1015.5960806014839
1999-01-21,1021.7333899304687
1999-01-22,1002.0098478505397
1999-01-25,1001.5776799928798
1999-01-26,1010.1132109053516
1999-01-27,1015.4818452435654
1999-01-28,1006.886395091056
1999-01-29,1027.2845656716368
1999-02-01,1034.9502177148113
1999-02-02,1043.9380920063081
1999-02-03,1030.5290664661054
1999-02-04,1030.9617762375563
1999-02-05,1016.412555542869
1999-02-08,1017.9875633708194
1999-02-09,1003.236519570201
1999-02-10,995.1851329742603
1999-02-11,1002.2685048023196
1999-02-12,1014.6231783914105
1999-02-15,1014.8339324652029
1999-02-16,1006.0986372537358
1999-02-17,993.0704150106724
1999-02-18,985.2371981043319
1999-02-19,987.809043521646
1999-02-22,1007.5056830941846
1999-02-23,1014.7112682210309
1999-02-24,1016.9934899433422
1999-02-25,1024.7410566451535
1999-02-26,1041.7008331402621
1999-03-01,1036.4155492931902
1999-03-02,1015.5407464470231
1999-03-03,1015.0340359429031
1999-03-04,1012.9399463816912
1999-03-05,1055.810717190317
1999-03-08,1057.447047391556
1999-03-09,1078.1198112725592
1999-03-10,1110.0600247855195
1999-03-11,1125.654455844863
1999-03-12,1125.5535691913894
1999-03-15,1153.0444174783017
1999-03-16,1181.1762030395093
1999-03-17,1182.1321225587094
1999-03-18,1158.1859966992736
1999-03-19,1204.8145744791166
1999-03-22,1201.70525780685
1999-03-23,1196.9837400823305
1999-03-24,1163.9302406451104
1999-03-25,1186.9632009034722
1999-03-26,1201.7315989399092
1999-03-29,1202.0449095048232
1999-03-30,1195.5246332171878
1999-03-31,1211.7678208930529
1999-04-01,1230.9466708071789
1999-04-02,1227.33736817332
1999-04-05,1227.2669187590413
1999-04-06,1247.9112351692745
1999-04-07,1251.825899107513
1999-04-08,1265.2893221943739
1999-04-09,1270.5617799553404
1999-04-12,1246.0474217026617
1999-04-13,1268.2957414431344
1999-04-14,1289.3949308491174
1999-04-15,1291.5428925777928
1999-04-16,1322.221149457711
1999-04-19,1338.4827466084348
1999-04-20,1319.0411797186257
1999-04-21,1298.5267700794964
1999-04-22,1309.135968137994
1999-04-23,1318.7750483113603
1999-04-26,1335.9770361752571
1999-04-27,1332.7444546354463
1999-04-28,1337.3514151996167
1999-04-29,1341.7925323356556
1999-04-30,1334.6522337554652
1999-05-03,1331.0541005242405
1999-05-04,1323.852511231477
1999-05-05,1318.3550906479124
1999-05-06,1349.4058871645366
1999-05-07,1327.5518244667865
1999-05-10,1328.484437158514
1999-05-11,1316.1049113478305
1999-05-12,1327.2977557298532
1999-05-13,1317.2076198771883
1999-05-14,1295.6710553295266
1999-05-17,1262.4239743864978
1999-05-18,1266.283732664046
1999-05-19,1230.0968620580477
1999-05-20,1237.4327056608493
1999-05-21,1252.0536784009823
1999-05-24,1256.8809634278969
1999-05-25,1250.6300475996468
1999-05-26,1273.5094029518416
1999-05-27,1274.6545845652824
1999-05-28,1275.9427207029794
1999-05-31,1273.0900116880343
1999-06-01,1299.6303230721505
1999-06-02,1319.6355884114355
1999-06-03,1301.373967022067
1999-06-04,1304.721356772852
1999-06-07,1327.4021850275487
1999-06-08,1332.9664223469308
1999-06-09,1345.2824939974644
1999-06-10,1360.7100532408099
1999-06-11,1383.599029036334
1999-06-14,1368.2800793315023
1999-06-15,1373.6078927114258
1999-06-16,1388.7982827296544
1999-06-17,1410.9753404918315
1999-06-18,1387.8123905459352
1999-06-21,1405.8115379157448
1999-06-22,1418.778802228801
1999-06-23,1400.0555124808218
1999-06-24,1393.8881004715934
1999-06-25,1376.712670187481
1999-06-28,1400.5632873294364
1999-06-29,1416.3878748411016
1999-06-30,1407.0953351249193
1999-07-01,1441.7955865934937
1999-07-02,1459.04238702861
1999-07-05,1465.4789619715805
1999-07-06,1453.9464282931701
1999-07-07,1454.7079418120388
1999-07-08,1453.3582263912947
1999-07-09,1454.7138286345903
1999-07-12,1473.5816395107959
1999-07-13,1473.2999787556798
1999-07-14,1483.3049481122052
1999-07-15,1493.3144334909168
1999-07-16,1482.6281187485363
1999-07-19,1513.6785284138377
1999-07-20,1479.896417540585
1999-07-21,1460.8315338827001
1999-07-22,1435.7317169044334
1999-07-23,1422.433253002435
1999-07-26,1393.3068953922016
1999-07-27,1398.41352389547
1999-07-28,1421.9272810705834
1999-07-29,1434.556408086524
1999-07-30,1454.0251713625703
1999-08-02,1451.2540803195332
1999-08-03,1457.1244204066957
