Date,CHINA SMALL VALUE
1994-05-31,346.7534188360706
1994-06-30,304.5314907500209
1994-07-29,330.82039032926633
1994-08-31,352.40793571674476
1994-09-30,344.14720426261573
1994-10-31,349.1495668976567
1994-11-30,331.1753496869941
1994-12-30,311.6363219102133
1995-01-31,272.8583323208565
1995-02-28,270.22450966592055
1995-03-31,272.5053067719223
1995-04-28,252.80538934041823
1995-05-31,246.05070571756278
1995-06-30,231.85088416053455
1995-07-31,240.15081423953416
1995-08-31,195.75520375929668
1995-09-29,195.89816131070634
1995-10-31,181.73613644275383
1995-11-30,157.546468945177
1995-12-29,147.83069802426107
1996-01-31,184.03526834508222
1996-02-29,192.01221125641777
1996-03-29,180.89862362081075
1996-04-30,180.73700931891452
1996-05-31,192.3991595635001
1996-06-28,192.49313041461656
1996-07-31,186.65651042799848
1996-08-30,176.94210018916888
1996-09-30,178.0514930715297
1996-10-31,169.76731511112425
1996-11-29,198.21539898989138
1996-12-31,233.87085025851212
1997-01-01,233.87085025851212
1997-01-02,238.09956707143616
1997-01-03,234.38328993061756
1997-01-06,238.29039104837886
1997-01-07,236.6073202634654
1997-01-08,232.7517722406099
1997-01-09,228.99746409109244
1997-01-10,229.06478205124876
1997-01-13,228.81163536224147
1997-01-14,228.97026092135542
1997-01-15,230.29888475878406
1997-01-16,236.12303182189893
1997-01-17,239.1433589287442
1997-01-20,242.08290611271536
1997-01-21,236.68589808246819
1997-01-22,232.587855600108
1997-01-23,229.14022539933023
1997-01-24,228.2363694395335
1997-01-27,227.59667389168018
1997-01-28,228.70035951545236
1997-01-29,227.9033677223454
1997-01-30,230.59727012231173
1997-01-31,230.54946631212295
1997-02-03,231.3246630755903
1997-02-04,232.14267131198136
1997-02-05,230.71185628991051
1997-02-06,230.72118982656372
1997-02-07,230.98707112668427
1997-02-10,231.1535817772668
1997-02-11,231.67977682488987
1997-02-12,230.99403420738716
1997-02-13,225.9977785794876
1997-02-14,225.5966086423947
1997-02-17,228.15825504803757
1997-02-18,222.9682573861887
1997-02-19,222.99169230779967
1997-02-20,222.68022638248632
1997-02-21,228.22155783548223
1997-02-24,230.04286713467238
1997-02-25,233.7743432618036
1997-02-26,235.20247790292134
1997-02-27,238.94111024459394
1997-02-28,238.51480512852862
1997-03-03,239.07940547191626
1997-03-04,235.9549653696227
1997-03-05,234.66608151190442
1997-03-06,235.4893394707066
1997-03-07,231.8011033085864
1997-03-10,234.50728701310751
1997-03-11,235.35226058411288
1997-03-12,239.2957622278058
1997-03-13,240.22433606448078
1997-03-14,241.03302630802457
1997-03-17,246.82744599891447
1997-03-18,249.1206857779666
1997-03-19,241.76019248883068
1997-03-20,240.33092335944033
1997-03-21,241.5575396395275
1997-03-24,242.96139968455134
1997-03-25,239.36598738889577
1997-03-26,239.36207452247564
1997-03-27,238.26468680955685
1997-03-28,236.33208579579568
1997-03-31,236.4888069826821
1997-04-01,233.63863798846197
1997-04-02,233.55260623916743
1997-04-03,233.54580056979188
1997-04-04,231.9516439637834
1997-04-07,232.6482096619891
1997-04-08,234.34280391261984
1997-04-09,234.228662808789
1997-04-10,238.93078599801277
1997-04-11,254.15358375432928
1997-04-14,256.3464379160782
1997-04-15,255.15390430321443
1997-04-16,256.54051834271826
1997-04-17,260.9689154433561
1997-04-18,261.2254129185037
1997-04-21,267.9504262400761
1997-04-22,274.1416621821763
1997-04-23,275.2365050442584
1997-04-24,283.8913108802933
1997-04-25,286.69594389115656
1997-04-28,288.55432197827344
1997-04-29,281.0075419130105
1997-04-30,293.65200246055065
1997-05-01,303.53494549910744
1997-05-02,301.923860645016
1997-05-05,302.8160438638565
1997-05-06,315.9494559343654
1997-05-07,325.00166631251216
1997-05-08,328.94029215145326
1997-05-09,323.656583303921
1997-05-12,325.93887670512527
1997-05-13,312.46408607833456
1997-05-14,310.39136894354823
1997-05-15,299.21681122576365
1997-05-16,294.979710131543
1997-05-19,299.7638569416429
1997-05-20,309.0612028379581
1997-05-21,315.9646800601852
1997-05-22,308.079629437944
1997-05-23,308.7498406015904
1997-05-26,311.005629834442
1997-05-27,322.6210078999214
1997-05-28,316.5881302335781
1997-05-29,315.4929386544158
1997-05-30,317.49034994648457
1997-06-02,321.76052799971063
1997-06-03,320.9896116018784
1997-06-04,319.95555826738286
1997-06-05,316.2132225676401
1997-06-06,305.6324145991406
1997-06-09,304.17101157389226
1997-06-10,303.676520759431
1997-06-11,299.38263496592145
1997-06-12,301.4447602157648
1997-06-13,301.06218131613053
1997-06-16,309.1271583695653
1997-06-17,311.0513112693903
1997-06-18,304.24703972558115
1997-06-19,301.83904352368864
1997-06-20,301.3676406584185
