Date,TURKEY SMALL VALUE
1994-05-31,112.71197404993607
1994-06-30,142.91225302701727
1994-07-29,167.3091218978776
1994-08-31,197.3980505131162
1994-09-30,225.97634604765395
1994-10-31,256.28553742729173
1994-11-30,280.19831910461664
1994-12-30,257.47673966932246
1995-01-31,219.6483263775028
1995-02-28,241.61317157228942
1995-03-31,350.94074517923
1995-04-28,452.4663481416651
1995-05-31,440.8892632484633
1995-06-30,452.1048788593228
1995-07-31,485.9458717045784
1995-08-31,377.06056064218654
1995-09-29,341.73828044528506
1995-10-31,358.72226760642775
1995-11-30,300.2843203064286
1995-12-29,274.62863420729246
1996-01-31,322.2000079983151
1996-02-29,408.1496905329472
1996-03-29,423.70190958481766
1996-04-30,367.77986976233393
1996-05-31,316.37118840818965
1996-06-28,335.34888374251597
1996-07-31,288.49394767972046
1996-08-30,284.77385402012254
1996-09-30,289.550565579692
1996-10-31,316.8216699339733
1996-11-29,326.7551488103575
1996-12-31,336.2984015032596
1997-01-01,336.2984015032596
1997-01-02,350.5775952903383
1997-01-03,358.8080718409586
1997-01-06,364.46244116627673
1997-01-07,371.95771001514987
1997-01-08,380.7398233566751
1997-01-09,378.29683200707314
1997-01-10,379.9779723077807
1997-01-13,378.6586325466203
1997-01-14,387.2864934365203
1997-01-15,386.1851786124583
1997-01-16,390.425236080412
1997-01-17,392.26886145200024
1997-01-20,388.1731524297212
1997-01-21,392.61227346091914
1997-01-22,391.5414636395373
1997-01-23,414.1822818848142
1997-01-24,452.61707174323266
1997-01-27,496.5293247220593
1997-01-28,449.0084321982926
1997-01-29,464.5824736811501
1997-01-30,484.46852990067765
1997-01-31,480.14747566895505
1997-02-03,469.0841185596606
1997-02-04,439.20732486102395
1997-02-05,448.32514815995927
1997-02-06,466.3672137808617
1997-02-07,466.38288268842336
1997-02-10,467.56151014025147
1997-02-11,466.77509771044697
1997-02-12,469.9466817853776
1997-02-13,473.3061182432857
1997-02-14,458.8885787750316
1997-02-17,458.8188270071465
1997-02-18,472.76023584141745
1997-02-19,475.7165101201551
1997-02-20,478.89195088429165
1997-02-21,467.4958520534007
1997-02-24,471.31889073391983
1997-02-25,467.87277110450475
1997-02-26,456.7297019324622
1997-02-27,448.61744636750274
1997-02-28,453.4687137170576
1997-03-03,432.9711275757784
1997-03-04,406.40280865998915
1997-03-05,388.75188071953073
1997-03-06,416.51436373663995
1997-03-07,408.60908623818034
1997-03-10,416.6105821690026
1997-03-11,413.6160512696918
1997-03-12,397.8512331927596
1997-03-13,412.2514791010718
1997-03-14,413.44485075535164
1997-03-17,426.01593059285
1997-03-18,435.04660848945844
1997-03-19,440.99152955565916
1997-03-20,439.6344879281865
1997-03-21,440.27257280184926
1997-03-24,435.96459469062256
1997-03-25,427.14167741520737
1997-03-26,428.9978427352853
1997-03-27,413.4351204400012
1997-03-28,414.5191126901985
1997-03-31,423.3541959989965
1997-04-01,416.9971043348946
1997-04-02,417.42962235008935
1997-04-03,411.12665153046146
1997-04-04,410.6544428756885
1997-04-07,400.78479930557387
1997-04-08,402.6568196995921
1997-04-09,398.2555535058918
1997-04-10,392.2911680781185
1997-04-11,386.88076024150314
1997-04-14,386.9887095484258
1997-04-15,394.8854305771865
1997-04-16,395.72385417966046
1997-04-17,402.38616459577037
1997-04-18,397.8093314724547
1997-04-21,400.60302025814445
1997-04-22,398.09140257627524
1997-04-23,398.09140257627524
1997-04-24,381.51136225276554
1997-04-25,378.27857295822133
1997-04-28,370.8618533467951
1997-04-29,369.6187516409052
1997-04-30,368.7655787544396
1997-05-01,374.8311345776517
1997-05-02,365.3148714401829
1997-05-05,354.8878700482826
1997-05-06,362.3915537234835
1997-05-07,366.93393969163145
1997-05-08,364.1046999615948
1997-05-09,358.01199631016203
1997-05-12,347.357753360281
1997-05-13,346.7175397143029
1997-05-14,343.91336824917806
1997-05-15,352.46858207683744
1997-05-16,346.362360659185
1997-05-19,345.6381711523994
1997-05-20,349.0416189306935
1997-05-21,348.5932655971997
1997-05-22,342.4333657025772
1997-05-23,339.5601074546755
1997-05-26,338.31736814804185
1997-05-27,348.9443086332691
1997-05-28,348.44542029493425
1997-05-29,339.6369989473578
1997-05-30,342.8502614934681
