Date,SOUTH AFRICA SMALL VALUE
1999-05-31,123.04082104607325
1999-06-01,124.76904206060878
1999-06-02,124.92003323696291
1999-06-03,125.13504744532499
1999-06-04,127.08941270574901
1999-06-07,130.31502311617157
1999-06-08,130.607858349315
1999-06-09,130.08207716959203
1999-06-10,129.7281452483931
1999-06-11,131.30770899130422
1999-06-14,131.22664091434442
1999-06-15,131.38162320111638
1999-06-16,131.67868339746013
1999-06-17,132.50260893715406
1999-06-18,134.26904888448422
1999-06-21,134.8801858102433
1999-06-22,135.42406261851187
1999-06-23,133.9178358448157
1999-06-24,133.0435109889326
1999-06-25,132.62291924693304
1999-06-28,132.9401719508521
1999-06-29,133.86389832548576
1999-06-30,134.3958154076946
1999-07-01,134.69046911877535
1999-07-02,135.1855181576418
1999-07-05,136.7982724889865
1999-07-06,136.2233553863935
1999-07-07,136.16914293655324
1999-07-08,136.180982613273
1999-07-09,135.2158686934781
1999-07-12,135.18192688451413
1999-07-13,133.40434895259904
1999-07-14,134.38897915606563
1999-07-15,135.09275496291838
1999-07-16,135.95796215190842
1999-07-19,136.0012771643808
1999-07-20,135.66968877201205
1999-07-21,134.480755662254
1999-07-22,134.63025531408476
1999-07-23,135.17817098367163
1999-07-26,133.1246210655877
1999-07-27,133.3791211993879
1999-07-28,132.93138803319184
1999-07-29,132.23112497532435
1999-07-30,132.65389335310914
1999-08-02,131.23543249948807
1999-08-03,131.22609701661727
1999-08-04,132.77434813917054
1999-08-05,132.0165027900329
1999-08-06,130.63380915404642
1999-08-09,130.8296540056955
1999-08-10,130.03405215969835
1999-08-11,130.8364587987036
1999-08-12,131.6627453636755
1999-08-13,131.3284678883118
1999-08-16,131.4391103962252
1999-08-17,131.64588592086514
1999-08-18,132.58618374219824
1999-08-19,131.73954137225547
1999-08-20,131.38221766009795
1999-08-23,132.25894744972507
1999-08-24,131.21239776425196
1999-08-25,131.25339047694672
1999-08-26,131.78210768901775
1999-08-27,132.97627095867037
1999-08-30,133.4437362989241
1999-08-31,133.4440876955046
1999-09-01,134.38893168748226
1999-09-02,132.5711066620997
1999-09-03,133.44186012856463
1999-09-06,133.42671179173954
1999-09-07,132.53876342456599
1999-09-08,130.8156229883589
1999-09-09,131.43221047604456
1999-09-10,130.359063842774
1999-09-13,130.80513108104762
1999-09-14,130.7372988635525
1999-09-15,129.45824081760628
1999-09-16,127.7251431062687
1999-09-17,128.2305979504561
1999-09-20,128.84025832586184
1999-09-21,129.99267991970706
1999-09-22,129.19735144650514
1999-09-23,129.86017332995937
1999-09-24,129.92572725355294
1999-09-27,131.7399820492277
1999-09-28,135.73669829905933
1999-09-29,135.0177405953856
1999-09-30,135.0264186244989
1999-10-01,135.42794535204277
1999-10-04,136.96688160667745
