Date,PHILIPPINES SMALL CAP
1994-05-31,1635.9211167283866
1994-06-30,1545.2238651142277
1994-07-29,1561.8207165191193
1994-08-31,1802.072237964115
1994-09-30,1848.061252282639
1994-10-31,2062.2925678789975
1994-11-30,1926.8026053591857
1994-12-30,1883.1969737408353
1995-01-31,1675.7262594439032
1995-02-28,1624.6715918012746
1995-03-31,1534.7482472585123
1995-04-28,1526.7831467339893
1995-05-31,1660.0932236465226
1995-06-30,1755.522853868735
1995-07-31,1762.8116449155507
1995-08-31,1723.9976916051
1995-09-29,1703.3728850453706
1995-10-31,1641.6347350173196
1995-11-30,1503.4209121915658
1995-12-29,1507.9265300053817
1996-01-31,1545.3072831513425
1996-02-29,1557.4134580879129
1996-03-29,1571.3228783746197
1996-04-30,1779.4679838565617
1996-05-31,1888.262771155031
1996-06-28,1915.2455459765115
1996-07-31,1788.314007661515
1996-08-30,1849.4386992182456
1996-09-30,1901.0328957316297
1996-10-31,1859.3638485947115
1996-11-29,1942.6838623935328
1996-12-31,1958.4432666034938
1997-01-01,1961.660778766365
1997-01-02,1974.171164076262
1997-01-03,1973.9420326556324
1997-01-06,2001.0048855628706
1997-01-07,2013.7743283148845
1997-01-08,2013.692333622496
1997-01-09,2011.853531444098
1997-01-10,2022.6015123492343
1997-01-13,2009.483585033858
1997-01-14,2012.7458053579094
1997-01-15,2005.7343971644104
1997-01-16,2064.779547998441
1997-01-17,2118.5093813897424
1997-01-20,2152.080798449966
1997-01-21,2202.964975290029
1997-01-22,2172.853146279373
1997-01-23,2120.1942621915223
1997-01-24,2098.1386745386612
1997-01-27,2138.947904511068
1997-01-28,2141.721494839004
1997-01-29,2153.0187487656676
1997-01-30,2186.8330420856814
1997-01-31,2202.1591136355896
1997-02-03,2247.9036882610612
1997-02-04,2248.869799672482
1997-02-05,2253.1609179311495
1997-02-06,2244.549031602114
1997-02-07,2253.126597331223
1997-02-10,2267.8027412433703
1997-02-11,2233.142685487099
1997-02-12,2231.6495023001276
1997-02-13,2252.98047508232
1997-02-14,2251.5357716390795
1997-02-17,2262.0051522412155
1997-02-18,2252.0057407778777
1997-02-19,2282.617427806924
1997-02-20,2279.0071514428896
1997-02-21,2260.9266373313067
1997-02-24,2282.217941738825
1997-02-25,2301.5015324987994
1997-02-26,2326.202491148078
1997-02-27,2325.3478067140763
1997-02-28,2347.8896520644134
1997-03-03,2407.074318093113
1997-03-04,2368.922171618388
1997-03-05,2352.7694411104053
1997-03-06,2363.2989991410827
1997-03-07,2366.912968959747
1997-03-10,2352.56250797575
1997-03-11,2343.5102753551346
1997-03-12,2315.9192083159896
1997-03-13,2323.980239275041
