Date,QATAR SMALL CAP
2002-05-31,180.3138151500084
2002-06-03,180.85102449492297
2002-06-04,181.4081043034419
2002-06-05,181.73139925143724
2002-06-06,181.7713413156151
2002-06-07,181.7313992514372
2002-06-10,181.9502510707022
2002-06-11,182.17410671084528
2002-06-12,186.5487012647366
2002-06-13,186.10332389108638
2002-06-14,186.10332389108638
2002-06-17,186.10843563673671
2002-06-18,186.3272874560017
2002-06-19,185.78270937746566
2002-06-20,184.71224474488506
2002-06-21,184.71224474488506
2002-06-24,182.89808022612624
2002-06-25,182.8955683729081
2002-06-26,183.01002106368335
2002-06-27,184.2137391324602
2002-06-28,184.208679288498
2002-07-01,188.12275009204208
2002-07-02,189.04592009036588
2002-07-03,189.80672978447785
2002-07-04,190.57796698743658
2002-07-05,190.57273219188127
2002-07-08,193.41407469418652
2002-07-09,194.7017037706482
2002-07-10,198.03517141637175
2002-07-11,200.37572460086758
2002-07-12,200.37572460086758
2002-07-15,203.5790570288379
2002-07-16,203.02632054262742
2002-07-17,202.26031813522397
2002-07-18,201.28098668323176
2002-07-19,201.2754578971338
2002-07-22,199.96505723308766
2002-07-23,200.07173982835695
2002-07-24,200.29059765904367
2002-07-25,202.91967852612657
2002-07-26,202.92246550152183
2002-07-29,203.57626103569083
2002-07-30,202.78316073842126
2002-07-31,203.00759478167677
2002-08-01,203.65859206116806
2002-08-02,203.6641863089928
2002-08-05,204.2057366378848
2002-08-06,204.78663168952707
2002-08-07,204.75850552118624
2002-08-08,204.5340233839149
2002-08-09,204.53964167874753
2002-08-12,202.28469014324924
2002-08-13,204.64954530126454
2002-08-14,203.88331403489693
2002-08-15,203.55222715545437
2002-08-16,203.55502278011485
2002-08-19,208.91424400727846
2002-08-20,211.2033858853021
2002-08-21,211.2149888731271
2002-08-22,213.29419537629454
2002-08-23,213.28833661138282
2002-08-26,212.81392056044712
2002-08-27,213.49546585525113
2002-08-28,213.11495166370435
2002-08-29,213.11787866482595
2002-08-30,213.11202474298165
2002-09-02,213.55560634970334
2002-09-03,213.55560634970334
2002-09-04,214.53460064244518
2002-09-05,213.6591693196984
2002-09-06,213.6591693196984
2002-09-09,210.88536144642234
2002-09-10,210.99767277894213
2002-09-11,206.75034664020833
2002-09-12,204.3429766282936
2002-09-13,204.37104417631681
