Date,QATAR DOMESTIC SMALL CAP
2002-05-31,180.5126340237942
2002-06-03,181.04316586247734
2002-06-04,181.6014222847929
2002-06-05,181.92541153864997
2002-06-06,181.96539624406245
2002-06-07,181.92541153864994
2002-06-10,182.144729768431
2002-06-11,182.36905717384238
2002-06-12,186.7529773887542
2002-06-13,186.3066588035707
2002-06-14,186.3066588035707
2002-06-17,186.31177613427096
2002-06-18,186.53109436405205
2002-06-19,185.98535304225746
2002-06-20,184.93977242116026
2002-06-21,184.93977242116026
2002-06-24,183.15327351197104
2002-06-25,183.15075815402457
2002-06-26,183.25761805694444
2002-06-27,184.4639014540222
2002-06-28,184.45883473879013
2002-07-01,188.51272117923202
2002-07-02,189.46086292225243
2002-07-03,190.2232937003608
2002-07-04,190.96484197535992
2002-07-05,190.95959655312254
2002-07-08,193.81859522928602
2002-07-09,195.11670269048028
2002-07-10,198.3397793706075
2002-07-11,200.71615766285066
2002-07-12,200.71615766285066
2002-07-15,203.87852311814055
2002-07-16,203.32461234787704
2002-07-17,202.61180852233107
2002-07-18,201.6303877627142
2002-07-19,201.62484937926746
2002-07-22,200.40565233525302
2002-07-23,200.52039510012483
2002-07-24,200.73971935413903
2002-07-25,203.25690679656518
2002-07-26,203.25969840358067
2002-07-29,203.8992223620257
2002-07-30,203.0190623299991
2002-07-31,203.22830284084708
2002-08-01,203.84936129162398
2002-08-02,203.85496077964186
2002-08-05,204.3663398903716
2002-08-06,204.94842766560348
2002-08-07,204.92027927559306
2002-08-08,204.71099228953668
2002-08-09,204.71661544548473
2002-08-12,202.30218533973573
2002-08-13,204.7726224049147
2002-08-14,203.96221628614077
2002-08-15,203.69309276063902
2002-08-16,203.69589031997427
2002-08-19,209.06653698398534
2002-08-20,211.46507059610266
2002-08-21,211.4766879602337
2002-08-22,213.41149434626263
2002-08-23,213.40563235938282
2002-08-26,212.87585847307776
2002-08-27,213.5975563999886
2002-08-28,213.25487756385652
2002-08-29,213.2578064867732
2002-08-30,213.2519487213915
