Date,INDONESIA SMALL CAP
1994-05-31,3604.8061424222406
1994-06-30,3431.3467719032988
1994-07-29,3336.295275641512
1994-08-31,3544.284171472578
1994-09-30,3474.5884834842996
1994-10-31,3481.8502368688837
1994-11-30,3281.540595884548
1994-12-30,3209.007035719239
1995-01-31,2909.9120076533804
1995-02-28,2849.374723850987
1995-03-31,2673.129015640202
1995-04-28,2566.1406804047183
1995-05-31,2838.207204431414
1995-06-30,2886.1148990160837
1995-07-31,2916.5393884252744
1995-08-31,2830.195278531658
1995-09-29,2816.8670946374195
1995-10-31,2697.7405345962766
1995-11-30,2512.505428161171
1995-12-29,2531.4845433048345
1996-01-31,2636.7617163653686
1996-02-29,2730.774238317705
1996-03-29,2863.7202529887836
1996-04-30,3054.032784008305
1996-05-31,3039.0703415480234
1996-06-28,2981.7014711723064
1996-07-31,2864.481872699998
1996-08-30,2803.0857818567647
1996-09-30,2843.169236395266
1996-10-31,2777.8031696394078
1996-11-29,2846.8656347932306
1996-12-31,3007.057291310518
1997-01-01,3001.5656064553
1997-01-02,2992.9392059718334
1997-01-03,3008.983578944693
1997-01-06,3034.0266205461994
1997-01-07,3028.0824077939324
1997-01-08,3032.739682201436
1997-01-09,3013.854533648499
1997-01-10,3027.2816358289724
1997-01-13,3017.42784855379
1997-01-14,3020.70394002626
1997-01-15,3008.609536491462
1997-01-16,3014.4912141341492
1997-01-17,3024.5477517947156
1997-01-20,3057.1775991079903
1997-01-21,3069.907078664114
1997-01-22,3145.2265473458497
1997-01-23,3193.7680578591694
1997-01-24,3203.250323717051
1997-01-27,3201.756143604087
1997-01-28,3230.0716333192336
1997-01-29,3225.4798656592106
1997-01-30,3208.534207060372
1997-01-31,3215.990940430351
1997-02-03,3231.7035200776213
1997-02-04,3184.7134262855593
1997-02-05,3215.208082524786
1997-02-06,3210.0767424635255
1997-02-07,3209.401647459853
1997-02-10,3207.3780650844055
1997-02-11,3210.61702298906
1997-02-12,3230.4324025770566
1997-02-13,3249.6162207837597
1997-02-14,3251.908239209704
1997-02-17,3253.0180931642876
1997-02-18,3230.703304629892
1997-02-19,3224.1044014193767
1997-02-20,3226.2116497771412
1997-02-21,3217.644129461769
1997-02-24,3246.6841583866085
1997-02-25,3258.018751898903
1997-02-26,3321.911131771884
1997-02-27,3288.3753508124155
1997-02-28,3295.4795346559454
1997-03-03,3283.1936402202286
1997-03-04,3270.5560904310287
1997-03-05,3228.421546769672
1997-03-06,3233.683662359165
1997-03-07,3258.9868379263035
1997-03-10,3291.4090071993987
1997-03-11,3288.0701817639087
1997-03-12,3254.436536785237
1997-03-13,3200.53089455531
1997-03-14,3187.4913809681047
1997-03-17,3211.9313453492186
1997-03-18,3187.999859235356
1997-03-19,3221.8076098612805
1997-03-20,3229.302388113888
1997-03-21,3227.4140073748576
1997-03-24,3210.367480289285
1997-03-25,3232.4556890166023
1997-03-26,3245.217842027928
1997-03-27,3253.345812082826
1997-03-28,3254.023310169474
1997-03-31,3254.023310169474
1997-04-01,3247.0173854808495
1997-04-02,3221.4462826343965
1997-04-03,3203.744705257269
