Date,POLAND SMALL CAP
1994-05-31,337.1716636490831
1994-06-30,231.27676935265225
1994-07-29,307.9926976546166
1994-08-31,308.58168966185144
1994-09-30,261.7164082888647
1994-10-31,244.61921038784791
1994-11-30,224.67132950222023
1994-12-30,217.21851387554534
1995-01-31,191.88601497065184
1995-02-28,196.39707824618478
1995-03-31,190.06103012577742
1995-04-28,246.67398376560448
1995-05-31,224.90703465290017
1995-06-30,251.75912943467816
1995-07-31,242.68518246037155
1995-08-31,231.90336173585197
1995-09-29,246.1369863249544
1995-10-31,218.64443542132224
1995-11-30,212.2626489598146
1995-12-29,209.53872651417163
1996-01-31,276.6364678991882
1996-02-29,288.58464422480444
1996-03-29,304.4077213971854
1996-04-30,337.3411049020339
1996-05-31,317.46876448728426
1996-06-28,359.29744370650315
1996-07-31,329.1375668504189
1996-08-30,353.60965977785264
1996-09-30,366.9955429224089
1996-10-31,324.7473422705689
1996-11-29,321.5521848229498
1996-12-31,332.490268454025
1997-01-01,332.490268454025
1997-01-02,335.23880658503316
1997-01-03,337.97284296778656
1997-01-06,334.45188072607164
1997-01-07,341.08040232331916
1997-01-08,345.67386108195427
1997-01-09,351.51637922844805
1997-01-10,354.08111732688735
1997-01-13,355.5164485859699
1997-01-14,354.23227305251993
1997-01-15,349.4638053186223
1997-01-16,355.3655878583303
1997-01-17,358.1976430582784
1997-01-20,355.44488808315856
1997-01-21,352.3773983250864
1997-01-22,350.6343239316545
1997-01-23,355.31175392376997
1997-01-24,361.4190672250051
1997-01-27,366.8490076843752
1997-01-28,360.3958192116534
1997-01-29,355.50368086461214
1997-01-30,355.1367869493072
1997-01-31,353.42205173682345
1997-02-03,357.12475518492806
1997-02-04,356.82264995041044
1997-02-05,358.48212808967617
1997-02-06,365.54793752183684
1997-02-07,374.2788201224841
1997-02-10,378.42956188278043
1997-02-11,374.8534851026238
1997-02-12,377.9749843660891
1997-02-13,377.9941500438218
1997-02-14,389.7300186415257
1997-02-17,388.9818255359421
