Date,SOUTH AFRICA SMALL CAP
1994-05-31,140.24242814181144
1994-06-30,141.6894056846953
1994-07-29,148.1619473094792
1994-08-31,160.70186683863705
1994-09-30,166.9469409622432
1994-10-31,179.67020501800656
1994-11-30,177.96757843868573
1994-12-30,183.2087887461891
1995-01-31,170.87078255285064
1995-02-28,173.2246160562445
1995-03-31,193.34216757147908
1995-04-28,198.9506146265631
1995-05-31,199.68415015208973
1995-06-30,198.33565614203152
1995-07-31,198.12912607330466
1995-08-31,202.7172940818201
1995-09-29,209.96227053628542
1995-10-31,217.1606473679993
1995-11-30,229.17793569676545
1995-12-29,240.53710344245357
1996-01-31,268.82596849959964
1996-02-29,250.690733513534
1996-03-29,235.92600749586654
1996-04-30,219.33975534155903
1996-05-31,206.575157633002
1996-06-28,216.5548769767665
1996-07-31,205.51487146079194
1996-08-30,202.21642125609947
1996-09-30,208.11456929836223
1996-10-31,207.31366649478323
1996-11-29,208.6202413453569
1996-12-31,204.17037780910434
1997-01-01,204.17037780910434
1997-01-02,203.02825737552484
1997-01-03,201.5846602974087
1997-01-06,201.51361548933463
1997-01-07,203.77516623928764
1997-01-08,203.21944090888667
1997-01-09,203.18170791619656
1997-01-10,203.55386616979143
1997-01-13,205.61162720992996
1997-01-14,205.87434564194186
1997-01-15,206.94343175461725
1997-01-16,207.0903234120853
1997-01-17,207.96867853491656
1997-01-20,207.8815369647686
1997-01-21,207.5557405969723
1997-01-22,208.43877151039672
1997-01-23,206.48047096330117
1997-01-24,207.03374323622614
1997-01-27,209.70661636784618
1997-01-28,211.02842468250532
1997-01-29,211.03149318895265
1997-01-30,211.15020807487608
1997-01-31,211.85335745355817
1997-02-03,214.62509570253283
1997-02-04,216.0028493398982
1997-02-05,219.25701588204024
1997-02-06,220.65660199229072
1997-02-07,221.70717115748613
1997-02-10,225.7615358992604
1997-02-11,226.8424666380228
1997-02-12,227.75009551725782
1997-02-13,228.5757472961445
1997-02-14,227.77673078894537
1997-02-17,226.91903652184916
1997-02-18,225.70424766289906
1997-02-19,225.19754402052388
1997-02-20,224.56749971390227
1997-02-21,224.7377077139742
1997-02-24,228.802666716486
1997-02-25,229.68919382585872
1997-02-26,229.2684514513293
1997-02-27,226.82137505030585
1997-02-28,224.05639942351644
1997-03-03,224.65666438205298
1997-03-04,225.8888585326379
1997-03-05,224.43377814624364
1997-03-06,224.36915864218594
1997-03-07,223.8127987463016
1997-03-10,225.48838392303745
1997-03-11,227.59804415766675
1997-03-12,230.58037402622958
1997-03-13,231.27050579427183
1997-03-14,228.67055173449288
1997-03-17,230.0830860814619
1997-03-18,229.8090456849526
1997-03-19,229.3740605465318
1997-03-20,228.7450013763532
1997-03-21,228.81333965935485
1997-03-24,228.89568825363577
1997-03-25,229.95980053641733
1997-03-26,229.277158461931
1997-03-27,231.16227117857525
1997-03-28,231.15606525385226
1997-03-31,231.10377341689852
1997-04-01,228.27984678580228
1997-04-02,229.22499829505895
1997-04-03,228.92957609454857
1997-04-04,229.08423377417222
1997-04-07,229.85102627163755
1997-04-08,230.21105829343884
1997-04-09,228.94756671796574
1997-04-10,228.27853237862723
1997-04-11,228.18738886896213
1997-04-14,226.6118984154638
1997-04-15,226.30352172429133
1997-04-16,226.54742451689893
1997-04-17,226.8413510820653
1997-04-18,228.08823350822908
1997-04-21,229.55338518939666
1997-04-22,229.91023970152625
1997-04-23,230.2160359564673
1997-04-24,230.27766702222104
1997-04-25,229.53748513375086
1997-04-28,230.13200789930002
1997-04-29,230.22239296375324
1997-04-30,230.80462489133228
1997-05-01,230.7527295287935
1997-05-02,231.91424476773523
1997-05-05,232.71574531657947
1997-05-06,233.9456852952393
1997-05-07,233.12756162184792
1997-05-08,232.88941815188747
1997-05-09,233.4703806639997
1997-05-12,233.7376739441545
1997-05-13,234.33801753007813
1997-05-14,235.38687819295345
1997-05-15,234.6620558014715
1997-05-16,234.28955655612833
1997-05-19,234.37043162375397
1997-05-20,233.80620531613044
1997-05-21,234.73161925411478
1997-05-22,235.0625985303819
1997-05-23,235.9612471484578
1997-05-26,234.9425608986854
1997-05-27,234.71970022387566
1997-05-28,235.33715390863213
1997-05-29,236.09089680728837
1997-05-30,235.81955450969116
1997-06-02,236.10002251235852
1997-06-03,237.73214189307734
1997-06-04,238.95090688092625
1997-06-05,239.6559285854158
1997-06-06,239.42696671647045
1997-06-09,239.77922843143455
1997-06-10,239.04595234588618
1997-06-11,239.66710215198867
1997-06-12,240.16171144272292
1997-06-13,239.08005939279732
1997-06-16,239.31405213544187
1997-06-17,238.09181172027286
1997-06-18,237.3647093416226
1997-06-19,236.63817312833982
1997-06-20,237.55086679631563
1997-06-23,238.3821223317181
1997-06-24,238.47134176416392
1997-06-25,239.83152468342962
1997-06-26,240.11921526217012
1997-06-27,239.5959989255856
1997-06-30,239.12296796383907
1997-07-01,239.46614090711316
1997-07-02,238.8873189406768
1997-07-03,240.0735659676533
1997-07-04,239.7774944785306
1997-07-07,238.79870607291133
1997-07-08,239.23558338559928
1997-07-09,239.0502516856981
1997-07-10,241.23569438155988
1997-07-11,241.70169028608072
1997-07-14,243.4582327351109
1997-07-15,244.55376135959347
1997-07-16,244.66100073925537
1997-07-17,245.07692529805067
1997-07-18,245.03795561432594
1997-07-21,246.90222617368985
1997-07-22,247.0376249930131
1997-07-23,248.27616483812656
1997-07-24,249.37279681589217
1997-07-25,249.78013897098998
1997-07-28,250.38237558857443
1997-07-29,250.85204353103433
1997-07-30,250.91607845503802
1997-07-31,249.96937485489659
1997-08-01,248.34458143138127
1997-08-04,247.91489176371073
1997-08-05,248.9953694376831
1997-08-06,248.1438505552432
1997-08-07,248.73763070271292
1997-08-08,249.9168209923981
1997-08-11,249.29494486828926
1997-08-12,250.4580818222176
1997-08-13,250.1652385121598
1997-08-14,248.49336708270036
1997-08-15,246.2080152417395
1997-08-18,242.73494394971635
1997-08-19,243.63044751125605
1997-08-20,242.84936414277854
1997-08-21,243.5495865878793
1997-08-22,243.23983131836644
1997-08-25,244.79270932488828
1997-08-26,244.78683637299235
1997-08-27,244.9579157050668
1997-08-28,244.11450560119593
1997-08-29,242.37015713594437
1997-09-01,239.4312365416864
1997-09-02,239.9392625288515
1997-09-03,242.10447982784248
1997-09-04,243.13142650026145
1997-09-05,244.30137529258167
1997-09-08,243.7732548692702
1997-09-09,242.8103987957753
1997-09-10,241.68690827838574
1997-09-11,237.70424913636808
1997-09-12,238.02046482790757
1997-09-15,240.2927153485434
1997-09-16,239.06282785557576
1997-09-17,239.65348927925584
1997-09-18,240.26074517921052
1997-09-19,239.97679299666567
1997-09-22,237.48748682145703
1997-09-23,234.83556218857836
1997-09-24,235.15733827810632
1997-09-25,234.16876915732664
1997-09-26,234.75237293604818
1997-09-29,235.7310002613259
1997-09-30,238.6672315820609
1997-10-01,238.252050873799
1997-10-02,239.23790171624867
1997-10-03,239.82160229823586
1997-10-06,240.88879373200078
1997-10-07,241.49917476124972
1997-10-08,242.15818572899647
1997-10-09,241.77188939979848
1997-10-10,241.5181768907668
1997-10-13,242.87922941233765
1997-10-14,243.79676948822723
1997-10-15,244.2619387636089
1997-10-16,244.2984182936551
1997-10-17,243.1001511606454
1997-10-20,244.2615258365261
1997-10-21,245.7715018063398
1997-10-22,246.30744083620485
1997-10-23,239.36837442195
1997-10-24,241.08317086733993
1997-10-27,227.8498421040737
1997-10-28,206.81356260736155
1997-10-29,216.84553756969677
1997-10-30,212.5063251617141
1997-10-31,217.5451069792202
1997-11-03,220.37607244192623
1997-11-04,218.52809159576933
1997-11-05,220.39974487203173
1997-11-06,219.41250681065134
1997-11-07,214.9486293629574
1997-11-10,216.36658383150402
1997-11-11,218.0140194713203
1997-11-12,216.1020070515722
1997-11-13,216.1438440834764
1997-11-14,212.64776280457323
1997-11-17,213.86578691209309
1997-11-18,213.02452124018097
1997-11-19,212.04840655281942
1997-11-20,212.76466031659598
1997-11-21,213.4966248141763
1997-11-24,212.75109473828977
1997-11-25,211.20174132606812
1997-11-26,211.42377564572953
1997-11-27,211.33901681438624
1997-11-28,209.90842910018333
1997-12-01,209.1546393162277
1997-12-02,210.22475633830726
1997-12-03,208.84491248061533
1997-12-04,206.9016090558646
1997-12-05,204.49270794895614
1997-12-08,205.25165093375392
1997-12-09,203.80579655695533
1997-12-10,202.1724558534014
1997-12-11,198.92209135446876
1997-12-12,198.41136616431294
1997-12-15,200.01362334101822
1997-12-16,200.23884085117803
1997-12-17,203.89291961251922
1997-12-18,204.1749752723732
1997-12-19,202.27078332009344
1997-12-22,202.1395036257257
1997-12-23,203.99479410951005
1997-12-24,203.96526917542135
1997-12-25,203.96526917542135
1997-12-26,203.8393517338067
1997-12-29,205.28010913524935
1997-12-30,205.98499921746094
1997-12-31,208.27944227221778
1998-01-01,208.27944227221778
1998-01-02,207.64440418199595
1998-01-05,205.26285475367052
1998-01-06,203.1423640291546
1998-01-07,201.4459236570872
1998-01-08,200.61898691469244
1998-01-09,199.62742147673757
1998-01-12,189.16789971703898
1998-01-13,191.17049149144646
1998-01-14,194.0681092125392
1998-01-15,191.43206933561402
1998-01-16,193.08737794618446
1998-01-19,193.92845290666577
1998-01-20,196.21981831909014
1998-01-21,199.40135690636296
1998-01-22,201.37772960370606
1998-01-23,202.39114391283377
1998-01-26,206.91424418056226
1998-01-27,207.46853132021056
1998-01-28,209.59813224611486
1998-01-29,211.22122678041535
1998-01-30,211.58109590011318
1998-02-02,213.3680533775526
1998-02-03,212.1701191390765
1998-02-04,212.3347997133063
1998-02-05,214.72486990025658
1998-02-06,215.90242678597855
1998-02-09,217.12171359076348
1998-02-10,218.0536142318247
1998-02-11,219.58488028440397
1998-02-12,220.6069146035463
1998-02-13,221.47413337922603
1998-02-16,222.22354704171437
1998-02-17,224.5718809619125
1998-02-18,226.66491895870783
1998-02-19,227.0003892658408
1998-02-20,227.0208141530021
1998-02-23,229.55222619207626
1998-02-24,229.2864182804077
1998-02-25,231.06916923171667
1998-02-26,234.6825841740232
1998-02-27,238.18161110667043
1998-03-02,240.5967604858931
1998-03-03,240.19243824595023
1998-03-04,240.07548647251426
1998-03-05,234.6006689242233
1998-03-06,233.79453672283458
1998-03-09,235.98200861867946
1998-03-10,237.50049815478604
1998-03-11,238.9617453185162
1998-03-12,240.45469539264633
1998-03-13,241.1791318109854
1998-03-16,243.16286397350987
1998-03-17,244.66617555639124
1998-03-18,242.11696406069123
1998-03-19,243.24532451738267
1998-03-20,242.89340241368654
1998-03-23,243.9704297375812
1998-03-24,246.38879707163449
1998-03-25,248.19311591825826
1998-03-26,248.7721414764922
1998-03-27,249.36557693162808
1998-03-30,250.549619456478
1998-03-31,251.47491324376043
1998-04-01,252.7098234506678
1998-04-02,256.2207875363758
1998-04-03,258.34375785832674
1998-04-06,262.1976617969555
1998-04-07,263.825528532841
1998-04-08,263.16282882396916
1998-04-09,264.4484681353057
1998-04-10,264.4484681353057
1998-04-13,264.34349702559626
1998-04-14,267.4353045755195
1998-04-15,270.4639441038053
1998-04-16,270.43342101837
1998-04-17,271.8028481542985
1998-04-20,274.25744782493445
1998-04-21,274.6722708175178
1998-04-22,277.5340110204066
1998-04-23,279.1192369879403
1998-04-24,280.15132278092875
1998-04-27,280.6116188154967
1998-04-28,276.9552786607812
1998-04-29,277.9229006772384
1998-04-30,279.64336575218397
1998-05-01,279.9478675363132
1998-05-04,280.23939719404325
1998-05-05,279.3792956710895
1998-05-06,278.8695862165605
1998-05-07,276.67732336223867
1998-05-08,278.27946564466254
1998-05-11,280.8800556160745
1998-05-12,280.3835658021605
1998-05-13,280.19915350881195
1998-05-14,281.68516527065145
1998-05-15,283.3076274115942
1998-05-18,283.9245569451067
1998-05-19,284.278911980494
1998-05-20,284.7259444188622
1998-05-21,289.12603785757847
1998-05-22,289.2724605213571
1998-05-25,283.149889104997
1998-05-26,280.92771208624987
1998-05-27,267.29495626513466
1998-05-28,267.31903014833983
1998-05-29,272.20453912901525
1998-06-01,263.3444360098926
1998-06-02,266.35197973737945
1998-06-03,272.4450163848431
1998-06-04,273.3546358003539
1998-06-05,272.7592185432508
1998-06-08,272.0173653785592
1998-06-09,271.5475427670483
1998-06-10,262.58107157459693
1998-06-11,258.87307465075855
1998-06-12,250.718760293541
1998-06-15,241.01315790561225
1998-06-16,241.3800483860245
1998-06-17,248.1203399579226
1998-06-18,245.74805583390688
1998-06-19,238.61849252571207
1998-06-22,230.92462061480612
1998-06-23,232.54445468830843
1998-06-24,237.05321035863716
